1510647732_394675133904080896 x	@jamie_chesson happy birthday bud
1510647732_395341305876066304 x	Did Cal Clutterbuck just score on us?
1510647732_395400897502908416 x	RT @jasonvoorheeze: The Newest Friday the 13th movie is on #AMCFearFest starring @jarpad
1510647732_395394305931894784 x	RT @HockeyGods: Dear Basketball http://t.co/eBiJB0VG1M
1510647732_395394073613590529 x	fearing the Devil doesn't stop him from arriving...
1510647732_395389621808672768 x	@BrownEyedNJGirl what the fuck?
1510647732_395390049128574977 x	@BrownEyedNJGirl I dunno. just felt like tweeting you I guess lol
1510647732_395375964970315776 x	RT @NYRangers: "This was a character win, just like that Detroit game, these are the kinds of games you need to find a way to win"-@ChrisKr?
1510647732_395367147297603584 x	Hank needs to shut out the fucking Sabres on Thursday
1510647732_395364922731032576 x	I actually forgot that Vanek was on the Isles now #invisible #GreatTradeGarth
1510647732_395363421711269888 x	Seriously fucking hate Cal Clutterbuck. Hope your wife gets caught up with methheads in Sulfolk County. You cunt.
1510647732_395363843599499264 x	@cupcake_617 I actually held myself back
1510647732_395363164873035776 x	RANGERS WIN!!! great effort by Cam Talbot. Another reason to love Brad Richards right there. Solid game boys!!!!
1510647732_395362465833558016 x	Hey Clutterbuck, suck my nuts.
1510647732_395360181191987200 x	PULIOT!!! FUCKING....FUCK!!!!! @TimBurnsNY2
1510647732_395359109085925376 x	Say what you want about him but Boyle is the best PK forward we have
1510647732_395356024250843136 x	MAC!!!! ITS A POWERPLAY GOAL!!!  WHAT A SHOT!!!! BILL FUCKING MURRAY!!!!!
1510647732_395350887558033408 x	RT @K22nj: People don't change and that's what's wrong with this world.
1510647732_395349711408070656 x	RT @martybiron43: It seems to always happen that way. Great end to end action. Big saves, great chances and then a lucky bounce goes in.
1510647732_395349307328851969 x	RT @FuckingUlf: Congrats isles. You're fucking gay
1510647732_395348627067240448 x	Back up goalies, rookie goalies, 47 year year old goalies doesn't matter. If you can't bury your chances the other team will eventually.
1510647732_395343115353337856 x	Seriously did Cal Clutterbuck really just score on us?
1510647732_395338815382237184 x	Kreider texted Torts just now saying "Fuck you."
1510647732_395339368388632576 x	@TaylorPylon exactly. He's getting first line minutes. about damn time.
1510647732_395339273505091584 x	RT @TaylorPylon: @TattooedAvenger you can tell he's tired of going up down up down. Plus he's playing more than 6 minutes a game
1510647732_395339238402973696 x	@LickMyLundqvist no he's probably too busy slapping the Sedins around
1510647732_395332901703016448 x	RT @AGrossRecord: Zuccarello and Kreider causing a lot of havoc together for the Islanders around Nabokov.
1510647732_395332880987353088 x	RT @NYRangers: wild scramble in front of Isles net, somehow puck does not go in..great shift for Kreider, Zuccarello, Stepan...4:53 to go i?
1510647732_395331911192965120 x	Most of my new followers are Ranger fans. Very nice!
1510647732_395331525694488576 x	And Brad Richards with the helper. Boom.
1510647732_395331217534746624 x	CHRIS KREIDER!!!! ITS A POWER PLAY GOAL BABY!!!!! #CK20
1510647732_395328552482373632 x	RT @kennybelvin: Dan Girardi has dealt with players much better than you, John Tavares.
1510647732_395318312496037888 x	Anson Carter > Taylor Pyatt
1510647732_395318698392965120 x	@SMReckless_10 whoa I love Blair Betts!
1510647732_395310040036675584 x	you're all right...i should be nicer and less vulgar.  first step: go fuck a donkey and eat my dick.  what?
1510647732_395304877418872832 x	"Did you hear me? Misse was just on channel 7"  "uhhhh yea, yea she was"  "she's a looker...."  Dad 1 - Bobby 0
1510647732_395302874517110784 x	hey Eyewitness News, if you're gunna put one of my exes on TV for EVERYONE to see can you at least throw one of the hot ones on there? Fuck.
1510647732_395301424529408000 x	cracking up..fun.  cracking up eating ziti...no so much fun.  can cross "almost choking to death on pasta" off my bucket list   ?
1510647732_395292006714724352 x	New Twitter is kinda lame so far...and seriously these unwanted notifications need to fucking stop
1510647732_395284827655901184 x	RT @thischickmegan: Attention all snapchat users: it does notify the sender when you screenshot.
1510647732_395272060533886976 x	RT @bklynjoker90: #TwitterCrushTuesday your mom
1510647732_395269797715640322 x	we're just trying to find some meaning..in the things that we believe in...but we got some ways to go....
1510647732_395269243820072961 x	RT @cgrif5: goal cunts
1510647732_395267126849970176 x	@Bitterchick great fucking song!
1510647732_395266331098226688 x	@stephennyr89 you're a fucking warrior. bitches be grateful to date you bud
1510647732_395266787543367680 x	@stephennyr89 well I'd go gay for you lol
1510647732_395266587592499200 x	ladies, follow my dude @stephennyr89 . He's like Wolverine and Batman but with a way bigger dick I bet. Do it.
1510647732_395265272950845440 x	RT @mikemorrealeNHL: Asked Jagr about fatigue and his durability. He interupted my question and said, "I don't get tired man. My body is di?
1510647732_395265182592942080 x	and maybe I'll get famous..as the man who can't be moved...
1510647732_395233011371085824 x	@GeoffMags5490 completely agree dude
1510647732_395241649519210496 x	@GeoffMags5490 and new stories ala Paranormal Activity
1510647732_395232957201657857 x	RT @GeoffMags5490: Blair Witch could've been a great horror franchise...but then they ruined with a God-awful sequel
1510647732_395226187121061888 x	trust me when I tell you this gash in my hand REALLY FUCKING HURTS. A FUCKING LOT. STUPID FUCKING NAIL. http://t.co/185jhp7Hsr
1510647732_395205817223618560 x	@quasiperfetta fuck that. Angry Bitchface all day bruuh
1510647732_395206355822575616 x	@quasiperfetta i can't hide shit apparently. i wonder what my "i wanna stab you 40 times" face looks like then. ?
1510647732_395208421550862337 x	@quasiperfetta I roll my eyes at people. a lot. don't even realize I'm doing it half the time. don't be a jackfuckbag and that won't happen
1510647732_395202852127526912 x	RT @DynamiteComics: ASH AND THE ARMY OF DARKNES by @SteveNiles & @DennisCalero hits stores tomorrow! Early review from @entertainfuse -http?
1510647732_395135667136897024 x	when i wake up in the morning i start humming the Training Montage from Rocky IV.  me > you
1510647732_395036272055824384 x	when people refer to me as Captain America >>>>>>>>
1510647732_395026996490960896 x	RT @broadwayblonde_: You send down Fast & Pyatt still has a job.. why @NYRangers?!
1510647732_395012482341023744 x	RT @serao_11: Somebody get Nash and Cally that Deer Antler spray Ray Lewis used. Or whatever Adrian Peterson has in his blood that got him ?
