868517414_392093060844519424 x	@1procrastonator @Browns4life false u have to make the playoffs first
868517414_392081185436090368 x	RT @NFL_Memes: Manning vs Luck http://t.co/YgbZHexLtK
868517414_392056580889255938 x	RT @RoobCSN: Last time the Eagles lost consecutive home games to Dallas by 14 or more points: 42-7 in 1971 and 28-7 in 1972. #EaglesTalk
868517414_391966384986783744 x	RT @SportsCenter: AP Top 10: 1) Alabama 2) Oregon 3) Florida St 4) Ohio St 5) Missouri 6) Baylor 7) Miami 8) Stanford 9) Clemson 10) Texas ?
868517414_391964733378936832 x	RT @phillythakidd: Cowboys welcome to Philly! We are your hell!
868517414_391756843863003136 x	RT @BenRevere9: This has been upset Saturday in college football!
868517414_391367405936857088 x	RT @bhoyer8: Thanks everyone for thoughts & prayers.Surgery went great.Now looking forward to getting back.Cant wait to put that orange hel?
868517414_391010791253884928 x	RT @ESPNNFL: Russell Wilson is BALLIN!
868517414_391010770311712769 x	RT @BrettAnderson49: Give Jose Iglesias the Gold Glove for next year, now...
868517414_391010718281371649 x	RT @MikeVick: It's some tough teams in the Eastern conference this year. #NBA
868517414_390976450901594112 x	RT @NFL_Memes: Who's the better cornerback? http://t.co/430EZr8v2R
868517414_390916017301774336 x	RT @SportsCenter: THIS JUST IN: Texans announce Matt Schaub will not play this week. Case Keenum will start at QB.
868517414_390915935093424128 x	RT @AdamSchefter: Texans QB Matt Schaub out: Case Keenum starts.
868517414_390287501157728256 x	The @NHLFlyers are actually the worst in the league
868517414_390283202340065280 x	RT @MLBStatoftheDay: .@MiguelCabrera?s streak of reaching base ends at 32 #postseason games, the longest in @MLB history.
868517414_390267759567048704 x	RT @ESPNNFL: NFL rushing leaders:  1 LeSean McCoy 630 2 Arian Foster 531 3 Marshawn Lynch 487 4 Adrian Peterson 483 5 Frank Gore 477
868517414_390263293535088640 x	RT @RoobCSN: There have been four 1-0 playoff games in the last 11 days. There were three in the previous 11 years.
868517414_390249116909207552 x	RT @ESPNNFL: THIS JUST IN: Packers place WR Randall Cobb on IR-designated to return list; eligible to return in Week 15
868517414_390248907449843712 x	RT @EagleFanProbs: Yearly quarterback controversies. #EaglesFanProblems
868517414_389701276595781632 x	@ESPNStatsInfo expected jaguars are top notch
868517414_389701220669349888 x	RT @ESPNStatsInfo: Peyton Manning posted his lowest Total QBR of the season Sunday, but see how he compares to Tom Brady in 2007 http://t.c?
868517414_389548716119818240 x	RT @ESPNFantasy: Jimmy Graham today #FantasyDisaster
868517414_389548416269025280 x	RT @NFL_Memes: What a finish in New England http://t.co/0qXhUCulOB
868517414_389548218151079936 x	RT @ESPNNFL: RT if you have the @Redskins winning on the road at Dallas tonight.
868517414_389547961077989376 x	RT @SportsCenter: That's the first time Tom Brady has EVER beat Drew Brees head-to-head. Brees was 3-0 in their previous match-ups.
868517414_389086141129187328 x	RT @SportsCenter: THIS JUST IN: Eagles QB Michael Vick is out of Sunday's game against Bucs with a hamstring injury. (via @SheridanScribe)
868517414_389036263288086528 x	RT @SportsCenter: Only 17 days left. Keep working on that jump shot #NBATipoff ? http://t.co/si2AOP04vW
868517414_388859479108124672 x	RT @JHarden13: Praying for you and your family bro! @AdrianPeterson
868517414_388857498415169536 x	RT @SportsCenter: STAT OF THE NIGHT: Baylor has scored 70 Pts in 3 straight games. Only major college to score 70 in 4 straight? Yale in 18?
868517414_388810692557803520 x	RT @callmeprice: #PrayForAP
868517414_388614230624448512 x	RT @ESPNNFL: Eli Manning has as many interceptions as he did in all of 2012 through 6 games.
868517414_388470104067174400 x	RT @NFL_Memes: Eli Manning throws two picks on the Giants first two possessions! http://t.co/qy4fO30oaN
868517414_388462948664221696 x	RT @ESPNFantasy: #EliFace. Bears D/ST INT
868517414_388456211345342465 x	RT @espn: The Harlem Shake got old quickly.   Elimination games? They never get old.
868517414_388453341409607680 x	RT @ESPNNFL: RT if you have the @ChicagoBears winning tonight at home vs the NY Giants.
868517414_388252468175732736 x	RT @22wiggins: One time don't change everything
868517414_388097739579752448 x	RT @NFL_Memes: Giants Fans Be Like.. http://t.co/qkxE7FqbgP
868517414_388096461483044864 x	RT @CutonDime25: Knowshon sucks RT @RealSkipBayless: Peyton is doing what Peyton always does. But Knowshon is KILLING the Cowboys.
868517414_388096439387447296 x	RT @MikeVick: A win this week will be HUGE for the ball club. Let's go Philly
868517414_388094048298602496 x	RT @AdamSchefter: Imagine the emotion for Falcons WR coach Terry Robiskie: loses Julio Jones for year, but team signs his son, Brian.
868517414_387893654175903744 x	@ESPNNFL broncos will be upset by the jags this week #boldprediction
868517414_387756786750877696 x	RT @Titan_Terror: Homecoming Football game vs. Pennridge @ 7 on Friday! #yellowout to support livestrong!
868517414_387719955577593856 x	RT @NFL_Memes: Drew Brees after last nights Falcons game.. http://t.co/VmEOtv0rE9
868517414_387391715336019968 x	Clearly out at second #TBvsBos
868517414_387385697386369024 x	RT @SportsCenter: Peter Laviolette's firing after 3 games is earliest in NHL history. Philadelphia's longest-tenured pro coach is now Chip ?
868517414_387371078676672512 x	RT @NFL_Memes: This explains everything! http://t.co/y63q3HrYcF
