917224116_396070473450397696 x	@newtgingrich @CrossfireCNN TRICK!!!!
917224116_399648356592779264 x	@jmartNYT @gretawire @GovChristie Encouraging BHO is terrible but the Rep leaders DC are wimps McConnell Boehner McCain and Graham
917224116_399544834895396864 x	RT @largelatteplz: Dear @ABCNews,  Who cares about the crack~smoking CANADIAN Mayor...we have a pathological lying AMERICAN President steal?
917224116_399520422070595585 x	RT @PoliticalLaughs: Q: Why are there so few real Barack Obama jokes? A: Most of them are true stories.
917224116_399460408945557504 x	@DianeNeal An honest refreshing tweet.  Love it.
917224116_399355325155131392 x	@MonicaCrowley Clinton did not spend $6 trillion and have nothing but economic chaos
917224116_399339091382509568 x	@GOPLADYAMY $6 Trillion and that is not counting the ecomomic, industrial damage he has caused.  But the press plays on.
917224116_399308929966280704 x	@AnnCurry Really!!!  not this administration !!!! And the press plays along !!!!!!
917224116_399288480368701440 x	RT @BradMD: GRASSROOTS AGAINST OBAMACARE. Retweet and followback everyone. #MakeDCListen #pjnet
917224116_399233128478543872 x	@WSCP2 @mgdauber It just feels like Boehner MCCain Grahan and McConnell are on the other teams payroll.
917224116_399207666901610496 x	RT @PoliticalLaughs: New #Obama slogan: You can never be too taxed or too thin.
917224116_399206859879743488 x	RT @OCAmericans: Grand Theft Obama: Biggest Heist in U.S History. Americans are being robbed of their livelihoods #tcot http://t.co/xgpEwtg?
917224116_399204617051181056 x	@RightWingArt IMHO that is about 6 times zones to close.
917224116_399193316778328064 x	RT @Applebees: I've got my mind set on you. #CowboyBurger http://t.co/v6uhwrcwQR
917224116_399190950792404992 x	@DollyDextra @OCAmericans Chads on steroids. High tech voter fraud.  Lets let holder or the IRS investigate.  Scary
917224116_399177045386997760 x	@SallyAnnMosey death toll won't be known for days. Numerous tweets re: death toll as useful as reading depth gauge on titanic no respect.
917224116_399174941670928384 x	RT @BikinInMaine: Newt WARNED us! We didn't listen! #tcot #pjnet #withnewt http://t.co/YkJjkDZsRy
917224116_399174565450235905 x	RT @RightWingArt: IMAGE: Obama - How stupid do you think we are? http://t.co/tZ2iymU4Sv #nobama #fail #resist44 #criminal #corrupt #liar #f?
917224116_399172620174000128 x	RT @VotingFemale: Thanks Obama:  Woman's ID Stolen b/c Signed Up For Obamacare (Video):  http://t.co/UqjsaoFjeH  #coleg #NRA #tcot #tlot #p2
917224116_399172128878387200 x	RT @RightWingArt: IMAGE: When grown-ups were in charge... http://t.co/zoPbHyMAfQ #tcot #tea #reagan #thatcher #rip #conservative
917224116_399171248733032449 x	RT @BarneyFranken: Obama Secretly Lifted Sanctions on Iran in June? So THATS Why Current Talks w Iran "Are Not About Lifting Sanctions." ht?
917224116_399029426186645505 x	@CharlieDaniels She certainly looks like she is from another planet.  I see a resemblance to E.T.
917224116_399010509510705152 x	RT @teaparty321: "I know not what course others may take; but as for me, give me liberty, or give me death."~ Henry   RT if you agree  #Red?
917224116_398894774016823296 x	@WPIX the "hood" Really suki takes the news to a new low.
917224116_398812358220709888 x	@cvpayne George Will characterized him as a Tin Cup Dictator who thinks the office is beneath him.  Worst President ever.
917224116_398461766365347840 x	@KarlRove @WSJ Really Karl Are you telling us that is the old defunct GOP or the highway? Get rid of worn out worn down party spokesmen.
917224116_398412413617598464 x	@realDonaldTrump Hope ur right.The Repub have to replace current leaders and produce a clear message. Less govt more energy better economics
917224116_398409935362752512 x	@marklevinshow BHO continues to insult our intelligence. His assault on the American people, our economy, our energy & eratic foreign policy
917224116_398285145327013888 x	@teaparty321 It sounds like the first days of the squawk of the aol 256 dial up modem.  Only slower.
917224116_398284247016157184 x	RT @lynseysue: @DLoesch exactly! Suck it up dirtbags.
917224116_398275971293655040 x	@DLoesch Kudos to Carrie Underwood and Brad Paisley.  I hopevit starts a trend.
917224116_398275143195426816 x	RT @DLoesch: Hysterical that some are angry over CMAs joking about Obamacare. Because no one has ever mocked the president at an awards cer?
917224116_398264348634013696 x	RT @TwitchyTeam: 'Obamacare by morning': Brad Paisley and Carrie Underwood hilariously mock http://t.co/YM20oj7kv6 during CMA's http://t.co?
917224116_397916589393477632 x	@seanhannity The Narcicist BHO has no shame.  I hope he keeps singing that tune.
