380717134_396783877810696192 x	Motorcycle shopping
380717134_396679473858625537 x	Have a vision? Do you need a design to bring thAt vision to life? Hit up @KiddKreative for designs #SeriousInquiries
380717134_396659083002253312 x	I'm still bitter from being cheated out of a Super Bowl!!! #spygate
380717134_396636039701626880 x	Protect your intellectual property! Get trademarks, patens, copyrights !
380717134_396633569126522881 x	Looking over the @BrooklynNets roster and they may just have if not more just as much talent than @MiamiHEAT roster! they have #ak47 !!!
380717134_396632223505735680 x	Rappers, Singers, promoters and Venues...are you in need of a design for your next project or event? Contact @KiddKreative today!
380717134_396629456728895488 x	My #sixers takes on @KiddKreative Bulls tonight!!
380717134_396337082454773760 x	@TonyBrunoShow you guys aren't near that shooting at LA international are ya?
380717134_396399088721494016 x	@TonyBrunoShow perfect, can't have anything happen to the legend!
380717134_396287301627961344 x	Marvin Gaye heirs suing Robin Thicke for Blurred Lines Sample as pointed out by @TonyBrunoShow @JoeYounes975
380717134_396282541843709953 x	@TonyBrunoShow @JoeYounes975 @HARRYMAYES975 we need a mobile QB or Shady will be worthless dual threat opens the box
380717134_396109632361332736 x	@VerizonFiOS how soon will tonights episode of @ScandalABC be ON DEMAND??
380717134_395971156312072192 x	I'm ready for Xmas music
380717134_395927621328175105 x	Expedited the order of my @MCW1 jersey! #togetherwecan #sixers
380717134_395762963136929792 x	RT @abc27News: AppleCare's first East Coast facility could make the Midstate its home. @DanCarrigan1 reports: http://t.co/UlPyQVT5JY http:/?
380717134_395727391974510592 x	Dunno how to react to Sixers game
380717134_395572341457313792 x	RT @ESPNNFL: RT if the bye weeks are crushing your @ESPNFantasy lineups: http://t.co/ynaTP1P9dj
380717134_395572309467340800 x	RT @MarkMcMillian29: Dudes get it twisted just because the mother of your kid doesn't want to be with you doesn't me you take it out on not?
380717134_395567405113430016 x	@RapSheet HUFF is the CB drafted by OAK???
380717134_395564253542764544 x	@JoeYounes975 @TonyBrunoShow @HARRYMAYES975 Who will have the brighter future A) Eagles B) Sixers C)Phillies D) Flyers E) Bruno memory lost
380717134_395323941813628928 x	@kthompson2k11 Just when you thought last class was too much reading....
380717134_395561888093704193 x	@kthompson2k11 lucked up with all the holidays
380717134_395562594750054400 x	@kthompson2k11 still short class... winter break
380717134_395563276399955968 x	@kthompson2k11 we just got our grades from sports law..
380717134_395209394629410816 x	Is Foles starting in Oak?? @TonyBrunoShow @JoeYounes975 @davespadaro
380717134_395197898922942464 x	Who gets the first victory at home... Sixers or Eagles @TonyBrunoShow @JoeYounes975 @HARRYMAYES975
380717134_395195761572716545 x	nFL trade deadline today at 4pm!!
380717134_395041502172553216 x	violation on NBA2k for stealing @TonyBrunoShow stone-cold lead pipe lock saying @JoeYounes975 @HARRYMAYES975 http://t.co/6YJMBN5sDN
380717134_395016862842372096 x	#EMINEM #MONSTER FT RIHANNA http://t.co/MqD8tYFFND
380717134_395003260760629248 x	Get your #NBA2K14 #LockerCodes here -  http://t.co/NNjnnNUxjP
380717134_395002820300005376 x	bout to ride out and get a @McCafe Caramel Mocha Frappe from @McDonalds
380717134_394995038133833728 x	@JoeYounes975 some inspiration for the preparation pre-game celebration..to the NBA SEASON sir LeBron @TonyBrunoShow http://t.co/jtOgRHLGsx
380717134_394988051144785920 x	I can't submit an iMovie presentation without adding music... #Creative
380717134_394872667419197440 x	RT @BuzzOnBroad: Dear Allen Iverson, put in a good word about the #Sixers to Lebron James. From Philly with love xoxo
380717134_394872349457403904 x	RT @PennLive: A Mechanicsburg man has been arrested after allegedly being caught naked watching three young girls at YMCA http://t.co/nd8sY?
380717134_394872340091514880 x	A Mechanicsburg man has been arrested after allegedly being caught naked watching three young girls at YMCA @TonyBrunoShow Central Pa 4 ya
380717134_394871917070802944 x	Why let @alleniverson retire? Let him run with the boys this year #sixers our guards could use some training from the  #legend
380717134_394871222628278273 x	@AnthonyDiMoro we won't see a Hershel Walker trade ever again!
380717134_394871085642297344 x	@AnthonyDiMoro salary cap won't allow them to get AP..one of the highest paid players in league...MJD a possibility
380717134_394869312261226496 x	Sitting here thinking wow me N @VeseyVision use to get into some serious stuff lol just wow...
380717134_394869936444944384 x	@VeseyVision not a single ounce of it lol
380717134_394841805868785664 x	Question for Baldy...How did Barkley beat out Dennis Dixon? @TonyBrunoShow @HARRYMAYES975 @975TheFanatic @JoeYounes975
380717134_394841132154499072 x	Less than 6 months before I graduate college with my bachelors in sports marketing & media!!! @FullSail #SMMBS
380717134_394840259147862016 x	Do we begin the rebuild with this years trade line or do we start with draft? @TonyBrunoShow @HARRYMAYES975 @JoeYounes975
380717134_394829534908137472 x	@TonyBrunoShow  @HARRYMAYES975 Lol How bout those damn cowboys letting megaton rack up 300+ on them lol http://t.co/cKDUUZ1kve
380717134_394828989652807680 x	Really can't wait for that new @Eminem album next week #GOAT
380717134_394828682940153856 x	It's only right that Matt Barkley starts this week... Let the kid learn... #NFCLeast #TankForMariota
380717134_394620184490549248 x	Feels like I just started my Sports Law class @SLC_SMM_FS ...now its over :(
380717134_394619983684059136 x	@CakeBossBuddy I need another NEXT GREAT BAKER Series in my life!!! @TLC
380717134_394615678420127744 x	Anytime you go against someone with Drew Brees and Calvin Johnson you just chalk it up ...half my team had bye week
380717134_394607381331443712 x	Grocery store managers take stocking a new item to a new level,5 managers hovering over Scott's tissues switching red boxes and green boxes
380717134_394560363368546304 x	Great one of my FF opponents has Calvin Johnson
380717134_394559793589145601 x	How bout them Cowboys
380717134_394552353832988672 x	Miracle x3?
380717134_394548881800704000 x	Who needs shows like 16 & prego or CatFish.. make A Life of an Eagles Fan reality show...
380717134_394547755516821504 x	The week in which the Jacksonville/London Jaguars scores more points than the 3rd ranked Offense of the Philadelphia Eagles
380717134_394545928930996224 x	I never expected us to go to the playoffs or win more than 6 games but to loose these games this way!!! No TD's in 7 quarters
380717134_394545205782671361 x	It is very clear that Kelly is on board for the tank for Mariota campaign !!!
380717134_394537210751361024 x	Don't look now but the Eagles D is hitting!!!
380717134_394536719166361600 x	Best impression of the @BrianDawkins "Dawk-Plex" ... maybe thats a sign of good things to come from D... prayers for Cruz tho
380717134_394536074719936512 x	This sucks in 32 languages
380717134_394530819802267648 x	wait... a new website for bullying ? ... #OnlyInTheUSA
380717134_394530528914722816 x	@eaglescountry @brittxeagles oh snaps...
380717134_394528681399316481 x	It was only right Barkley got his INT's out of his system last week...
380717134_394528564475072513 x	RT @LVHEAT702: Barkley ooooo kill em!!!!
380717134_394526095027892225 x	@Ike58Reese that's what I am asking... or do I have to return this 60" HD TV??
380717134_394525845542277120 x	We have to give major credit to the Eagles Defense.. they are keeping the team in the game
380717134_394525382990245888 x	Barkley time!!!
380717134_394516831903313921 x	@PHIEagleFans The product is not worth the money and The Linc does not cater to home field advantage..its more of a corporate meeting place
380717134_394523714487721984 x	@PHIEagleFans This is why the stadium is quiet
380717134_394518352464330755 x	Call Jeff Garcia
380717134_394518320709259264 x	Our defense shouldn't have to deal with this... last year they were the blame now the O is the blame
380717134_394518063506153472 x	Tanking for Mariota??
380717134_394517798237396993 x	Does Bryce Brown know North & South??
380717134_394517733317951488 x	Take Vick out..this is like watching RG3 in that playoff game with his knee...
380717134_394517433563619328 x	Vick doesn't look right!
380717134_394517398071435264 x	@PHIEagleFans They'll come around..those first 2 possessions were hurtful
380717134_394517141744914432 x	My son playing with his McQueen toys are louder than the fans at The Linc
380717134_394516883237396481 x	@PHIEagleFans I Miss the VET
380717134_394516659630657536 x	@PHIEagleFans I was there for the KC game and how do they expect fans to cheer when their is nothing to cheer for?
380717134_394504672305618944 x	If we do not get a home win today..all hell will break loose!!! #EaglesNation #FlyEaglesFly #TheLinc
380717134_394504361419608064 x	I am gameday ready... are you???? #EAGLESNATION #FLYEAGLESFLY
380717134_394262095669522433 x	At @DairyQueen watching the #PSU game with the manager...
380717134_394257105395654656 x	@KiddKreative loving the logo bro
380717134_394254465923969024 x	Thinking of @DairyQueen
380717134_394257036781031424 x	@KiddKreative @DairyQueen is going to complete my day!
380717134_394254553882710016 x	No more thinking...making @DairyQueen happen.... NOW!
380717134_393548399452360705 x	@KiddKreative I know I wish I did
380717134_393547141811306496 x	76ers Release Royce White @TonyBrunoShow @JoeYounes975 who was the answer to my question last week about who win more away games?
380717134_393545414030684160 x	I hope @RockstarGames @GTA5Updates next update is to fix the mic online...tired of people just blowing air in the mic to be annoying!
380717134_392007619864317952 x	Barkley doing to old school...walk by the coach to get some burn move..lol
380717134_393418847308759041 x	Forget a ? hump day Wednesday today is #scandal ?? Thursday wooot wooot @ScandalABC
380717134_393150030871154688 x	Get your #NBA2K14 #LockerCodes here -  http://t.co/NNjnnNUxjP
380717134_393097307820163073 x	Any validation to this Drake & Kris Jenner mumbo jumbo
380717134_393048791097819137 x	Excited to be canceling comcast today and renewing with @VerizonFiOS in dec when I move! Wish I could have the activation fee waived
380717134_393043063838617600 x	@TonyBrunoShow @HARRYMAYES975 @JoeYounes975 @975TheFanatic who won the lightning round??
380717134_393042065736880129 x	RT @daveberrios: ?@JamesTSantiago: @TonyBrunoShow @JoeYounes975 @HARRYMAYES975 who scores more by end of yearBruno, MCW, Nick Kayle or Eagl?
380717134_393038302045290496 x	RT @IamDonPark: @JamesTSantiago @JoeYounes975 @HARRYMAYES975 Definitely @TonyBrunoShow No question! LOL
380717134_393030971005861888 x	@TonyBrunoShow @JoeYounes975 @HARRYMAYES975 who scores more by end of year? Bruno, MCW, Nick Kayle or Eagles Defense
380717134_392732249659285504 x	@NorthPhillyKane I got your GTA V friend request
380717134_392733594218938368 x	@NorthPhillyKane I hear ya, I be bounty hunting lol ...big$$$
380717134_392732820483108864 x	@adbrandt is it at all possible Adrian Peterson gets traded to the freaking cowboys by deadline? h.Walker the sequel .. #worriedEaglesfan
380717134_392731933278748673 x	I highly recommend Chip doesn't mention the QB he wants bcuz Joe Banner is out to screw the Eagles over ...@TonyBrunoShow agreed?
380717134_392669796493721600 x	@TonyBrunoShow @HARRYMAYES975 is it possible the stinking cowboys could land Adrian Peterson?
380717134_392672041851420674 x	@TonyBrunoShow would be crazy scary tho...
380717134_392665079717842944 x	Starting to worry Cowboys might land Adrian Peterson before trade deadline!!! Is it possible @AdamSchefter
380717134_392640832828092416 x	Training to get my bike license
380717134_392458876656054273 x	We need real returners back there...playmakers not just speedsters
380717134_392458796582580225 x	I think D.Johnson should be traded or cut I mean anyone can run out and get 18 yards on a kick return ...most the time it's a touchback
380717134_392455777317031936 x	Sixers MCW just can't score he is what 0-12 shooting
380717134_392449936153141249 x	LeBron James Says He Wants To Play One NFL Game Before He Hangs It Up! http://t.co/lzK9sFsGtJ
380717134_392410709109538816 x	RT @kurt13warner: A part of me would love 2 call a team needing a QB 2 see if I could still do it! The rest of me is shouting "Idiot, enjoy?
380717134_392398705942597632 x	Lol is Jeff Garcia still available?
380717134_392396947614867456 x	@TonyBrunoShow your boy G.i Joe Kinne reportedly coming back!!!
380717134_392317899387715585 x	@TonyBrunoShow @HARRYMAYES975 @JoeYounes975 how bout your boy Marcus Vick lol
380717134_392271802116087810 x	@TonyBrunoShow I would blame some lost on return game but even with short field we couldn't score @HARRYMAYES975 @JoeYounes975
380717134_392025304635805696 x	RT @Ike58Reese: Leaving LFF after another LOSS, WTFeezey is wrong? The fans deserve BETTER than this! #FlyEaglesFly
380717134_392024297947947008 x	I want changes.. I hate the way the Linc is set up... no home field advantage what so ever.. make it more like the VET
380717134_392023979319246848 x	Damn we couldn't even get a TD
380717134_392023848893177857 x	#MariotaWatch
380717134_392023563621761025 x	Riley Cooper has been balling
380717134_392021763913048064 x	Shout out to our defense tho!
380717134_392020104075943937 x	What can Chip say now... our defense handled theirs today..it was his offense that couldn't get it done
380717134_392019968209854464 x	I'm not even going to check on my fantasy team
380717134_392019628332830720 x	It's not like I wanted us to go to the playoffs or anything... #MariotaWatch
380717134_392019042082754560 x	RT @FlyEaglesNation: I'm on the Mariota bandwagon
380717134_392018738662240257 x	However... WE ARE #PSU with the INT
380717134_392018676158697472 x	I blame Celek for that INT..wouldn't have happened had he caught that pass..INT play prob would have been a run
380717134_392018401562214400 x	RT @Jeff_McLane: BREAKING: Eagles just announced that Michael Vick's hamstring is 110 percent and he will return to play the remainder of t?
380717134_392018319739330560 x	Whelp...
380717134_392018124544806912 x	Celek with the pancakes hands
380717134_392018051157078017 x	Ordering my Barkley Jersey tomorrow following the outcome of this performance
380717134_392017204436160512 x	Already has a better QB rating than Foles this game!!!
380717134_392014435461500928 x	LOL at all those folks who dropped Cutler, Eli, etc... to pick up Foles in Fantasy ...
380717134_392014068338290688 x	I need another Romo Turnover... someone go to the grocery store to get some!
380717134_392013953661804545 x	What do we do if Barkley goes down???
380717134_392013730004758528 x	oh oh @MattBarkley time!!!
380717134_392013049567391745 x	RT @Jeff_McLane: BREAKING: #Eagles declare Michael Vick 100 percent recovered from hamstring injury and ready for next week's game.
380717134_392012778036154369 x	I've seen it all....
380717134_392012537442480128 x	No confidence in Foles at all.. if we just going to run it.. just go for the FG now and save time lol
380717134_392012368151986176 x	I don't like that... Foles is like 6'9
380717134_392012286660837376 x	WHY SHOT GUN???
380717134_392012151230971904 x	@BleedingGreen in the NFL... as far as the NBA... PAUL PIERCE
380717134_392011645930598401 x	Science and Psychics live!!!!
380717134_392011275510616064 x	dunno if enough to over turn it...
380717134_392011011558891522 x	WIDE OPEN... HOW DO YOU UNDER THROW???? CHIP MAKE THE ADJUSTMENT NOW... THIS IS AN OUTRAGE!!!!
380717134_392009527114989568 x	HELL YEA!!!!
380717134_392007189138640896 x	Chip has to take his defense into consideration.. they can't keep this up.. and we have to take advantage now!!!
380717134_392007041184591872 x	@MattBarkley please... i've had enough of Foles
380717134_392005428306931712 x	ouch from what I seen Boykins really hurt his arm.. possibly broken???
380717134_392004614871994368 x	@MarkMcMillian29 Matt warming up?
380717134_392004550263336960 x	RT @NFL_Memes: Chip Kelly Logic http://t.co/nNohiYszwV
380717134_392004414934106112 x	RT @Ninosssssssss: Put Barkley in. Fuck it.
380717134_392004061534236673 x	Put @MattBarkley in!!! please.. I can't watch Foles anymore
380717134_392003370270990337 x	Cutler downb.. doug Martin down... DJax shut down... my fantasy teams are ruined... please don't let us loose to cowboys and redskins win!!
380717134_392002449566752768 x	The a Hole chants are roaring!!!
380717134_391997484949463041 x	When does it come to the point that Foles realizes that he is hurting the team being out there obviously injured... let Matt Barkley play
380717134_391996770919530496 x	Why can't we have a dome filled with turf??? Our offense would be unstoppable .... plus we could host superbowls
380717134_391996267296878592 x	Congrats to @Ewolff27 with his 1st career INT
380717134_391995786260516864 x	Chip has no faith in Foles.... lol I wonder if Barkley comes out and starts the 2nd half ...
380717134_391995451521507328 x	Alright...no I am confused???
380717134_391995045886164992 x	You know what I like about Cooper..he runs back to the ball ..
380717134_391992734149795840 x	The Matt Barkley era is amongst us!!
380717134_391989177765482496 x	Can we at least try the old Andy Play-Action Bomb a rooskie play?? At least just once??
380717134_391988888526266368 x	Too much East & West running... we need North & South... that is where the endzones are!!!
380717134_391987778851860480 x	Seems as if they are feeding Randle the ball in hopes of the saftey closing in the box to attempt play action bomb!
380717134_391978522941460480 x	Jason Witten is killer to the Eagles as DJax is to the Giants...
380717134_391978311158464512 x	oh gawsh here we go...
380717134_391977871427645441 x	Is Vinny Curry active?
380717134_391977805321224192 x	the Defense is showing up today!!
380717134_391977379884584960 x	I know it's loud down at the Linc...Wish I was there!!!
380717134_391977196060807168 x	@createAspace lol
380717134_391976247787413504 x	Bryce?? What was that
380717134_391974662424391680 x	Great stop on 3rd down defense!!!! #FlyEaglesFly #BeatDallas #Eagles
380717134_391958016498475008 x	What Brotherly Love truly means http://t.co/DLIyBQ8wNm #FlyEaglesFly
380717134_391951850389245952 x	It's game day folks!!! #EAGLESNATION #EAGLES #BleedGreen #FlyEaglesFly
380717134_391402455075790848 x	I just connected my @klout account with Twitter. Connect and see how your @klout improves! http://t.co/G7TPph6akz
380717134_391042266208694272 x	@guillermodiazyo you better win an award for your performance on #Scandal or I'm going to drill some holes in that trophy!!! #beast #huck
380717134_391039701383413760 x	RT @ScandalABC: If U didn't vote yet, please vote now & get #Scandal on the cover of @TVGuideMagazine's Dec issue: http://t.co/tPZJRjTZyC
380717134_391024979862495232 x	Huck is on a mission!!! @ScandalABC
380717134_390925109349056512 x	I'm excited about the NFL trade deadline...I wonder what @eagles will address?
380717134_390924824471941120 x	@LincolnFinatic safety, WR and if all possible a good linebacker that fits the 3-4 scheme and can cover TE
380717134_390854067549130753 x	Flyers ready to whoop on them Pens!!! @KiddKreative
380717134_390890274559655936 x	@KiddKreative lol...dude flyers suck this year
