368586289_395362208944627712 x	NYR get it out Stralman!
368586289_395362069286895617 x	Isles net empty!
368586289_395341731463720960 x	RT @BSURadioJim: Did the Isles win the Cup with that goal?
368586289_395036379400249344 x	RT @therealtyla_: i tried to be a better me for you.
368586289_395342276563464192 x	RT @juanadog: There's no such thing as getting 'a good job.'
368586289_395341801856319489 x	Shots 9-1 NYR in 2nd
368586289_395407410849775616 x	RT @IAM_SHAKESPEARE: VIOLA. Nay, that's certain; they that dally nicely with words may
368586289_395400175989977088 x	RT @NHL: This hat trick is proof @NHLBlackhawks captain Jonathan Toews was "serious" about leading his team to victory. Watch: http://t.co/?
368586289_395400085795651584 x	RT @SocialustGal13: I love you guys. You retweet my tweets even when then have typos. Xx
368586289_395400034293788672 x	RT @crunchenhancer: Sometimes you just have to say fuck it, and drive to the liquor store at 11pm on a work night.
368586289_395392423808864256 x	@Saucy_C @Willc22_ @AndersonEd27 @iAMboatsNYIHR that said, his game is more of position rather than of physical attributes. He may surprise
368586289_395394552007495680 x	@Saucy_C @Willc22_ @AndersonEd27 @iAMboatsNYIHR whatever, eff Vanek anyway
368586289_395399887484751874 x	@Saucy_C @iAMboatsNYIHR @Willc22_ @AndersonEd27 oh, I missed the initial thread of discussion. I should retire.
368586289_395394770240958464 x	RT @sass_slinger: I think that the waiting part can be the best part or the worst part of just about anything.
368586289_395394752964984832 x	@sass_slinger @alive_and_dying the waiting is the hardest part, but anticipation, it's making me wait
368586289_395394176918888448 x	RT @clindsaysway: "Grease" taught me that if you change who you are, take up smoking, and dress like slut, you can get the guy of your drea?
368586289_395392947232841728 x	RT @Scott_A_Gilmore: If they call it an "eXpresso" when ringing you up, it's gonna be a bad cup of coffee.
368586289_395391599716208640 x	RT @torrami: Villains in children's movies are ugly because we don't care enough about our youth to teach them that attractive people are a?
368586289_395391379511472128 x	RT @TweetsOfGrass: He puts things in their attitudes,
368586289_395391290327564288 x	RT @_SetTheHook_: If you EVER wake me up before you go go, you better be giving me a blow blow.
368586289_395391184312360961 x	RT @TweetsOfGrass: He puts today out of himself with plasticity and love,
368586289_395381183728463872 x	Lexington Ave and 41st Street looking south in 1924 #NYR http://t.co/Kc5WS6ZeZk
368586289_395379656938901504 x	RT @HartnettHockey: Congratulations to #NHL journeyman Jaromir Jagr for setting the new league record with 119 game-winning goals, passing ?
368586289_395377480132870144 x	RT @AGrossRecord: Ryan McDonagh: "It?s a good feeling for everyone if we play the way we?re capable of, we can score goals."
368586289_395377426165166080 x	RT @balletrusse: One more from the shoot for @wearecathedrals http://t.co/qecOWsjibB
368586289_395377343415713792 x	RT @seangentille: Nazem Kadri awkwardly hits boards, stays in game (GIF) http://t.co/7BtiwOESQD
368586289_395377072245571584 x	RT @Jenny4ashley: Fuck me like I showed up naked at your door on Halloween.
368586289_395377055162175489 x	Let's not underestimate our shut-down of Tavares tonight either. That was Richards man, no?
368586289_395374186178162690 x	RT @sweetsubkitten: Never covet what another man owns if you had the opportunity to own it first.
368586289_395373810037161984 x	RT @meaghan_irvine: So like, we'll give you guys Khabibulin for Talbot @NYRangers
368586289_395372872471834624 x	AV says more impressive than the fact that we scored 2 PP goals was our look of confidence in our passing and movement on PP
368586289_395369997892984832 x	Jagr's goal good to see
368586289_395369179374559236 x	Give a big hand to @BRichards_1991 for the tone he set on the ice and for that ending sequence, leaping to Hagelin's defense@NYRangers!
368586289_395368617736683520 x	@lindacohn there she is! Love for Linda!
368586289_395368525407076353 x	RT @lindacohn: Awesome comeback win! Tremendous team effort. Great goaltending by Talbot again. #NYR
368586289_395368493933010945 x	where's @lindacohn tonight? #NYR
368586289_395368277062717440 x	Who is watching NYR Rewind with me?
368586289_395366531124588544 x	@RothmanHockey I missed face off story, looked better tonight. you have stats on that?
368586289_395367374645260288 x	@RothmanHockey thanks much appreciated verification. Brassard had a tough time last night on FOs
368586289_395368120308989952 x	@RothmanHockey thank you, kind sir!
368586289_395367715394703360 x	That set up passing sequence to McD in the high slot is so effective
368586289_395367477527343104 x	RT @RothmanHockey: Penalty minutes at the end, if you care: #Rangers: Richards 2-rough, Dorsett 10-misc. #Islanders: Clutterbuck 2-rough, T?
368586289_395367388746498048 x	RT @RothmanHockey: #Rangers won 60%. Stepan 10-of-16, Boyle 8-of-12 RT @jeromejuwan I missed face off story, looked better tonight. you hav?
368586289_395366984462114816 x	RT @HockeyRodent: near corner deep.   But under AV, he recognized the threat at the top of the slot.  That's where he thought to go.  He wa?
368586289_395366900651159552 x	@HockeyRodent very true
368586289_395366832619536384 x	RT @HockeyRodent: Pouliot's criss-cross is an illustration of what I spoke of earlier today.  Under Tortorella, Pouliot's move would have b?
368586289_395366669893132288 x	RT @drosennhl: The Ducks just keep winning, keeping pace with San Jose in the Pacific Division. Sharks have 21 points in 12 games, Ducks ha?
368586289_395366592730525696 x	RT @georgemalik: Possible Engblomism: "The forwards have to get in on the foreplay to create time and room for their teammates."
368586289_395366181353185280 x	Richards attitude on the ice: projecting self-assurance and swagger in Cally's absence. Kreider and Miller showing urgency and purpose
368586289_395365312641519617 x	We looked like the Pens, Blues, Caps on the PP tonight. More than the new geometrical lanes opening up, we looked commanding on the puck
368586289_395364308588056577 x	But the big story tonight is no doubt the PP production. Kreider's coming of age, Zuccs everywhereness, and Talbot's calm.
368586289_395364738156081153 x	@jeromejuwan oh wait, that's 3 stories
368586289_395364616357687296 x	I'm impressed that we beat a renewed Islander team that has looked very dangerous offensively. great win.
368586289_395363878588002304 x	Some strong signs tonight that this team has the passion and drive we've been looking for. Love that ending sequence with Richards.
368586289_395363465994309633 x	That's how you lead this team @BRichards_1991 nice job protecting Hagelin post-surgery. Passion!
368586289_395363123189661696 x	go home Buttercup, Clutterfuck, whatever your nursery rhyme name is
368586289_395362982164979712 x	Rangers win 3-2!  Richards throwing punches!
368586289_395362845308616705 x	Anyone have Face Off stats?
368586289_395362503934226432 x	NYR clear it down the ice, but hey let's prolong this unstable harmony by turning back the clock!
368586289_395361967457591296 x	RT @xosm: The only night of the year I'm not begging h for sex is when his NYR win. Jerkoff
368586289_395361931826982913 x	Get it out!
368586289_395360713142566912 x	NYR living dangerously, but it is so exciting!
368586289_395360559191040000 x	Buckle down boys the Isles are coming at you now!
368586289_395360435488444418 x	Pouliot reminds me of Matteau in stature
368586289_395360151504314368 x	Beautiful passing Hagelin and Del Zotto to Pouliot! 3-2 NYR!
368586289_395359730769858560 x	Isles spending too much time in our zone now
368586289_395359131705421824 x	RT @Pauluh_Jessica: Good kill boys ?
368586289_395358945109229568 x	RT @nyr_princess: Lmfao at the guy taking a selfie with Zucc and refs behind him ?
368586289_395358562114760704 x	Good fucking job Boyle
368586289_395358261970337792 x	Though Grabner turned, Zuccs did hit him from behind and he was defenseless at that moment. But let's see what @kfraserthecall thinks
368586289_395356771793260544 x	Get the fuck off Hagelin's golden locks you troglodyte Okposo
368586289_395356501537087488 x	And the crowd with a Let's Go Rangers chant!
368586289_395356309517647872 x	I'll drink to that! NYR PP Goal! Mac truck! 2-2
368586289_395356000284205056 x	YESSSS McDaddy ties it. PP looks razor sharp tonight! 2-2 NYR!
368586289_395355681185751040 x	Ok here we go, a PP opportunity. We score, we can win. We don't, we probably walk away with no points.
368586289_395355299197894656 x	This scenario is a good test for us
368586289_395354740915064832 x	RT @drosennhl: They beat the Blackhawks twice, including 6-5. RT @penzrule: @drosennhl lightning record a little inflated.  Beating bad tea?
368586289_395354672610807808 x	That's the hard driving type of shifts we need to tie this up early
368586289_395354292107747328 x	We need a more sustained effort. Our 3rd Periods have been ho hum atrocious
368586289_395351096354697218 x	Is Girardi a Virgo? Cause Mercury is in retrograde until Nov 10th
368586289_395352625186496512 x	@Saucy_C maybe Kreider is, cause he should have 6 goals in the last 2 games. How many NYR are Virgo or Gemini, the 2 signs ruled by Mercury?
368586289_395353315552133120 x	@Saucy_C oh well, it was worth an inquiry. Got any other way to explain our NYR?
368586289_395353597061246976 x	@Saucy_C maybe I'll start a NYR Astrology account on the side, lol
368586289_395352234050846720 x	Only the NYR could make me turn to astrology for explanations
368586289_395351395798249472 x	RT @fgboof: @xosm Brooklyn Islanders playing?
368586289_395351269478793216 x	RT @bizarrospeak: You're welcome Islanders fans...
368586289_395351250998685696 x	RT @joshkhalfin: I request an update on Rick of Nash @NYRangers
368586289_395350518106968064 x	RT @TheNYRBlog: I blame the visor for Girardi's struggles this year.
368586289_395350496007172097 x	RT @uberfoxy: It's nice to sleep early and don't care about twitter once awhile. You should try it.
368586289_395350222269730816 x	Well, at least I made it to the end of the 2nd Period before drinking bourbon. #NYR
368586289_395348895741386752 x	RT @RothmanHockey: Puck goes off Talbot's glove, off Girardi, and in. #Rangers dominate the second period, but outscored 2-0 in the stanza.
368586289_395348833397243905 x	Back to reality, ughhh NYR
368586289_395348707459072000 x	RT @kevinbaumer: Sure it's entertaining, but no way #NYR way to be playing this end to end game with Talbot in his 3rd NHL game
368586289_395348645433733120 x	RT @kevinbaumer: Like I was saying...
368586289_395348623577210880 x	How could the Isles get 2 goals in this Period? We get nothing
368586289_395348491855069184 x	OH my god what a nightmare we are
368586289_395348417334874112 x	Im rewatching that sequence at the break
368586289_395348326423347200 x	RT @rangersreport: The Run & Gun Rangers?
368586289_395348267707281408 x	Faster Pussycat! Kill! Kill!
368586289_395348085259251712 x	Kreider! Talbot!
368586289_395347889192304640 x	yeah a great effort holding the stick
368586289_395347378191876096 x	RT @TomTheWicked: The fact that Taco Bell only has single-ply toilet paper should be enough proof that they're not interested in your clean?
368586289_395347180933767168 x	Miller looking Graves-like in front, taking punishment
368586289_395346841711423488 x	Strong shift draws the penalty. Imagine Kreider keeps this up and we  had Nash healthy. Not to mention Cally. A much better picture.m
368586289_395346346506321920 x	Kreider using the body better. best Forward on the ice again tonight
368586289_395346191895900160 x	Kreider hustle and bustle in the corner
368586289_395346074627358720 x	NYR need to make better line changes coming off the PK. Seems like every time we kill a penalty, the ensuing shift is too often odd man rush
368586289_395343531075567616 x	Yeah we really needed to score earlier in this Period. Pouliot c'mon!
368586289_395342754747650050 x	We need to regain our momentum off that Isles goal, not dilly dally with the puck in our own zone
368586289_395342590783942656 x	Seeing the goal again makes me mad Talbot couldn't stop it.
368586289_395341619710689280 x	RT @UndeRadar: See it so often, one team is dominating but can't finish, other team gets one chance and scores. Classic. #NYR
368586289_395341577163653121 x	RT @Garts2point2: Rangers unable to capitalize on their chances, opens the door for the Isles who finish their chance.
368586289_395341561233694721 x	Moore out for the game, Dominic
368586289_395341428739436544 x	RT @ScottyHockey: Another shortside goal on Talbot ... No excuse. And by a talentless clown like Clutterbuck ...
368586289_395341350012350466 x	RT @RothmanHockey: #Rangers have seven SOG to start 2nd, but puck bounces on Staal, and Clutterbuck roofs one on #Islanders first SOG of pe?
368586289_395341240121556993 x	Bad bounce, still Staal was overcommitted. Clutterbuck with speed buries that chance. Kind of chance where NYR would miss the net.
368586289_395340842283442177 x	Why did Pouliot not shooot you see all that net he had!!!!???
368586289_395340718543077376 x	Richards with a sneaky move prior to all that PP action to get the shot off from the left
368586289_395340500250542081 x	Best looking PP shift of the year.
