266340427_322911886263869440 x	? ; Seven Silvasy. Purchase "Sunday" @cdbaby http://t.co/v8l9aVAesF
266340427_375164094552498176 x	My new sounds: Mood to Rock http://t.co/7A7DiRdqa0 on #SoundCloud
266340427_400003351708184577 x	Please remember to Thank a Vet! Not just today, a sincere thank you whenever you see a soldier in... http://t.co/v9YSffkf8F
266340427_399690975150604288 x	Ah crisp November air #Eagles  #sundayfootball play&WON! Work it #NickFoles LOL Stream #MissUniverse w4th quarter?Yeah this feels like LOVE?
266340427_392559936322158592 x	RT @NFLONFOX: A Philly sports fan turned their front yard into a 'Philly Sports Cemetery' for Halloween (http://t.co/Ry5R6sN9v5): http://t.?
266340427_389749201774858240 x	Absolutely LOVE IT! I Highly recommend this hysterically funny & most excellent writing! So funny & witty! Very... http://t.co/nWTdt43INy
266340427_388850917296320512 x	I appreciate this weather. A little fall of rain can renew, refresh, and provide a new perspective. Appreciation...I love it.
266340427_388507839565549569 x	I love it....ahhh this week has been full of "early" 'November Rain'...gives me a warm sense of continuity...
266340427_386418562870829056 x	Mood To Rock by Seven Silvasy: http://t.co/war6wUxMP6 via @YouTube
266340427_384342515887140864 x	I never meant to start a war I just wanted you to let me in All I wanted was to break your walls All you ever did was wreck me #WreckingBall
266340427_378623549042593792 x	#nowplaying  Can NOT get out of my head but not complaining!?? "I promise it's a killer, You'll be banging on my chest Bang bang, #gorilla "
266340427_377961646100316160 x	#NeverForget  I will #NeverForget the #NY small business owner of a shoe store, who minutes after the 1st attack,... http://t.co/gNhHBrIxsN
266340427_377915378405740544 x	#NeverForget NY store owner grabbed every box of sneakers in store 2give women trying 2 run for safety in high heels #9/11Hero #EverydayHero
266340427_377526029046530049 x	?@lil_k_40092: @SevenSilvasy hey :)? Back at ya ?
266340427_377528823283081216 x	@lil_k_40092 Not happy weather is hot again It felt like football weather couple days ago(yea!) But now this? ugh! Other than that good&you?
266340427_377522958904090624 x	#SingleBecause I am someone looking for LOVE REAL LOVE ? Inconvenient Consuming Can't Live WithOut Each Other LOVE? http://t.co/c2JjYow0JT
266340427_377277368701710336 x	#Eagles   BREAKING NEWS: LMAO  Yup it's that time of year for some #MondayNightFootball http://t.co/fA3e1Qx7Cy
266340427_377270836119760896 x	BREAKING NEWS: #Redskins were doing fine until the game actually began. LMAO ? Seems they weren't ready for #Eagles #MondayNightFootball ?
266340427_376757682524663808 x	#ShesAKeeper  So...who wants to keep me? ?  ?@MensHumor: She's more stoked for game day than you. #ShesAKeeper?... http://t.co/KdSfBXm1ve
266340427_376677513516568576 x	#Gorilla #BrunoMars ? Mmm ? Yeeeaa ? LOVE IT!! ? http://t.co/bW3v1mxVIO
266340427_376567796135505920 x	Robin Thicke's 'Blurred Lines' named song of the summer by Billboard magazine http://t.co/SY8o39Z4g9 via @nydailynews
266340427_375712335945826304 x	RT @MensHumor: The NFL season starts tonight! Remember all of these retro NFL logos? http://t.co/4MIucpTx3i #TheBoard #ThrowBackThursday
266340427_375267131069562880 x	#Starbucks  If Starbucks delivered... I MIGHT be a morning person... maybe ... ?
266340427_375238603619577857 x	#MoodToRock TODAY AVAILABLE FOR SALE Pop/Dance song w/throbbing beat&sensual salsa undertones, http://t.co/D11ESvIMyg http://t.co/1r0C9SmQfv
266340427_375234530271330304 x	I posted a new photo to Facebook http://t.co/jQVJcTuhVf
266340427_375232776704131072 x	So call up your DJ .... http://t.co/MZTDR4yjIf
266340427_375191581474963456 x	?Mood To Rock? is a Pop, Dance, Party, Club song featuring a catchy pulse - throbbing beat with hot sensual salsa... http://t.co/3AeFrIFRei
266340427_375183122897190912 x	Check out RELEASE of "Mood To Rock" for Purchase at NATIONWIDE http://t.co/hFGBtc4UFV via @lastfm
266340427_375175687595765760 x	https://t.co/QTiJAKs4Q2 via @songkick
266340427_375164103293427712 x	Mood to Rock http://t.co/P6R9x4Pi01
266340427_375155699090587648 x	#MoodToRock  Are you in the Mood to Rock out all night long with me? ? Listen & let me know http://t.co/D11ESvIMyg http://t.co/svjtbV35dS
266340427_375142396205752320 x	#TrainingDay  "Where's the office, at division?" "You're IN the office baby..." ? "Going up"
266340427_375131595197677568 x	#SWAT  Hondo: "Oh look, they got their own airport security...!"
266340427_375129317535416320 x	#SWAT  "Sometimes doing the right thing isn't doing the right thing."
266340427_375118040066957312 x	#S.W.A.T. Hondo: "You know what they say, you're either SWAT or you're not." #SWAT
266340427_374428276099645440 x	@kmdrkode Hey sweetie, I DID put up new stuff! Did you check it out? https://t.co/gnBeGIb0qA
266340427_374425148331687936 x	Party song of the summer?? #BlurredLines "Hey Hey Hey Everybody get up & that's why I'm gon' take a good girl I know you want it..." #THICKE
266340427_371095358387941376 x	#TGIF "I?m calling you DJ, I wanna hear my song ?Cause I?m in the Mood To Rock out all night Long So CALL UP your DJ" http://t.co/xoRR2Dpwi7
266340427_371092023845339137 x	#TGIF #Friday #MoodtoRock #listeningto  "But there?s just one thing that we gotta do before we go... Turn up... http://t.co/m9Tz8zFG3N
266340427_370764840492478464 x	"She is a wily temptress...& what do wily temptress do?They tempt you, in a wily temptress way...& then play... http://t.co/T3DFEvboCF
266340427_370763454996828160 x	"She is a wily temptress...& what do wily temptress do?They tempt you, in a wily temptress way...&then play you" -Hater #WhatHappensinVegas
266340427_369648945183879168 x	#ReasonsToSmile My Pepe&beloved pets (as well as YOURS) are faithfully&patiently waiting at #TheRainbowBridge FOR US http://t.co/0iA9146Om1
266340427_368955027106197504 x	I've got my ripped jeans on ? ? my favorite shirt  ? ?       I?m as hell ...  ? ?    Your boyfriend?!   ???   Better keep YOURS IN SIGHT?..?
266340427_368951061744070656 x	I'm on a ?mission ? just to see HOW   MUCH TROUBLE.....I can get in   tonight.... ? Mmmmm! http://t.co/Mn5N06ma8r
266340427_368942962794721283 x	@elielarrey Thanks SO much for YOUR positive energy! See it's contagious? I LOVE that u love #Today  Almost all sites only feature preview
266340427_368947312715788289 x	@elielarrey You can always hit me at SevenSilvasy@gmail.com  I'd love to hear what you got! ?
266340427_368946587973586948 x	@elielarrey btw how's big #album #release going? Just listened again to get my jam on as I get ready night out! #MustBuyProduct when return?
266340427_368944495229820929 x	@elielarrey BUT MySpace #Today is available to stream https://t.co/ErxQqP4tRw  Dont worry #Today will be my next song released for purchase!
266340427_368941186666745856 x	RT @elielarrey: @SevenSilvasy The melody is great. I might have something you'd like, but I wanted to hear it first or buy it. Keep it up! ?
266340427_368941058597851136 x	RT @elielarrey: @SevenSilvasy hey how can I hear a longer version of #Today? I can't seem to find it anywhere on the web, is it out yet? I ?
266340427_367632035688775680 x	?@kannonradio: my birthday! We need a party!" What's your b-day wish? My guess...a cake w/tiers hot sauces? I can make that party happen?LOL
266340427_367681107753701376 x	Lol?it?@elielarrey: @SevenSilvasy @kannonradio I'll dedicate my track "Taking Me Back" to you Kannon Are you working that day? I'll call in"
266340427_368936905892585472 x	?@elielarrey: @kannonradio Seven should call in&sing a bday song for you w/her Diva voice" K knows I would've called at the crack of dawn! ?
266340427_368934042290245632 x	@kannonradio Want to sing a special"Happy Birthday"to my fiery Leo the Lion who's also hot n spicy! Hit me w/details of your b-day! <3 Seven
266340427_368931131963355137 x	RT @elielarrey: @SevenSilvasy Hey check out my new mini album Now in stores #TakingMeBack https://t.co/kKnSFN9Jf1 ? #nowplaying #EDM
266340427_367818787426689024 x	Well if it's a Saturday then hot saucy cake IT IS FOR YOU! ? ?@kannonradio: @SevenSilvasy @elielarrey it's a Saturday. So helllll no lol :)?
266340427_367688708553990145 x	Awesome, thanks! Will email...including some songs not posted yet! ?@TangieHitz: @SevenSilvasy nice songs send them to promo@greenhitz.com?
266340427_367686494787366913 x	?@elielarrey: @SevenSilvasy keep doing what you do. #superstar #rolemodel? THANK YOU! Went thru hell w/voice BUT kept #fighter NOW #stronger
266340427_367684745712660480 x	RT @elielarrey: @SevenSilvasy while listening to ur music today I took sometime to read ur bio, very touching,  inspiring and moving.  I ad?
266340427_367684373363306496 x	COURSE! Checked out before MSG The ? was 4 your song & idea!"@elielarrey: @SevenSilvasy have you heard that track?  http://t.co/CLrZ4xSVqW?
266340427_367552671961874432 x	@kannonradio  Hey K ? You know what I am totally in the mood to hear...right now?  "Hey its Kannon with a K" ?
266340427_367159131280797696 x	I'm on the cover of Trendyful magazine: join the fun and vote for me! Download the FREE iPhone app to get your... http://t.co/WHd8JEJua4
266340427_367244695506018304 x	?@Flyboy426: @SevenSilvasy I dont have an iPhone? Hey?sweetie ? What?! NO iPhone?! Ok actually I knew that..but u still need to get on that!
266340427_367175866025279488 x	#Music    ? What am I listening to?     #Stay  ?  ? 'it's something... in the the way you move'  ?
266340427_366935122156584961 x	#NowPlaying  ?  ?  ?  "Wrong Song"   ?  ?                    & ?  ?  "Casino"  ?  ?  ?  #music ?  from ABC's #Nashville
266340427_366684641660383233 x	??? Music Available @ iTunes  https://t.co/kf7Srizh0M http://t.co/20cWbqJ1WF
266340427_366671628190482432 x	??? Music Available @ iTunes ??? http://t.co/XwhiVsSQ1D
266340427_366598965992493056 x	?@jglangham:Happy Sunday to everyone!" Hey 'stead of 'Happy Sunday' How 'bout listen to my song  #Sunday on #iTunes  https://t.co/cnyDF087e7
266340427_322890940819841024 x	@kannonradio  Looks like a sauuucccy Friday night party! :-P
266340427_366595725217378304 x	@kmdrkode awwww just saw your MSG! I'm so sorry havent been on twitter for a bit just got your PM! So where in Philly? Perhaps next time ;-)
266340427_365176309686603777 x	Home http://t.co/gEHOteJu8f
266340427_365175579328258048 x	Sunday http://t.co/1lObLvPMs9
266340427_365171628692353024 x	My new sounds: Home http://t.co/xeAcnW6ehF on #SoundCloud
266340427_365170994165460992 x	My new sounds: Sunday http://t.co/JnnPm9t5nA on #SoundCloud
266340427_364935726795735040 x	I believe the music store is finally up! Please take a listen and leave me feedback! Still need to fill out the... http://t.co/A8tTTycSYP
266340427_364837695836520449 x	LOL MSG=LUV"@greggrunberg: I?ve said it before and I?ll say it again: I?ve got mad #HondaLove for my Fit EV! This #ad approved by Grundy RT?
266340427_358485576083070976 x	RT @UnapologeticB_: hello yes 911 there was a spider here 10 seconds ago and now its not there and i cant find it please send help?
266340427_357313952356630530 x	@MEMCEMX  I feel bad so sending belated <3 "Happy Belated Birthday"not sure how  got away from me-actually now that U mention it...I do :-p
266340427_357310831291142144 x	@JMichaelEsq  Happy Birthday sweetie! I had you had a fantastic day! If not, there's always "watermelons"! ;-)
266340427_356944716320882688 x	"THIS isn't the way it's supposed to end-WE aren't supposed to 'end' But YOU already KNOW that.  At least, I KNOW you used too..." #Felicity
266340427_357039728723365888 x	@jglangham <3 Ben: You know what that is? Felicity: Yeah It's a film canister Ben: No It's a TIME machine  #TearsOfJoy #HeartMelts #Felicity
266340427_357039175771504640 x	Ben: You know what that is? Felicity: Yeah It's a film canister Ben: No It's a TIME machine  MY <3 Melts!  #TearsOfJoy #HeartMelts #Felicity
266340427_357035961420488704 x	@jglangham Thanks 4 fav my quote! Noo if you're a"dork"4watching old Felicity than I'm a much bigger dork! Lol... I DONT CARE I LOVE IT! ;-)
266340427_356984970989944834 x	"You were right. It IS my turn." -Ben  Last episode line, the long awaited for "right" reply... *hearts melt*  #FelicitySeason4 #TheGraduate
266340427_355866260682194945 x	Hey pass along'Happy B-lated Birthday' MSG <3 ME ?@MBP11luvr75 he's celebrating a day on Sunday Ya know what would be an awesome bday gift??
