377680617_354089576693899264 x	@Fish4scores welcome. Going to bed. Lol.
377680617_354081944667045888 x	@Fish4scores Stec on to close for Nottingham
377680617_399361361136058368 x	@RJCooney44 @NEPhillyG great pic. Congrats guys. I didn't know she married Kentucky center Sam Bowie
377680617_394163554884263936 x	Dylan and me taking in Philly Union game. Beautiful day for soccer. Go #union
377680617_393486272666542080 x	@RJCooney44 @MartyBystrom @Doczeb @jwsmith0811 not a big Cardinal fan Ronnie. A nice 4-0 Boston sweep would suit me fine.
377680617_383417544289583104 x	I can't understand why you leave Dom Brown in the game when he jogs to a single by Heyward that he turns into a double. Horrible.
377680617_381847291529003008 x	@JDXCosta hey JD. Hope all is well. I keep tabs on you from your dad. I'm proud to know you and wish you the best. Hope u make it in April.
377680617_381850321204809730 x	@JDXCosta all is well here. Great time of year for sports. I've seen pics of where u are. Looks beautiful. No doubt you will succeed!
377680617_381854037970522112 x	@JDXCosta will do!
377680617_381828268925526016 x	http://t.co/Sa6XjGdooG
377680617_381828221488361473 x	Like the Yankees or not you gotta give it up for Mo. No closer will ever touch what this man did on the field. And he's a class act in top.
377680617_380329167977725952 x	RT @NEPhillyG: Congrats to @HeavyHitter_20 on being named 1st Team All-Ripken League this summer from @DCGrays !!!   http://t.co/wWANaSwNX2
377680617_377911222005669889 x	@Fish4scores correction. It's Pogroszewski
377680617_377905288701288448 x	@Fish4scores final score. Steinert frosh soccer over west 5-2. Cheeseman 2 goals and 1 each from Mastropolo, Forestano and Podgriszewski
377680617_377898585079431168 x	@Fish4scores Steinert freshmen soccer score. Steinert up 5-2 over West minutes left in game. Jules relatively calm.
377680617_377899182121820160 x	@Fish4scores Cheeseman 2 goals. One by Nick Mastropolo and one by Alex Peslin. All Steinert players
377680617_376689303352770560 x	Congrats to my friend @KWBaseball and the rest of the boys of @USABaseball18U for a job well done. No one can ever take it away! #Gold
377680617_376688892495560704 x	RT @USABaseball18U: #TeamUSA wins the 2013 @IBAF_Baseball World Cup!
377680617_376514342013116416 x	RT @SargeSaidWhat: "Can you loosen up that sweater? You're choking my neck."
377680617_376005078047789056 x	@USABaseball18U @KWBaseball guys great job. One more to go. Anything left to prove, prove it now! Leave it on the field. No regrets! #gold
