283713100_384841207316492289 x	@GhJr09 favorite Philly Golf course?
283713100_396214051317248000 x	@ShaneVictorino you are a Phillie and always will be #08wasbetter #ourparadewasbetter
283713100_395932493477453824 x	The stiffs and wanna be's from @RedSox will never top this!!!! #phillies #ourcityisbetter #jonnygomesisastiff http://t.co/10nH70V5q5
283713100_395560543995428864 x	@darrenrovell heck no!!!!!
283713100_394650363313537024 x	RT @MLBONFOX: Incredible moment at Busch Park. RT@SU2C This is it! #WorldSeries! So beautiful!
283713100_394645170312200192 x	@Pro_Hunt58 shouldn't boo?!?!?! You're kidding right.....? Just worry about making a play or 2.
283713100_394540220722733056 x	@DeseanJackson10 you muff the punt then shy away from contact and not get the 1st down #keeptryingtorap
283713100_394539508936765440 x	@DeseanJackson10 .......stick to trying to rap and not returning punts
283713100_393892604053823489 x	RT @TsTock_ND92: In @Dspond13 home state!!! #Colorado #BeatAirForce
283713100_393133007886110720 x	World Series begins tonight!!! Boston Red Sox in 7. @RedSox @Cardinals @MLB #WorldSeries
283713100_393050401979006977 x	RT @ChiTribHamilton: #NotreDame QB Tommy Rees: "I feel good right now and I'm going to continue to feel better."
283713100_392675179136294913 x	RT @Matt_Fortuna: Tommy Rees is available for interviews tomorrow for #NotreDame, as sure a sign as any that he'll play Saturday.
283713100_392645229754720256 x	@steve_wojo: Watching this video is a great way to start the day - http://t.co/J3D8Qe2nd3!
283713100_392645074418696192 x	@steve_wojo awesome!!!! Great stuff!!!!!
283713100_392432039267680256 x	RT @cammcdaniel4: S/o to my boy Troy Niklas for getting the team involved at the center for the homeless in SB. Champion on and off the fie?
283713100_392322930144976896 x	@StuSource how about the great call on clemson
283713100_392013109759840257 x	@SpingCity cause nobody is open
283713100_391895796943441921 x	@StuSource he did not have Florida State!!!!!!!! This guy is a crook!!!!! Check this photo!!!!!! http://t.co/6nmX5swkTY
283713100_391744311836311552 x	@StuSource great pick ....15 million and 14 parlays!!!!!!
283713100_391744853597777920 x	@StuSource looks like it's gonna be a boring flight home, people are gonna wanna jump, not sleep. #theworstever
283713100_391716815208189953 x	@insidetroy ya think #captain obvious
283713100_391676454729416704 x	@StuSource go tigers
283713100_391189384311369728 x	RT @DickieV: Going to ND QB luncheon today @ noon- It will be a big Irish week-end - There is simply NONE BETTER-Pep rally - Golden Dome- G?
283713100_390155759482593280 x	11 years ago to the day, how ironic it's gameday. He taught me everything!!! Love ya dad!!!! #thisonesforhim
283713100_389928245313146880 x	Dodger Stadium is cranked up tonight. Def. Need to get there!!! @Dodgers #baseballmecca # bucketlist #playoffbaseball #dodgerdogs
283713100_388673780778016768 x	RT @CollegeGameDay: One more day until GameDay!
283713100_388466689043861504 x	@cc660 giants blow
283713100_387754989965574144 x	Ugly win! But I'll take it!! #flyers #masonisastud #nhl #orangeandblack #powerplaystinks
283713100_387729276411576320 x	@BriHateMe hellz no!! Just thought Denver was due #neverthat #dallassux
283713100_387556992052895744 x	RT @steve_wojo: Do you use these talents to make your team better? http://t.co/MUe3J1AV2H
283713100_387424614558990336 x	@GottliebShow phillies, mariners, Yankees, orioles, white sox, Astros, tigers, maybe 8 mets.
283713100_386954074773782528 x	@BriHateMe cowboys win
283713100_386655246803824640 x	@CoachBrianKelly give Hendrix. Tommy Rees Stinks coach
283713100_386599893642797056 x	@DickieV @DShulman_ESPN this is going to be tremendous!!!! Jabari vs Andre PTPers gonna be a ton if the three E's that night Richie!!!!!!!
283713100_386164835517755392 x	Playoff baseball slate today #anyonebutboston #redsoxsuck #effbahsten go rays
283713100_385074668283375616 x	RT @Phillies: Congrats to Kristen & Cliff Lee who helped @ChildrensPhila raise over $1,000,000 for pediatric cancer research! http://t.co/a?
283713100_384856507537690624 x	@GhJr09 once saw your pop there.....
283713100_384743055188045824 x	@DickieV arod
283713100_384741435184267264 x	@Ike58Reese most logical thing I read or heard all day Ike
283713100_384726701491879937 x	http://t.co/4SyF787awf @dallascowboys @chargers @nfl
283713100_384528070503587840 x	@tmj101879 @GottliebShow you spelled 0-4 wrong
283713100_384478868587155456 x	@StuSource why do you never document losers you gas job? Broncos eagles? Who'd ya have?
283713100_384473577409744896 x	@DatDudeBP I despise the Pirates!!! I'm pulling for you datdude!!!!
283713100_384473320605097984 x	@theFortMcKenry @DavidDopson @wudeydo34 @TheCUTCH22 @NeilWalker18 yup sounds appropriate, black=funeral colors #goreds #earlyexit #cueto
283713100_384133998412578816 x	@kellyinvegas ditto
283713100_384076137473003521 x	@t_rees11 really Tommy !?!?!?!?!? Really?!?!?!?!?!?!?!
283713100_383775197616418816 x	RT @GoFightinIrish: Play Like A Champion Tomorrow
283713100_383645074128900096 x	RT @caplannfl: Eagles S Patrick Chung (shoulder) doubtful to play vs. Broncos. Rookie S Earl Wolff ready to make his first NFL start.
283713100_383641611772514304 x	Framed and going in the office #baseballnut @Yankees @MLB @BaseballHall @nypost http://t.co/XlvF882DDW
283713100_383565120812883968 x	@StuSource "pay me I'll lose ya money, pay me I'll lose ya money"
283713100_383564915854045184 x	@StuSource NFL GOY?!?! Lololol everything we own on the Rams?!?!?! How fan we pay you now? We bet everything we own and lost!!! Joke u r!!!!
283713100_383370905482977280 x	RT @DickieV: MARIANO Rivera - truly a giant of a baseball player & Giant of a MAN #SIMPLYTHEBEST
283713100_382645857549815808 x	@DickieV @ESPNDanaOneil so does that make it OK for the student athletes at OSU,USC,Miami etc. to be punished the way they have been?
283713100_382505326865809408 x	RT @dukeblueplanet: Congrats to Coach K who will receive the Wooden Leadership in Coaching Award today in DC http://t.co/8iNhPZh88J
283713100_381188132089368576 x	@jenwielgus his name is Woody
283713100_380087012856176640 x	@MadDogUnleashed 2 titles in 3 years and your bitching Chris?!?!?!
283713100_379070494433345536 x	@StuSource bragging about losers?
283713100_378835644447207424 x	@ESPN_Colin you mean to tell me Oregon and ND will win straight up?
283713100_378601147436896257 x	@ozoneinq @SOLsports Truman 24 Fels 0 11:55 left in 2nd
283713100_378537784887488512 x	@thekidet Badly? Stop Bitching!!! You're a millionaire!!!!! Go work on your game you stiff!!!!!
283713100_378534643391528960 x	@WFAN660 @Kaepernick7
283713100_378534563007725568 x	@Kaepernick7
283713100_378479243409522688 x	@KirkHerbstreit herby, are you and Brent on the call in West Lafayette? #irish #boilers #satnight
283713100_378338947967229952 x	@DanDunkin what's so bright about Egans future? Playing teams smaller that CAN'T recruit? #morrisville #lowermoreland #newhope #marian
283713100_378293409557258240 x	@HSGameOn Abington, Pennridge, Lower Moreland, CR North, Pennsbury.
283713100_377864501162672128 x	RT @CollegeGameDay: 3 days until GameDay!
283713100_377793242466910208 x	RT @da_king_son18: Never forget that moment #9/11 #UnitedWeStand
283713100_377760116927647744 x	RT @WIPMorningShow: "I'm a true believer in what is going on. I really feel like what we got is something special." -@MychalKendricks | htt?
283713100_377759980033961984 x	RT @brianstartare: God bless America. 9/11 #NeverForget
