1256022392_395757458632609792 x	That's right, my Sixers beat your Heat bitch @NawiAndLater
1256022392_392975160267259904 x	RT @jordan_horwath: On that #GymGrind @ScottAJSnyder22 #WhyTheFuckAreWeAwake
1256022392_392714883839848449 x	@jordan_horwath when you join the prank war
1256022392_392413304628715520 x	Happy 40th Birthday Daddy! I miss you and I love you! http://t.co/hCafFl3sQT
1256022392_391378186246062081 x	?@reIatabIe: rt if ur the ugly friend? I'm sure most of the girls that retweeted that are really pretty, just lack confidence
1256022392_389902171829178368 x	Hilarious dinner with @tayraker all I can say is that shots were fired
1256022392_389197927639687168 x	Game over! PSU wins! #PSUvsMICH
1256022392_389194676366229504 x	This is an emotional roller coaster #PSUvsMICH
1256022392_389190753840558080 x	This game is insane! #PSUvMICH
1256022392_389185414915174400 x	Clutch #PSU #Robinson
1256022392_389173659413544960 x	?@TysonBly: The bulls will beat the heat this year in the finals.? They're both from the east, that can't happen haha
1256022392_389174798947201024 x	@TysonBly there ya go bud haha
1256022392_388643408291844096 x	I'm ok with a fire alarm at 8am. It gets me up. And there's no snooze button for me to hit 20 times
1256022392_387775596367216640 x	We stole her bed, she ain't happy... Jordan Horwath, Jordan Yanac, Ryan Flexman #pranked #BU https://t.co/UJWfFbeTpi
1256022392_385927765700399104 x	?@connor_sees: A drop in the ocean, A change in the weather, I was praying that you and me might end up together? *you and I
1256022392_385055364364136448 x	My knee is hurting, and the stairs don't help
1256022392_384100599316639744 x	RT @JonGerardi: Paige Mancini has a second-half goal to help Shikellamy top Shamokin, 3-1, in girls soccer. Solid 2nd half for Braves posse?
1256022392_383634215260405760 x	RT @MensCodes: We all know that one kid we all know is gay but he just won't admit it.
1256022392_383354032926244864 x	RT @CauseWereGuys: RT this if you've ReTweeted something secretly trying to send one if your followers a message.
1256022392_383049179024871424 x	GoPro: Fireman Saves Kitten  This is so heartwarming http://t.co/MhSwH7Hllw
1256022392_382997250852810752 x	RT @BU_Intramurals: A brisk night for some Flag Football.  That isn't stopping any of our intramural players! http://t.co/9uAwyOXVcz
1256022392_382929271691694081 x	Apparently I was "hacked" so ignore the direct messages, sorry. And to whoever hacked me, if I ever find you, I will cause you serious pain
1256022392_382663276234280960 x	If you're gonna have us watch something, don't tell the whole thing beforehand
1256022392_382662890295394304 x	Another movie ruined by professor Kandlish...
1256022392_363080546030592001 x	Gonna go for a run, would anybody like to join me?
1256022392_381811483023507456 x	Good: Seeing @Rflexx25 family again Bad: I showed up late Ugly: I was wearing only a towel...  #embarrassing but #hilarious start to the day
1256022392_381825204491927552 x	@Rflexx25 yes indeed haha
1256022392_381624357178839040 x	RT @Rflexx25: Happy birthday to my favorite roommate @ScottAJSnyder22 love you homie!! We're gonna celebrate!!
1256022392_381196343165091840 x	RT @CauseWereGuys: Every football fan can agree... http://t.co/mxybF55LT2
1256022392_379548829907177473 x	I hate nightmares, they wake me up, don't let me get back to sleep, and it just sets a bad tone for the rest of the day
1256022392_378935081286762496 x	My 9 year old brother just told me I need to get layed, granted he was repeating my dad, but still, that's a sad moment
1256022392_378911771073183744 x	My body is trembling, sign of a good work out
1256022392_378209160284078080 x	@AdrienneMarie22 you're coming to bloom? When and what for?
1256022392_377618801241903104 x	Bloomsburg is cool, but I miss looking up at the stars on nice, clear nights. That can't happen when there's a light post every 20 yards
1256022392_377227730020225024 x	?@sokalzuk: And the eagles fans have come out of their three year hibernation? I've been here the whole time!
1256022392_377227562919141376 x	WHOO!!!!! #FlyEaglesFly
1256022392_377204337703153664 x	Lets get it started! #FlyEaglesFly
1256022392_376528765083738113 x	Hahaha Eminem was so awkward in the booth
1256022392_376527182044364800 x	Eminem makes an appearance on the college football game night! Awesome!
1256022392_376122911297654784 x	Get to the final level of the tank game on wii play...and the controller stops working, so I die. Not happy about that
1256022392_376128951468716032 x	@JamieFedder it's upsetting
1256022392_375668085589827584 x	RT @danieltosh: if you don't love football please get off twitter for the next four months. no one wants to hear it, you communist.
1256022392_372561857451950081 x	?@alexisandino_: I gave up going to my locker it's like walking to narnia and back in 3 minutes? but time doesn't pass while in Narnia...
1256022392_372116924714733568 x	?@brrrriebonshock: It's trickayyyy? tricky tricky tricky
1256022392_371624630760800256 x	I got this stuff started! I got the place going man!  kaeleighgreen's video http://t.co/Kijgs4tJVY
1256022392_371459154046894080 x	You know I just started a conga line for the freshman at bloom!!!
1256022392_370323935650643968 x	I'm torn, I don't know which to get!? Help me out! http://t.co/Hl2LVE4QHi
1256022392_369996896150249472 x	For some odd reason I just spit my mouthwash into the toilet instead of the sink?
1256022392_369985031864729600 x	RT @MinionsParody: rt if u wish u were a minion
1256022392_369954804308922368 x	Homemade walking taco! That's what's up on #TacoTuesday !!! http://t.co/9o6s3GNql5
1256022392_369626345258901504 x	When people say "snapchat me" and leave their name, I'm tempted to send them a picture of my crap, is that bad?
1256022392_369157743351201792 x	RT @JordanPeele: Now Gotye is somebody that we used to know.
1256022392_368144836840677376 x	Just had my day made, he told me I make a "bangin slamwich"
1256022392_367830823820861440 x	Had an awesome time playing paint ball! It was a blast! Would definitely do it again! http://t.co/o4spnKjk2U
1256022392_367697491225239552 x	Going paint balling for the first time today! I'm pumped!
1256022392_367677576439169024 x	RT @NawiAndLater: Justin Bieber has 43 million followers on twitter... It's hard to believe 43 million people have never heard good music.
1256022392_367100095961239552 x	Snapchat updated but the poor ghost is still blind http://t.co/cw6puUQ7U0
1256022392_366632333979287552 x	Just pulled my headphones out of my pocket and they weren't all tangled, win for the day
1256022392_366587484693479424 x	Family Feud - starts with "T"!  This is so funny, you gotta watch it! http://t.co/J5P6JY5NtL
1256022392_366316527076646914 x	RT @JordanPeele: My super power is that I can take the lyrics of any good song, and twist them into seeming relevant to my current situatio?
1256022392_366212704102387713 x	Ian McKellen - Bohemian Rhapsody (Hobbit Edition) Gotta watch this, it's hilarious http://t.co/MUw3wTipX8
1256022392_365957509082644481 x	@Reedy_8 drugs, lots and lots of drugs
1256022392_365883470733516800 x	@Reedy_8 I gotchu covered
1256022392_365573576457322496 x	Done with one job, and now I gotta go to the other, gonna be a long day
1256022392_365285182946811904 x	So I did #purplelips cause my lips were purple from being cold. I looked at the other pictures and? http://t.co/nWHsVWs6u8
1256022392_365266026079862785 x	I may have been in the pool a little too long #purplelips http://t.co/zDkY69rmc3
1256022392_364830784231718913 x	These things are amazing! #leggomyeggo http://t.co/lFsODZp7wi
1256022392_364782992222195715 x	That first email to your college roommates, so awkward haha http://t.co/QzGZQt8dYH
1256022392_364216374845243392 x	A clear night sky is one of the most beautiful things out there
1256022392_363677740567773184 x	Somebody messed up...or we have a cheater #battleship #daycamp http://t.co/gSzFiCIKrE
1256022392_363117600038858752 x	I'm gonna be feeling so sore, second day back running and I go for an hour and 13 minutes with hills? http://t.co/HgQJYWk1F9
1256022392_362758902510665728 x	@DuckDynastyAE is on all night and I have to work tomorrow!!! Sad I can't watch all of them :(
1256022392_362371714488864768 x	Mamma with her babies! Evening at the barn  #kittens #barnbabies http://t.co/zQzo4f8kKt
1256022392_362360634538606592 x	Evening at the barn #kitties #horsies Logan111 https://t.co/HNoB0YpMdm
