1453098961_374623160307810304 x	@abbyloo i fell asleep
1453098961_365657782692757504 x	@danidONAT0 already had some :)
1453098961_395367660470665216 x	RT @UberFacts: When you pee, a small amount of urine enters your mouth through the saliva glands.
1453098961_395365545295765504 x	@VictoriaWakile @KathyWakile dont understand peoples issue? I take this more as womens independence....not a dig?!
1453098961_395016277292752896 x	Really just spent $13 on a frozen yougurt tonight.....too many toppings, fat girl problems lol
1453098961_395020888049188864 x	@jessicamg8 soooo good, but dont go if you havent eaten yet hahah so many yummy toppings
1453098961_395008853903179776 x	@AshBenzo jealous!!!
1453098961_395008445721874433 x	@TylerGardiner71 do you realize the series finale was over before you were even born? Hahaha crazy eh
1453098961_394640179996393472 x	@ltsDrizzyyy agreed :-) (being one of those short girls lol)
1453098961_393949283055325185 x	RT @Bethenny: If this makes you laugh, then we're soulmates. http://t.co/Qv46RSvice
1453098961_393550076716806144 x	@RebCec @aaryneliza how could a person ever wish death on someone?
1453098961_393198718293643265 x	@SuZ_McC @bryan_craig susan you can go on citytv.ca, I live in Canada too and go on that site, just pick a random city when prompted
1453098961_393197747958190082 x	@chris_manzo @ReddinMj hello!
1453098961_393044608512720896 x	RT @DritaDavanzo: If u drive slow that's fine but if u speed up just so no one can pass u..ur a dickhead
1453098961_392459874598408192 x	RT @UberFacts: When filming video at a concert using your phone, put a finger over your phone's microphone -- It'll sound clearer when you ?
1453098961_392418518874198016 x	"@UberFacts: 50% of fast food fountain drink dispensers are contaminated with fecal matter." Ewww, dont want to drink it anymore
1453098961_391033524717117440 x	@kimberleygayle @jessicamg8 we should meet up for some shopping since im going to be in the u.s that weekend too!
1453098961_390992554789179392 x	RT @UberFacts: Ignorant people are more likely to believe they are brilliant, while intelligent people are more likely to underestimate the?
1453098961_390282223616032768 x	RT @RnRNegus: Exactly what I was thinking !! http://t.co/oUd0ap32d2
1453098961_388498812849127424 x	@robkardashian such a funny movie!
1453098961_388498432463491072 x	RT @BrandiGlanville: One of my loves and sudo family member is having a life challenge right now, I am here and although not blood I am fam?
1453098961_384805818002341888 x	@AndyHerren your 15 minutes are over, noone cares, give it a rest
1453098961_384502375094165504 x	@EmilyVanCamp i think this is going to be an amazing season :-)
1453098961_384326043114680320 x	RT @CancerFollowers: #Cancer come off as strong, but maybe they fell asleep crying. They act like nothing is wrong, but maybe they are just?
1453098961_384186876409950208 x	RT @UberFacts: Hugging can help reduce stress and lower blood pressure -- This helps to protect us from heart disease.
1453098961_383334989586513920 x	"@WesMTV: Chocolate comes from cocoa, cocoa is a tree. That makes it a plant. So chocolate is salad." Totally agree with the logic :-)
1453098961_383333713826045952 x	RT @SarahRiceMTV: Attention! Read it... And pass it along! http://t.co/0ZNtkClFEj
1453098961_383332039539568640 x	RT @UberFacts: Today is National Love Note Day!
1453098961_383063201556226048 x	Beyond ecstatic with the winners of #Rivals2
1453098961_382696300434960384 x	@VINNYGUADAGNINO haha im sure you could definitely get a friends with benefits
1453098961_382693504163803136 x	RT @UberFacts: After Tupac was cremated, his ashes were mixed with marijuana and smoked by members of his hip-hip group, Outlawz.
1453098961_382692090821754880 x	RT @CancerFollowers: #Cancer is generous, we're better at giving than receiving.
1453098961_381978176614072320 x	@TylerGardiner71 oh no, noone told me she was getting put down tomorrow!!!!!! I wont get to say goodbye :'(
1453098961_381969360677789696 x	RT @CancerFollowers: Dont count on a #Cancer for a quickie. They would rather it go all night.
