756481045_379272573944872960 x	Hungover/still drunk Sundays
756481045_379056521650659328 x	Palace d floor oh chyeee @bellefeuille19
756481045_395390915311058944 x	RT @stoilovvv: the y in generation y stands for yolo
756481045_395591114407022592 x	@domd__ that's pretty badass hahah what a bro
756481045_394915087292448768 x	@ChloeShl0w I'll have what he's having
756481045_394612487456169988 x	So is Halloween next weekend too?
756481045_394251976525250560 x	Palm bay's on the bus to tdot ftb
756481045_393931505518395393 x	RT @emmartino: It's halloween?
756481045_393908939341172736 x	Drove by a house with Christmas lights up already... C'mon people get it together
756481045_393812221647540224 x	@Natalizio94 thank you
756481045_393761974124679168 x	Hungover Fridays seems to be a thing now
756481045_393759156714602496 x	@brownnthunder shit the one time
756481045_393536895994855424 x	RT @megradisa: Essay write yourself while I go out #thnx
756481045_393476272183328768 x	@EmPear18 kinda but more Orangeville
756481045_393475978674335745 x	@EmPear18 8 over....... Like what the fuck who tickets for that
756481045_393460103648931840 x	@EmPear18 yolo
756481045_393458990543560704 x	I can make it rain speeding tickets
756481045_393383093190787072 x	Yeah... So it's snowing hard here in Orangeville
756481045_393229950129414144 x	@ChloeShl0w my ginger cat right now http://t.co/88jaZDGH6E
756481045_393230541061103616 x	@ChloeShl0w always sits around like that such a weirdo
756481045_393182162775990272 x	@martyp33 I was really looking forward to adding it...
756481045_393134655446056960 x	Somehow while my eyes are reading.. My mind is able to be off thinking about dirt bikes or cats or something random
756481045_393105286481080320 x	7412666b
756481045_392356526796460032 x	i want to go fishing
756481045_393088076676730880 x	@domd__ 100% down
756481045_392128031583526913 x	@DJWhooKid yo you played a dirty "First 2 Bomb" remix like midday today, I want to know if this is an actual remix or you did it on the spot
756481045_391997086331596801 x	Currently grocery shopping while hungry... This is dangerous man
756481045_391825477834649600 x	RT @Carlyporemba: Who ever invented OREOs nailed it. #highfive ?
756481045_391567680160800768 x	Woke up in a sauna aka who turned my heat on
756481045_391061601379295232 x	RT @TimRossComedy: Sometimes when a hippie starts to rant I like to say "Get off that soapbox. And use what's inside!" Bada Bam that has to?
756481045_390718771520081920 x	RT @pizzaminati: square box round pizza triangle slices #pizzaminati
756481045_390562665937895424 x	@kgorzz He's gonna get sued watch
756481045_390556559140323328 x	@djcarnage toronto
756481045_389887527139962880 x	@MikeyHollywood @Lewwwie @FlanniThe3rd hahaha did you get in shit?
756481045_389861695364943872 x	Hotel California
756481045_389527324770594816 x	RT @DanyAllStar15: Yeah, happy Sauce giveaway Sunday you idiots. RT this & tweet #50in07 I'll pick a winner, it's that easy #SauceLife http?
756481045_389461111969292289 x	These turkeys outside my house must not know what day it is ??
756481045_389233098720047106 x	All I've accomplished tonight is eating 3 pb&j's
756481045_389039660682719232 x	RT @ChloeShl0w: I want breakfast...john's to be exact.
756481045_388699241453195264 x	Hungover Fridays?
756481045_388536843433541634 x	The ranch : broken bottles everywhere
756481045_388165387059470336 x	Captain Crunch ruins mouths
756481045_387785728782249984 x	Looking into getting a cat ftb @Lewwwie @brownnthunder @bellefeuille19
756481045_387954318147481600 x	@amber_fisken we're all going to become crazy cat ladies so it will love us!
756481045_387955226848002048 x	@amber_fisken hahah good point although I don't think you can put your head through a cat
756481045_387687385183813632 x	I feel important now since I have a company briefcase
756481045_387690218775924736 x	@Papa_Denskers well fuck better throw it away
756481045_387566682321219585 x	RT @yaboybillnye: salmon swim upstream. #thatfishcray
756481045_387356622458064896 x	I can't take this prof seriously since she cannot spell simple words
756481045_387342737449570304 x	@kgorzz **fake thanksgiving
756481045_387328938097541120 x	RT @DILLONFRANCIS: Becky's "real world" audition tape.... http://t.co/7hIve5ygjR
756481045_386559728626991104 x	RT @Flex_Jay: Miley cyrus is headed for a sex tape
756481045_386415441989476352 x	@deadmau5 you're a producer not a politician. People love you for your music. so really, who cares if someone cried over a picture?
756481045_386402930691018752 x	Sauga goes hard
756481045_386246823436103680 x	@martyp33 preach
756481045_379272646212722688 x	@novaboz can I get some of dat
756481045_386146829080875008 x	@tritonal's "Now or Never" is musical perfection
756481045_385900238453878784 x	RT @DILLONFRANCIS: My week doesn't fucking start on Sunday it's starts on fucking Monday you stupid calendar
756481045_385627288462962688 x	@carleneec but it might
