1137764472_381892185807134720 x	RT @mark_quiring: That's right baby! @dallascowboys #CowboyNation http://t.co/lxiHylGn0q
1137764472_381891812811890690 x	RT @dallascowboys: Final: Cowboys- 31 Rams- 7 #CowboysNation
1137764472_399790605108527104 x	RT @WhyTheCM: ? ?Now he lay me down to sleep, I pray my lord my soul to keep, if I should die before I wake, I pray my lord my soul to take?
1137764472_399760571421437953 x	@dallascowboys #CowboysNation  Damm, Damm, Damm
1137764472_399760330194452480 x	RT @dallascowboys: Final: Cowboys 17, Saints 49. #CowboysNation http://t.co/PscE8AlCqD
1137764472_399759665867005952 x	@mrrayjr Hi thank you for following me and I will definitely follow you. Have a bless & beautiful night.
1137764472_398783075741876225 x	I am glad to wake up to see another beautiful day cause alot of people didn't & won't- I am bless. #TGIF
1137764472_398444046907367424 x	RT @dallascowboys: Sean Payton Says Tony Romo?s Having Best Year Of Career http://t.co/LpHKpAYCIF
1137764472_398439572348358656 x	That is crazy right? http://t.co/CEtzrEqmk7
1137764472_398255859610169344 x	http://t.co/0Q5utS7uzi
1137764472_397748566145642496 x	RT @BoyFriendWh0: I don't give up on people, they give up on me, so trust me when I tell you I'm not going anywhere.
1137764472_397301843279478784 x	@heyward_j Hey Ben everyone in our division did pretty good Sunday with the exception of the Giants cause they are on a bye week.
1137764472_397238108946960384 x	RT @dallascowboys: What a game! Cowboys WIN! Cowboys WIN!! #CowboysNation
1137764472_397238010196283392 x	RT @dallascowboys: COWBOYS WIN! FINAL: Cowboys 27, Vikings 23. #CowboysNation http://t.co/ZmiZXLeeVb
1137764472_396802127689162752 x	RT @IWearThe_Tiaera: One of my fav pics from last night lol http://t.co/jaJf4Vz6QW
1137764472_396510067039940608 x	RT @DanielGoddard: What did u see first? ...   #Retweet for Front view   #Favorite for Profile http://t.co/Ztfs5aMcEH
1137764472_396509027481694208 x	@DanielGoddard You had some cute Halloween pic but this one is just too cute. http://t.co/MSjfqWgNj5
1137764472_396506811437953025 x	@DanielGoddard Omg!!!!!!!!!
1137764472_396506668550615040 x	RT @DanielGoddard: With out a doubt... the scariest Jack-0-Lantern ever! #HappyHalloween http://t.co/YX0PJtedni
1137764472_396022310060429312 x	@heyward_j I wished I did I can sure use some big lotto money right now.
1137764472_395938149488422913 x	My Fox29 News Team http://t.co/sFXf3vzAeO
1137764472_395937607026483201 x	RT @KarenFox29: ScaryFun @KacieFOX29 @SheinelleFox29 @MikeFOX29 @JennFredFOX29 @KarenFox29 @SueSerioFox29 @ChrisFox29 @QDEEZYDOTCOM http://?
1137764472_395921957755301888 x	@KarenFox29 @KacieFOX29 @SheinelleFox29 @MikeFOX29 @JennFredFOX29 @ChrisFox29 I enjoyed the news today I laughed so hard that I cried.
1137764472_395917586627833856 x	PROTECTED
1137764472_395919227393409024 x	@FOX29philly Happy Halloween to all at fox29 News I just love you guys. The news is never dry or boring & I enjoy watching it everyday.
1137764472_395908718527000576 x	RT @FOX29philly: RT @jodi_harris This has to be the cutest costume ever. 14m/o avery came to @FOX29philly Halloween party http://t.co/uJUfq?
1137764472_395868471751630848 x	http://t.co/omf1p289ms
1137764472_395325824213450752 x	@sherylunderwood Hi sheryl happy, happy, happy birthday may you see & enjoy many more beautiful birthdays. God bless you today & always.
1137764472_395324788119711744 x	RT @Lmao: I would like to thank my arms, for always being by side. My legs, for always supporting me, & my fingers?because I can always cou?
1137764472_394662163580977152 x	RT @WalkingDead_AMC: Apocalyptic badass. See more of Norman Reedus in @GQMagazine: http://t.co/q290sbCmeF @wwwbigbaldhead http://t.co/y0jrs?
1137764472_394655344728997888 x	@heyward_j Those sorry redskins (2-5) -still love you cuz.
1137764472_394605799231983616 x	RT @dallascowboys: FINAL: Cowboys 30, Lions 31 #CowboysNation http://t.co/ySzK97MERH
