73422393_384296238814068736 x	@BI_contributors Love to! Any thoughts on how I might do such a thing??
73422393_400010879250755584 x	RT @Alicebonniesmom: Remember each day the sacrifices of our military men & women. Greet them with a hug & thank you at every opportunity! ?
73422393_398935936437727233 x	RT @CraigLaBan: Great take on Philly's new wave taco take-off fr/@ElisaLudwigYA: "We're American guys making Mexican food." http://t.co/uCi?
73422393_398482184660463616 x	RT @BrewerytownLiv: Shifty's Taco featured in this Philadelphia Inquirer article today! http://t.co/1DDHPTfgxR
73422393_397149354496389120 x	RT @TheTweetOfGod: I almost never interfere in athletic events, but I had Nick Foles in My fantasy league and I was sick of losing.
73422393_396791773462138881 x	RT @robellis94: John Kruk and Danny Jackson will be fighting at the Springfield Mall tomorrow #delcomallbrawls
73422393_394180252366548992 x	RT @BI_contributors: A lesbian couple's messy spit shows how US divorce law has completely changed http://t.co/Eazel7l708
73422393_390569391341195264 x	@BrewerytownLiv 2 weeks ago, wife and I decided the best possible new business to open on W. Girard was...a brewpub. No really. #seriously
73422393_388752827340029952 x	RT @BrewerytownLiv: That's quite a scoop! RT @lspikol: Crime & Punishment Brew Pub Is Coming to Brewerytown in 2014: http://t.co/W7DAlPiaLk
73422393_387603381180989440 x	RT @rogerfederer: We talking about practice.... Not the game. #practice http://t.co/SpZzmBaQNx
73422393_386276446668615680 x	RT @RonanFarrow: Obamacare will be what we make it. Keeping premiums low will take a favorable risk pool, and that will take young, healthy?
73422393_385862740436598784 x	RT @Michael_Nutter: Where is the big hole in that photo? Thanks
73422393_385557182689054720 x	RT @KNegandhiESPN: Hate watching James Van Riemsdyk on the other side.. What could've been..
73422393_384085237460107265 x	@DennisDeitch ouch #thatsunpleasant
73422393_384093117689135104 x	@DennisDeitch Could be the 6 seconds i saw didn't do justice. #atl #girls
73422393_384120746890756097 x	@DennisDeitch I was in Atl forums 24 hours once , and was completely impressed. Like the LA of the south:
73422393_383648073190490112 x	RT @PHLBizJournal: RT @PHLBizEditor: Independence BC CEO Dan Hilferty talks future of health care in this PBJ exclusive column. @IBX http:/?
73422393_383647971633803264 x	RT @dukedylan: I literally live two blocks from here #Brewerytown #Philly http://t.co/BKp1exJeI3
73422393_382939702321766401 x	RT @HealthLeaders: IBX Ramps Up HIX Ads in Pennsylvania http://t.co/0W3pOzwU6O
73422393_382933015854592000 x	RT @phillyapts: MM tenant Rybrew getting some much deserved love from Philadelphia Weekly http://t.co/6AM4PceiV6
73422393_380844990383288320 x	RT @Lana: @talkhoops bacon-wrapped dates the best
73422393_380410497184854016 x	RT @PHLBizJGeorge: #IBC joins #Aon Hewitt's private exchange. .@ibx http://t.co/VMSzYd1Ndk via @PHLBizJournal
73422393_380373869515005952 x	@CraigLaBan @spiceend amazing--literally just went there for the first time, Loving my Kati rolls a I type this!
73422393_380369912075931648 x	RT @Michael_Nutter: Support neighborhood school Bache-Martin by shopping Whole Foods on Callowhill on TODAY Sept. 18. Bache-Martin receive ?
73422393_380048285245140992 x	RT @EaterPhilly: Video Interlude: Yes, that was @MarcVetri standing behind @BarackObama during his press conference last night. http://t.co?
73422393_379339823473233920 x	@KNegandhiESPN totally agree, there seemed no need to run the play w 2+ left where Vick ended up getting hurt. Am I missing something?
73422393_377433915558232064 x	@DennisDeitch dont shoot me--why can't foles be Tom Brady light? Meaning, 2/3 as good perhaps but in the same point guard mold?
73422393_376794441513963520 x	RT @jaysonst: ESPN's fabulous HR Tracker says Evan Gattis' 1st HR today went 484 feet. That's the longest HR of 2013 & longest ever at Citi?
73422393_376537290434420736 x	RT @LeonardWeaver: Me and the wife enjoying another date night. We went to Gameroom and she gave me the business.
73422393_376418718076895232 x	@phillyapts I was really amused when I finally made it there for lunch today and saw these signs...
73422393_376092136976187392 x	RT @HonestToddler: Bet if there were no laws against open containers we?d be at the park all the time.
73422393_375672372621479936 x	@DennisDeitch mirror pond was an all time fave back in Seattle days--glad its available here now! #delco
73422393_371999717544058880 x	@BrewerytownLiv @phillyinsider @shiftystaco ha!! Thanks--finally, can't wait!
73422393_371270146062815232 x	@MBarkannCSN @phillyrun @rossmartinson I have/love those runners !
73422393_371269509509693440 x	RT @meenoorami: This is what fight for public education in Philadelphia looks like. RT if you stand with us. #Phillyeducation http://t.co/H?
73422393_370935133052084224 x	@DennisDeitch So you're saying he's doping again, got it. #gogreenies
73422393_370651611829653505 x	@Bighugh53 glad you're back on twitter big man
73422393_369540515806449665 x	@BrewerytownLiv Is Shifty's ever going to actually open? Like, daily?
73422393_368498939714338816 x	RT @The700Level: Photo: This shot of Charlie Manuel leaving Citizens Bank Park today is really sad. #WaWa http://t.co/HLCYsCJYNs
73422393_368441496821047297 x	@The700Level post a screen shot??
73422393_368439116993945600 x	RT @ByDavidMurphy: Charlie Manuel was fired because his general manager failed." Not sure what I'm going to write next but that's my first ?
73422393_368437419139670016 x	RT @AJDaulerio: Good news is Charlie Manuel now gets to fight Howard Eskin without fear of team disciplining him. #worldfuckingchampions #s?
73422393_368371846044844032 x	RT @ParentsUnitedPA: Today's A1 Times story on #PhillyEducation is a searing indictment of political leadership leaving our kids behind: ht?
73422393_364491932846026752 x	RT @FanSince09: .@Yankees So you can have that 2009 World Series trophy shipped over to: 1 Citizens Bank Way, Philadelphia, PA 19148.
73422393_364367179891736576 x	@KNegandhiESPN Lifetime ban from baseballs", interviews, and being in public in general. #justgoaway
73422393_302473833447837696 x	RT @HonestToddler: Birthday Party http://t.co/6hVty39R
