226369124_360940017822076928 x	@Andrew_Repko @TommyRogers39 @mikerepko @duranto15 I'm in, thanks for the invite. Jerk offs
226369124_352202654937649153 x	It appears the #flyers will have enough money for a keg of bud light and a handle of vodka. Looks like they'll be signing @TommyRogers39
226369124_352204121270525954 x	@j_ennis55 @TommyRogers39 nah, that hits cap violations.
226369124_351448186746966016 x	Hockey players always have the worst acne. @TommyRogers39... It's so weird and consistent.
226369124_351435298686775300 x	No one told the #Flyers that #BroadStreetBully #Hockey doesn't work anymore! Garbage pick when you have so many more needs! #FlyersTalk
226369124_332920844839960576 x	@TommyRogers39 @MoMoneyDollas hey... Mo, what do you say we prove this theory wrong ????
226369124_328648117031411714 x	?@TommyRogers39: "@Dolanssoftball: . @PorcelainPrinc http://t.co/U8lqGDYq3M" Marty?? RT It's my Dolans name, Mattie=UBBI, Marty=Dolans lol
226369124_318920255147761664 x	He lives! #wwe can't wait for #Wrestlemania next week! @Andrew_Repko @mikerepko @TommyRogers39 @dwsinnott @katsaoyen http://t.co/P7TitXhDqf
226369124_318832881889865728 x	So Hartnell gone for a stud defender is what @TommyRogers39 is telling me. Lets confirm this @AnthonySan37 @D_LEED
226369124_318833534355771392 x	@TommyRogers39 @anthonysan37 @d_leed Shattenkirk? Shattenkick? What is this dudes name lol. Doesn't sound American
226369124_318834636178464768 x	@TommyRogers39 people are telling you that you are falling for an April fools joke....
226369124_318830498833104896 x	Traded Harry Z for a goon... Yea Flyers fans, because beating people up has won us a cup since 74-75? #giveuponthebullydays it doesn't win!
226369124_318831481462091777 x	@TommyRogers39 for what? No talent?
226369124_306555250519703553 x	My prediction, flyers trade for Cory Perry
226369124_301785380775153665 x	@Andrew_Repko @my_nameaintearl @tobin_bill @duranto15 @tommyrogers39 no thanks, Easton is far lol
226369124_396067951524052992 x	@Winless4Wiggins #prayforoneandone
