31575957_368597816723001345 x	@Sengel626 ONE MILLION DOLLARS
31575957_355185388886818816 x	Now I'm just annoyed.
31575957_385090844497543170 x	I seriously can not stand some people.
31575957_385091634813497346 x	@Sengel626 pure idiots. And all the people I highly dislike. And same for you. We'll just wipe em all out
31575957_385091993556512768 x	@Sengel626 not when I don't like them around what's mine ??
31575957_384740837747613696 x	Is it Wednesday yet? #flyersnation #flyers #myboyfriendrules http://t.co/C8rK2tTUhK
31575957_384746632601800705 x	@Sengel626 I'm so excitedddddddddd!!
31575957_384747213345128448 x	@Sengel626 OH SNAPS. How exciting!
31575957_384747954994548737 x	@Sengel626 Woo *happy dance* I also get to deal with a guy who had his wisdom teeth pulled not even 36 hours before this game... #prayforme!
31575957_384748274583756800 x	@Sengel626 Hahaha I told him not to push it if he cant. So I'll keep you posted lolol
31575957_383701833208066048 x	Why is iMessage not working? ?
31575957_381086570637701121 x	@Sengel626 NOOOOOO sad ally
31575957_381101077158178816 x	@Sengel626 Mehhhhh! I honestly don't know how long I'll be waiting though cause you know how Mom is...
31575957_381101988576231424 x	@Sengel626 *insert insanely super sad face here*
31575957_381102462671024129 x	@Sengel626 meh. Decisions decisions. This is a tough one.
31575957_380134922255876096 x	Flyers come onnnn! You can do it!
31575957_368597514187841537 x	@Sengel626 I mean I got a few ideassss duh
31575957_374822772675198976 x	Atlantic City, you never get old.
31575957_370396605121196032 x	Eight hours of work tomorrow then let my birthday weekend begin!
31575957_368556556159180801 x	Actually gave my parents an idea for my birthday this year. Win.
31575957_362460028491403264 x	MY BIRTHDAY IS IN 25 DAYS. YEAH BUDDY.
31575957_362462148556881921 x	@Sengel626 I CAN'T SLEEEEEEEEP #notsleepy
31575957_362462490208120833 x	@Sengel626 meh is right! That blows
31575957_362463234269265920 x	@Sengel626 -_- times*
31575957_362466607894769665 x	@Sengel626 whoa new emoji. Too much to handle.
31575957_362467243939995648 x	@Sengel626 stop it! ???? too much to handle!
31575957_362467581543723010 x	@Sengel626 someone's on a ? (pretend that's a roll.)
31575957_358009918952980480 x	Welp. Whatever.
31575957_358024679354662914 x	@Sengel626 mom yo. She's insane.
31575957_350461337853374464 x	My brother deleted me on Facebook. Hahahaha. Asshole.
