422155408_394529769317875712 x	@Kelly_mcgowann #thetruthhurts
422155408_396408246098870272 x	@TheRealDGunnCSN alien ant farm or Jackson?
422155408_396102342245744640 x	/ It's the body bag game bitch I'm supplying coffins"
422155408_396102315263811584 x	Me against the world so what? I'm Brian Dawkins/ Versus the whole 0 and 16 Lions offense/ So bring on the Giants, Falcons and Miami Dolphins
422155408_396073598894358528 x	welcome back Steve Downie #downie #talbot #Flyers
422155408_396073510612631552 x	talbot for downie?not sure how I feel about it, but happy #flyers notice that they need some sort of change.good luck talbot, welcome downie
422155408_395797519008935936 x	congrats to the Montclair State women's soccer team for completing a perfect regular season (17-0) with a 9-0 win over Ramapo #redhawks
422155408_395795335605264385 x	congrats to @ShaneVictorino for winning his second World Series. Philly will always remember what you did for us.
422155408_395794273141915648 x	@kia_swinton it's a lot of fun! thanks for having us every week
422155408_395793905117331457 x	RT @kia_swinton: @KhalJose @SkelleyKevin @yaritzar_ @s_nienstedt @automaticmike11 @mattabbott21 @SebastianC_ @paigefromabook3 thanks for ma?
422155408_395649321376296960 x	call it mischief night or whatever, but until this year, October 30th was always trick or treat/ Halloween for me #TomsRiver #Halloween
422155408_395343684751093760 x	RT @MikeR2793: Absolute bullshit call hot him 5 ft off the boards with numbers turned! #flyers
422155408_395343586759155712 x	they really just called G for diving? check the Pittsburgh game, might be diving over there. meanwhile, G will go face-first into the boards
422155408_395343372564856832 x	RT @BroadStBull: Giroux called for diving. Odd call
422155408_395332755979923457 x	VINNNNNNNNNNY!!! from G! #flyers
422155408_395327905963986945 x	RT @BroadStBull: Great feed from Simmonds. Read has 3 goals in last 3 games.
422155408_394669867971788801 x	Toms River just mentioned in the Halloween documentary on the historychannel, awesome #Halloweenparade #2ndbiggestintheworld @ShitTRKidsSay
422155408_394589573503672320 x	starting to wonder if peyton and eli can win on the same week...
422155408_394554721559519232 x	meanwhile Bush and Megatron are putting my fantasy team on their back and keeping me alive this week.
422155408_394554567595020288 x	eagles played like crap, again. need vick back healthy.
422155408_394525182057918464 x	cruz is a bitch #fact
422155408_394529414655913984 x	@Kelly_mcgowann #nflscrosby
422155408_394530355161493504 x	@Kelly_mcgowann it's early
422155408_394529313451560960 x	@Kelly_mcgowann nope cruz is a bitch boy that isn't the player he used to be so he bitches until there's a penalty #fact
422155408_394508677438529537 x	RT @nicoleandbri: Let's go @eagles!! #FlyEaglesFly on the road to Victory! @nfl @espn @CBSSports
422155408_394314851545128960 x	what just happened?
422155408_394279342198366208 x	RT @PHISportsPhans: Thursday: #Flyers beat the Rangers. Tonight: #Flyers beat the Islanders. Hopefully Tomorrow: #Eagles beat the Giants. #?
422155408_394271469691482112 x	RT @BroadStBull: Wow. Sensational effort by Vinny.
422155408_394271169915785216 x	VINNY FOR THE 3RD TIME!! HAT TRICK!! #Flyers
422155408_394249249132515329 x	@BroadStBull in 1 period? who is this team?
422155408_394249062574067712 x	VINNY AGAIN!! from Raffl!
422155408_394241832206352385 x	JAKE VORACEK!! 2 goals in 5 minutes? what?!?!?
422155408_394241073809088513 x	VINNY!!
422155408_393975917669650432 x	OSN?s Pick: Jets ? The Bengals? superior offense, defense,and special teams won?t be enough to contend with the Jets? fucking bullshit luck.
422155408_393969277901889536 x	watching JAWS. Rob: "there's a knock at the door" Me: "I bet it's Jaws"
422155408_393846693357035520 x	revisitng my roots tonight. East vs South Game. Let's Go Raiders!!!
