1716552302_395681487887949824 x	#Sixers season preview is up! http://t.co/7tueGTbTv9 #sixerstalk #sixerspreview
1716552302_394515132195561472 x	Who else is ready for #Barkley? #Eagles
1716552302_394511394726756352 x	Typical #Vick pass. Has he ever been tested for color blindness? #Eagles
1716552302_393792900263600128 x	@HPbasketball haha that would definitely make them even worse...if that's possible
1716552302_393753581293027328 x	I'm guessing the #Sixers waived Vander Blue because his 3-point accuracy (43%) didn't fit with the tanking plan. #Blue#Wiggins
1716552302_393492191806763010 x	RT @PompeyOnSixers: Deep Sixer: Sixers waive Wyatt and Koshwal http://t.co/sA76Yre3Br
1716552302_393492091940397056 x	@PompeyOnSixers Do you think they keep Vander Blue?
1716552302_393481388814766080 x	#Favre agrees to sign with Rams only if he can freely text pictures of his genitalia.
1716552302_393447360879419393 x	#Favre finally stops annoying the world and the #Rams try to bring him back? Why?!?!?!
1716552302_393123484437839873 x	@hoopshype Which teams can knock off the Heat?
1716552302_393038807529844736 x	Just watched the #Eagles game again. #Foles wasn't as awful as I thought. He wasn't good, but I didn't vomit either. Well, a little.
1716552302_392853813511471104 x	Atlantic Division: Will Brooklyn Nets top New York Knicks in 2013-14? http://t.co/hckFbfxxeB via @SINow
1716552302_392071057106272256 x	RT @RJinVegas: #Chiefs 1st team in #NFL history to start 7-0 the season after posting worst record in the league (h/t @eliassports)
1716552302_391696347155685376 x	The Union lose? My condolences to their 3 fans. #SoccerIsNotARealSport
1716552302_391030154677723137 x	I feel like the #Flyers are already eliminated from playoff contention.
1716552302_390910810706706432 x	#Foles to start vs Dallas. Is the #Vick era officially over? #Eagles#qbcontroversy?
1716552302_390481348198412288 x	#Sixers sign Daniel Orton. Don't worry fans - this will not raise their win total.
1716552302_390167646764670977 x	At least the #Eagles don't have to decide between Gabbart and Henne, right? #Vick#Foles
1716552302_390123517619888128 x	RT @SInow: Michael Vick or Nick Foles? Examining QB controversies around NFL http://t.co/S9n3XWDR8g
1716552302_390123418361679872 x	RT @ESPNStatsInfo: The Bengals D hasn't allowed a 300-yd passer in 20 gms, the longest streak in the NFL. They've faced Rodgers, Brady, Roe?
1716552302_389869357041319936 x	RT @PompeyOnSixers: It sounds like the #Sixers last roster spot will come down to Vander Blue and  Khalif Wyatt.
1716552302_389804895819563008 x	RT @GarryCobb: #Eagles Chip Kelly says he wasn't calling the right plays in the red zone previously.
1716552302_389116507546218496 x	RT @RoobCSN: Here's a list of every QB that's ever thrown for 375 yards vs. the Bucs, 60% completion pct with 2+ TDs and 0 interceptions: N?
1716552302_388677353284444161 x	@975TheFanatic Agreed. With the number of teams likely tanking late in the season, the #Sixers will probably win more than they should.
1716552302_388510254528356352 x	A's are done. Now I officially have no interest in the #MLB playoffs. #lamepostseason
1716552302_388369466859716608 x	RT @SInow: Best-case, worst-case scenarios for every NBA Eastern Conference team: http://t.co/Gi43Npuui2
1716552302_388135410544959489 x	RT @Winless4Wiggins: .@NerlensNoel3 bought an "I Hate Sidney Crosby" shirt.  Philly will love you Nerlens
1716552302_388103435532664832 x	RT @phillysport: Steve Mason is emerging as the Flyers No. 1 goalie. More from @BroadStBull: http://t.co/KMOCZquqEL
1716552302_388102958056886272 x	Preview of the 2014 Phillies bullpen is up - http://t.co/oDoRuqo6ce #Phillies #Papelbon
