36352589_387220372233269248 x	The flyers ain't looking too hot
36352589_387220254687911936 x	omg Foles is the best Eagles QB of all time!
36352589_387199510138478592 x	So unprofessional. I hate the teachers union.
36352589_371951827769896960 x	8am supply chain mgmt. shit
36352589_387220433692405762 x	or the sixers
36352589_387220409701003264 x	or the eagles
36352589_395725263507824640 x	RT @waddeezy: Carter-Williams.
36352589_395720112738537472 x	the heat look like a bunch of gangsters and the sixers look like a bunch of nerds
36352589_395699963750928384 x	Going alllll the way to first pick
36352589_395699836277620736 x	HERE WE GO SIXERS HERE WE GO! (CLAP CLAP) x5
36352589_395263525704069121 x	Freddy Mitchell maybe you'll learn a thing or two about catching balls in prison
36352589_395191274187137024 x	Reflektor!
36352589_394862350043725824 x	100,000 people need to buy gold shirts by Saturday morning because nobody owns gold
36352589_394861945641517056 x	This "gold out" is nonsense.
36352589_394332205344108544 x	Urban Meyer is a classy fellow and the big ten officiating can kiss my ass
36352589_394331347827056640 x	OSUs defense continued to play for five seconds after the play was called dead, attempted to tackle Hack (QB), and injured his shoulder
36352589_394330689736572928 x	Urban Meyer ran a random wildcat play for a TD late in the third quarter to run up the score
36352589_394330413776519168 x	Urban Meyer reviews a spot of the ball already completely blowing out Psu towards the end of the third quarter #scumbag
36352589_394329576597647360 x	?@sficken1: Big shout out to the osu fans that threw coffee all over my family #classy? just another example of OSUs shit personality
36352589_393893809844944896 x	Worst IHOP experience. Got every entree side wrong, mixed up drink orders, food came cold, forgot salad, and randomly gave us scrapple
36352589_393865007458701312 x	RT @lisakaitlin: That awkward moment when your train blows right through your stop #helpme
36352589_393831770246086656 x	Jimmy Fallon knows! Good choice jimmy http://t.co/T6AzOeMY4i
36352589_393745064121597952 x	RT @WIPMorningShow: Caller: "Do you think they should take the C off Claude Giroux?" Al: "And be Laude?" | Listen: http://t.co/hmukpfQGUr
36352589_393370961350651904 x	my dream is to be on Conan. Seriously. Make a wish foundation
36352589_393167462168281088 x	Attendance at the sixers game is so low you can hear the refs discussing their officiating
36352589_393013556889018369 x	John HAM is captain @johnhrossi http://t.co/waTVqEyxgw
36352589_392500576480952320 x	RT @ChipChocolate_: If you say illuminati in the mirror ten times Jay-Z appears, raps and before he leaves tells you no one will believe you
