30866611_306161724912963584 x	Game day! #gocats
30866611_387073535660654593 x	@JimNorton @JoyceEvansFox29 excellent local reference Jimmy!
30866611_386708274210279424 x	@Smittylax mueller corp hooking up u of Washington? http://t.co/Vq15j5AqWz
30866611_381958216612986880 x	Matt Damon is a bad dude
30866611_381945109316509696 x	"WW" is one cold sold of a bitch. 5 mins left!
30866611_380891347202220032 x	RT @ChipKellysBalls: Flowers is down again with a vaginal strain
30866611_380891307972890624 x	@ChipKellysBalls pulled labia. No doubt about it
30866611_380891087474155520 x	It's too easy for McCoy. 25 was a beast in the west coast offense, in this offense he is absolutely legit. #Eagles
30866611_380875451880591361 x	I can't wait for Freddie Mitchell's #86 to be retired
30866611_380878122012274688 x	@kylegarzia ugh I admit the screw up. Freddie wore 84. That's how well he's remembered here in Philly. The true 86, Freddie Barnett!
30866611_380861504527953920 x	Damn. I blame @Jkelce taint for the snap fumble. #Eagles
30866611_380861348839579648 x	@MikeVick is going vintage.
30866611_380854070761648128 x	I wish there was a way in #madden to truly play like LeSean McCoy. Video games don't do @CutonDime25 justice. #Eagles
30866611_380484944067190784 x	@Big4BillyMcK the only thing that would make it perfect would be bacon
30866611_379334368776294401 x	RT @CrossFit: Not one in fifty guys with a 300-pound bench press can do 50 honest push-ups! http://t.co/4e8U1EZhz0
30866611_379326846846111744 x	Fletcher Cox rules
30866611_379330951458717696 x	@esanderslax love it. High energy, tons of emotion and you can see the guys love it running it
30866611_379330403191906304 x	Dan Dierdorf needs to go. @cbssports, one reason why @Foxsports is better than you
30866611_379314484151451649 x	DeMeco just hit the reset button on Floyd. #eagles
30866611_379318181388492802 x	@timo4466 mine was tame. You should see what others are saying.
30866611_379321132865703936 x	@timo4466 def a clean hit. He wasn't defenseless. If they find him then the league should just go ruff-touch
30866611_333372277846585345 x	@esanderslax gotta win some draws!
30866611_377247988822708224 x	@markmillon endorsements. Media pressure
30866611_377247651860729856 x	Big hit. Avants got the best hands in the league but veteran needs to secure the ball #duh #NoShitSherlock
30866611_377246919438770176 x	@BrianDawkins appreciate the honesty legend.
30866611_377246106049970176 x	Congrats Alfred Morris on the TD. You just made @TomJackson57 night! Good call on Morris running all over the D!
30866611_377242826175565825 x	@hane_dog chip makes me wet
30866611_377242709200625665 x	RT @sportspickle: RG3's halftime press conference is going to be awkward.
30866611_377223269738237952 x	@DanGrazianoESPN just like every other ESPN "know it all" analyst. Get an original thought
30866611_377222418034864128 x	RT @DCoverageFB: The Redskins look like the crappy team in a sports movie right before they get new uniforms and start a training montage. ?
30866611_377222350015832064 x	RT @ChipKellysBalls: End I the first quarter ... Falling short of our goal of running 180 plays in the half ...
30866611_377221418913521665 x	RT @sportspickle: Hopefully Washington's offense isn't the future of the NFL. The league will fold.
30866611_377221349833322496 x	From the legend himself ?@BrianDawkins: Right now the eagles are doing a great job tackling?
30866611_377220941937262592 x	Congrats redskins fans. I'd cheer too if it took my offense 4 possessions, 2 turnovers and a safety to get a first down.
30866611_377215971758735361 x	2 possessions/2 turnovers. What was that about a shitty defense @ESPN? #eagles get off RGIII's junk
30866611_377189965899132928 x	Hey @Apple, don't forget these Macs need updates, too via @CNET.  http://t.co/IYHVYq70ym
30866611_376892304268603393 x	"Confused-Tom Coughlin" face needs its own Facebook page if there isn't one already.
