275785388_396466746947018752 x	@MtAiryPhil975 @Sixers @WashWizards @mcw has anyone seen this Wiggins guy play?
275785388_389403637958840320 x	@BigRubeHarley where you on Rittenhouse yesterday?  Did you get some cool shots of that drill team?
275785388_397120721463566337 x	I always liked Foles... Hehehe #FlyEaglesFly
275785388_400105678595162113 x	@cruzm0473_cruz @nas_philly we will lose if Vick is the QB no hate he is good on paper and in your dreams but not on the field...
275785388_400108083084820480 x	@cruzm0473_cruz @nas_philly I don't like Vick in any situation... those insurance commercials are even too much
275785388_400099112236118016 x	If Wiggins and Parker don't score 50 a piece tomorrow I will be disappointed... #hypeornot
275785388_400062828302057472 x	I don't like it when the Sixers lose
275785388_400043953942450176 x	@MollyESullivan just got a big shout out from the crowd!!!
275785388_400042237834178561 x	Enlistment and     reenlistment ceremony #sixers spurs http://t.co/7zYKliwc7U
275785388_400035013020123137 x	Sixers vs Spurs #Sixers (@ Philadelphia 76ers - @sixers) http://t.co/PoI342ZlyC
275785388_399997203533819904 x	Happy Veterans Day http://t.co/ILUahhhgDK
275785388_399986446419120128 x	Sixers vs Spurs tonight military appreciation night @PompeyOnSixers  #Sixers #sixerstalk
275785388_399984335534964736 x	@RealSkipBayless  The Eagles are playing well Skip... Foles 16 TDs no INTs...  Can we get some pub...
275785388_399944653531000832 x	@marclamonthill nice
275785388_399912265941798913 x	The guy from Han dynasty nuts and you guys are funny Hehehe @MikeFOX29 @SheinelleFox29
275785388_399880897350344704 x	@Expo_Nizzo @robramz @FallenHero32 @PhillyRules88 thanks
275785388_399857136169398273 x	Thanks!!!  Have a great day
275785388_399697253553934336 x	@TWroten_LOE @DPickettJrLoe @HStewart_4UW @slimboogy_LOE LOE?
275785388_399622845774704640 x	@MyPhillyAlive @girlsautoclinic @EverythingPhlly @SammisShoeBox @j_cohl @pmaCraftShow @gransome @cgrob513 @Bakersfield49 no problem
275785388_399581139436060672 x	@MalikRose no problem... Exciting season so far...
275785388_399580993142935553 x	RT @MyPhillyAlive: Good luck Philadelphia @Eagles when they take on the Green Bay @packers! Retweet if u think the #Eagles win! GO EAGLES!
275785388_399579156650164224 x	RT @Eagles: Started from Philly and now they're here. #FlyEaglesFly http://t.co/P7nlBqP6Vt
275785388_399569446945439745 x	@Expo_Nizzo @MikeMiss975 @TonyBrunoShow @yungsmoove21 @thekidet why would they do that?
275785388_399570359877664768 x	@Expo_Nizzo it's no guarantee that will work...  We already have stars... Losing is for losers...
275785388_399575561007562752 x	@Expo_Nizzo Stop hatin
275785388_399571548459511808 x	@Expo_Nizzo the cavs won the lottery 2 out of 3 years and they look like cramp...  We have Moultrie and Nerlens next year FA $...
275785388_399552352803618816 x	RT @michellemalkin: ==> RT @USMarineCorps: Happy 238th birthday, #Marines.  #USMC238
275785388_399552181264986112 x	@MollyESullivan you are my fav Sixers side line reporter!!! #Sixers
275785388_399551254407700480 x	RT @pdomo: Today we find out if we should take the Eagles seriously.
275785388_397021352550756353 x	@HBOboxing @HBO I like #GGG
275785388_399550965206220800 x	RT @LincolnFinatic: Retweet to wish Zach Ertz a happy bday MT @ZERTZ_86: Celebrating my 23 birthday at lambeau field today. Now let's go ge?
275785388_399510200367190016 x	Getting my morning news from my favs @EvaPilgrim and @nydia_han  #6abc
275785388_399544521987751936 x	@EvaPilgrim really?  You look great
275785388_399522764778127360 x	@Ike58Reese if you could be the Sixers GM right now what would you do?
275785388_399520240973144064 x	The @Sixers played amazing last night. I'm so proud of y'all @thekidet @MCW1 @yungsmoove21 @spencerhawes00 @TWroten_LOE and the rest#Sixers
275785388_399427600176922624 x	@Sixers @TWroten_LOE great game great team
275785388_399405172633645056 x	@RoobCSN Cleveland won the lottery 2 out of the last 3 and they suck... no guarantee
275785388_399381836167921664 x	Great game @Sixers
275785388_399373167409766400 x	Aww man...  The Sixers x
275785388_399358782968700928 x	@PompeyOnSixers I'm not sure if wants to play tonight
275785388_399354792382058496 x	My team is good!!! #sixers #SixersTalk @PompeyOnSixers
275785388_399313658511388672 x	RT @nicolenenninger: ?Self-esteem comes from being able to define the world in your own terms and refusing to abide by the judgments of oth?
275785388_399303716911992832 x	@TWroten_LOE they are good but EPMD was the best...
275785388_399285943292952577 x	It's early but I just want to make sure everyone knew... #Sixers #SixersTalk #nba#TogetherWeBuild http://t.co/qdJxV96EdC
275785388_399277287067381760 x	Veterans Day service at my Aunt's church http://t.co/qRTg3nXIHX
275785388_399191743746560002 x	@PompeyOnSixers last night was the first time I saw Kyrie Irving... I wish the best but I don't see franchise player...
275785388_399151042279276544 x	I know it's early but again the NBA looks to me like it wide open this season...
275785388_399185621237108736 x	@drgurner lots if boos...  Each time he entered the game or touch the ball... They even put him and a teammate on the kiss cam... Hehehe
275785388_399189655863984129 x	@drgurner I actually feel bad for him...  He is silly but he is really hurt... But I'm glad he lost...
275785388_399189173904887808 x	The Cavs won the lottery two out of the last 3 years and they got Kyrie Irving and Anthony Bennett... Sucks to them #NBA
275785388_399184304015941632 x	You're not Your... One day I will get this down... Hehehe @EvaPilgrim
275785388_399171787038425088 x	@howardeskin @SportsRadioWIP @BorgataAC Foles won player of the week twice in four starts...  The Cowboys are in lots of trouble next time
275785388_399160086553440256 x	Prayers #PrayForThePhilippines http://t.co/3iLU52bolb
275785388_399153969161060352 x	Good morning @EvaPilgrim your my favorite...  Have a great weekend
275785388_399135824929120256 x	RT @nicolenenninger: The great thing in this world is not so much where we are, but in what direction we are moving. ~Oliver Wendell Holmes
275785388_399135667906969600 x	@MollyESullivan saw you at the game last night... Wow You are beautiful!!! Good luck tonight...
275785388_399134479924887552 x	@PompeyOnSixers nice win...  Hoping for a quicker start tonight...  Is it too late for us to resign Evan?  He is playing great...
275785388_399006378188365824 x	Nice http://t.co/MkYSeX6Uiy
275785388_398992552470544384 x	Kyrie Irving isn't a franchise player... #NBA
275785388_398982559163756544 x	Bernie Bickerstaff is always employed #nba#Cavs
275785388_398982209958580224 x	@PompeyOnSixers not bad
275785388_398981030914564096 x	My first time watching Kyrie Irving so far not impressed #GoSixers
275785388_398970725861982208 x	@PompeyOnSixers if MCW might take his socks off next.. :)
275785388_398967311551709184 x	@MCW1 didn't like his headband @PompeyOnSixers
275785388_398960667757387776 x	No Bynum tonight? @PompeyOnSixers
275785388_398965944279924736 x	@PompeyOnSixers ok
275785388_398961176182521856 x	Bynum just entered the floor lots of boos...  I think he smiled #sixers #givehimabreak
275785388_398960499133788160 x	The Sixers are wearing USA headbands for the Veterans #sixers
275785388_398960059524603904 x	The Sixers dancers look amazing tonight #Sixers
275785388_398952778653257728 x	Rookie of the year?#sixers #togetherwebuild http://t.co/o1hRdamHVb
275785388_398951396114190336 x	#Sixers #togetherwebuild http://t.co/yVneShtlNC
275785388_398639882371076096 x	Lebron James is better than Chris Paul and Blake Griffin combined #NBA
275785388_398639265938415616 x	@jeanniemai she looks amazing...
275785388_398637039706734592 x	@NBAFantasy @NBA @NBAonTNT @CP3 he is a little overrated
275785388_398612522124988416 x	@AnthonyDiMoro @Rashaan sad... I don't think he should get booed @WellsFargoCtr tomorrow...
275785388_398613492976328704 x	@Rashaan @AnthonyDiMoro @WellsFargoCtr but he didn't do anything wrong...  He wants to play but he can't
275785388_398608641584287744 x	I don't think the Clippers are a championship team but Blake and Chris make some cool commercials
275785388_398605549685571585 x	@nas_philly I like Chalmers... Hehehe
275785388_398593993161711616 x	@NBCSN Foles or Stanford, Stacy or Woodhead please assist
275785388_398569471386079232 x	@RTNBA #Clippers#Heat
275785388_398493972982947840 x	@NewDay @marclamonthill @willcain I know college girls drink a lot but they had 2 have one sober moment between planing and wearing that
275785388_398435462291161088 x	@PompeyOnSixers Thad is a very weird player to me...  He is like coordinated and uncoordinated at the same time... I don't understand ?
275785388_398437308514729984 x	@PompeyOnSixers I agree and next week we got SA and Hou... Tough
275785388_398430650203910144 x	@PompeyOnSixers what up!!! I got emotional during yesterday's game...
275785388_398433135920021504 x	@PompeyOnSixers too many open 3s... My boy Orton got injured... It was a long night
275785388_398421058711486464 x	@mspamie2u @GlobalGrind the problem is the lines are blurred and we are responsible for it...
275785388_398429486376828928 x	@BCDAlerts @mspamie2u we need to teach our children to resiliency...  Not every one is nice...  You will survive...
275785388_398431835472277504 x	@BCDAlerts @mspamie2u in response to the use of n-word no one should use it.. That all have a great day...
275785388_398431589761576960 x	@BCDAlerts @mspamie2u I was talking about the children of the world not just black ones in response to bullying....
275785388_398424488439984128 x	@mspamie2u @GlobalGrind I don't believe anyone should use the n word..  players use the n-word all the time can't get upset now...
275785388_398425728318181376 x	@mspamie2u @GlobalGrind we need to show our love for each other with actions not words especially that one...
275785388_398425280563666944 x	@Winless4Wiggins the Knicks may have joined us in the race for Wiggins
275785388_398419575794315264 x	I feel embarrassed every time I see a black person on TV explaining the use of the N-word in the black community...  Just doesn't fell right
