109975501_395725396055838720 x	@TonyBrunoShow Do you think it helped that A.I. spat some game at his presser? #aaronmckie
109975501_395724626690441216 x	@TonyBrunoShow Good MCW knowledge. PS Does this men we'll win the NBA title?
109975501_395688037343973376 x	@amyfadoolCSN @NeilHartmanCSN @CSNPhilly He was a pain in the arse but once he laced them up, he was the ultimate warrior. #missyouA.I.
109975501_395497259762061312 x	@nufced @28CGiroux Can you be any more negative. He is our best player, he seems the best defensemen and double teams every night. #relax
109975501_395367940129714176 x	@BroadStBull We have 1 skater, that's it. Good teams fly around us like we aren't even there. #coburnoutnow
109975501_395339825802256384 x	@LisaHillaryTV @NeilHartmanCSN Philly misses you Lisa. Welcome back!
109975501_395318342640099328 x	@BroadStBull Claude is primed for a big game. #onegoalisallheneeds
109975501_395132280936493056 x	@howardeskin Surprise, surprise.
109975501_395009938826612736 x	@jodymacman Struggling coach? Can we be any more negative? The guy has a few games under his belt with Andy's slop. #Doyourhomework
109975501_394980867417706497 x	@robellis94 @SportsRadioWIP How the hell can you criticize Chip? 8 games in and Andy's slop. Did I mention 3rd string QB #givehimabreak
109975501_394920844515741696 x	@TonyBrunoShow How about Jerry Garcia. Dude!!! #justblowinsmoke
109975501_394617716151427072 x	RT @JayProV1Hill: @JoeDonRooney nailed the National Anthem!!! #WorldSeries2013
109975501_394552563338469376 x	@Cindy610 @jodymacman we can thank Andy Reid
109975501_374682419086893056 x	@TonyBrunoShow and their best flailer isn't even playing
109975501_394617633678434305 x	@jodymacman @Cindy610 I hope you're kidding. Andy Reid is awful and has very little to do with their success. #waituntiltheyplaygoodteams
109975501_394552863004708865 x	@TonyBrunoShow Blame Andy for the dreck he left #baddraftshavekilledus
109975501_394508353356828672 x	@howardeskin @ATT Broad and Pattison?, did you mean Broadway?
109975501_394282064385548288 x	@TonyBrunoShow That is a doable Big Apple request. #flyboysarebetter
109975501_393826581371555840 x	@dlynamCSN Dei, your golf season will have an early start. ;-)
109975501_393822554772602880 x	@howardeskin @belltrusk @ATT Look at you.
109975501_393558468503683072 x	@TonyBrunoShow A win is a win, T-man. #gottastartsomewhere
109975501_393098400725344256 x	@TonyBrunoShow Did he say that before or after he was arrested? #cheapshotcoldntresist
109975501_393079041722290176 x	@JohnKincade The sports minute on CBS, heard in Philly, was outstanding. You nailed it. It put Andy Reid in the proper perspective.
109975501_392455914738831360 x	@mharrisCSN @BobCooney76 It's a good long term move, let the kid get healthy. We don't need another Greg Odom
109975501_392406623311765504 x	@DRyans59 Great game, D, keep up the good work, Philly is noticing.
109975501_392404963130753024 x	@TonyBrunoShow Tony, can always count on you to put the stinkin cowboys in perspective. PS You must have had good Philly parenting
109975501_392371455721091072 x	@kelly_clarkson Congratulations, Kelly, all the best to you and your husband
109975501_392269094147215360 x	@WIPMorningShow I this game proved anything, you have to have a quality QB in this league, if not, you are an also ran
109975501_392268838470811648 x	@WIPMorningShow Kelly is a class act, he fields all the tough questions, with answers, unlike his predecessor
