493233212_398505308655738880 x	@SocialinPhilly Thx for the follow!
493233212_397536541414658049 x	@Mike_Haracz Thx for the follow!
493233212_397536614894673920 x	@quericavida Thx for the follow!
493233212_399932695658385408 x	@joeyfortman Thx so much for the follow! Would love your help in promoting my mommy-daughter apron line! :) #Philadelphia #phillymoms
493233212_399877965866991617 x	@nicholaselmi Making sure it's still ok to meet you at @LaurelEPX this morning around 11ish!? Looking forward to it!
493233212_399889291611881473 x	@nicholaselmi Great-- thx so much!
493233212_399885979655618560 x	@FlowersOn19th Thx for the follow!
493233212_394819498752368640 x	My hot date for Friday night's farm to table dinner...luv you mom! :) xoxo http://t.co/C0Id1QfsKG
493233212_399870435459739648 x	@MarineCafeBlog @zoolanders_b2b Thank you! I love her! :)
493233212_399870362319466497 x	RT @MarineCafeBlog: @faux_gourmet @zoolanders_b2b What a joyful image. Blessed are the mothers & daughters.
493233212_399726199884087296 x	@TSLove411 Thanks for the follow!
493233212_399726127519780866 x	@KeithCRogers Thanks for the follow!
493233212_399693760646225920 x	@emergedesigner Thx so much for the follow!
493233212_399693591863250944 x	@OrganicCorsets Hey I think we need to chat! I'm looking for a corset supplier for an apron fashion show next summer! Are you in MD?
493233212_399661248674934784 x	@DaveMcCormick Y-U-M
493233212_399660891538333697 x	RT @emergedesigner: @faux_gourmet If we think of anyone, we will let you know!
493233212_399660816988766208 x	RT @familyfoodie: ?@faux_gourmet: Thinking a trio of hot soups this chilly #SundaySupper! Potato, tomato and broccoli cheddar. What's on yo?
493233212_399644981310128128 x	Thinking a trio of hot soups this chilly #SundaySupper! Potato, tomato and broccoli cheddar. What's on your plate?
493233212_399610368256794624 x	@fashpotential @emergedesigner If you know of any emerging over-the-top shoe and jewelry designers between #Philly & NYC please let me know!
493233212_399570562709991426 x	"The mouth speaks what the heart is full of." Let's get full of some love and compassion people! #wordstoliveby #inspiration
493233212_399531596619194368 x	Thx for the follow!!
493233212_399492741232869376 x	RT @Cosmopolitan: Probably you deserve Oreo foodgasms this Sunday morning: http://t.co/8aBQ8W8egU http://t.co/qIyct0T4Gz
493233212_399370584917671936 x	@RobertIrvine Can't wait! #restaurantexpress
493233212_399347432229568512 x	Can't. Stop. Eating. @TalentiGelato in Sea Salted Caramel. Someone take my spoon. #obsessed #sugar #italiano
493233212_399346614369673216 x	Enjoyed a smoked brisket soft taco from a truck today...surprisingly amazing! #foodtruck #bbq #saturday #yummy
493233212_399209754020827136 x	@Foodimentary That's nowhere near enough frosting for me! :) #cupcakes
493233212_399153656303718400 x	RT @HuffingtonPost: There are 29 types of coffee drinkers and you are definitely one of them http://t.co/BkLaVLFpXa
493233212_399153617204420608 x	RT @Foodimentary: November 9 is National Chocolate Cupcake Day   http://t.co/iZtYYr4ML1 http://t.co/dRkKPRHFU4
493233212_399152684789288960 x	RT @karenyankovich: Upcoming FREE workshop, "Three ways #LinkedIn can Double your Sales" Register today! http://t.co/KVnf39mijD
493233212_399152244576112640 x	@DavidVenableQVC @QVC @MaryQVC I grew up on scrapple! Love it well done! :)
493233212_399150274222522368 x	RT @HedonistChef: Never store bananas in the refrigerator The cold damages the banana's enzymes, which turn its skin brown    #kitchen #rec?
493233212_399149184156049408 x	RT @greekoutdoors: @faux_gourmet Good morning and thanks for following http://t.co/Wt6JzQBOQQ now following you #networkSBS
493233212_399022467663921152 x	Can't wait for @FoodNetwork 's 20th birthday party tomorrow!
493233212_399021565397843970 x	OMG @mrbradgoreski your new hair is GORG! Wanna come to #philly to style a "kitchen couture" runway charity show for me next summer? ;) xo
493233212_399005406074109952 x	RT @TruffleGod: Never eat more than you can lift. - Miss Piggy #foodies #quotes #foodists #mauifoodies #recipes #cooking
493233212_399003760908726272 x	RT @Melthropy: Never allow yourself to be defined by other?s opinion.
493233212_399003699713806337 x	@mariasgoodtaste YUM!
493233212_399002955661053952 x	EWW! Think that Whopper?s bad for you? Applebee?s Oriental Chicken Salad has more than 2x the calories! http://t.co/hi9nJapvvv #gross
493233212_399002663632637952 x	@SpicyFoods Thx for the follow! Life is better hot, isn't it? ;) #spice
493233212_399000144286199808 x	@Lee_Schrager that's a win-win in my book! ;)
493233212_398997416634232832 x	The beautiful gloss pink cake box packaging for the #fauxgourmet Tutu Fabulous apron line! http://t.co/vjc9GV62nx
493233212_398998554372341760 x	@RKStraub87 Thx so much! My shop will be up next week-- I'll send you a link! Makes a super cute girlie #foodie gift! ;)
