221487165_363113884703395842 x	@caileeee don't steal my spot in the street!
221487165_395656102156578816 x	@Kegan22 not a bad night on the bench last night for my goalies huh? #unreal http://t.co/Yh406B3o6r
221487165_395405525862842368 x	@jonathancornea1 bubs, your on twitter right now!
221487165_395405200179331072 x	@stevemurr21 I'm still trying to figure out where that snipe came from tonight buddy! You're a pure goal scorer  #topshelf #whaletail
221487165_395375207265103872 x	@Dferry7 because a legend @CoreyKernan attends that school!
221487165_395374323009355776 x	Hey @JAF2887 you driving that old ice box up to the rink for the game tonight or what bro? #whaletail
221487165_394321014525419520 x	So the same ump that blew a perfect game because he couldn't see the play at first saw obstruction on a play like that? #unreal
221487165_394314395649855488 x	I pray that one day the Red Sox will learn to not throw the ball away down the third base line. Hold the damn thing with two outs.
221487165_394280068652236800 x	https://t.co/Tt8tgwzwKa
221487165_394244882593619968 x	My Halloween costume for the night! #stickperson http://t.co/mcrUIGZdT2
221487165_393173682547605505 x	Sox and bruins, good night!
221487165_392047842074038272 x	2 more games to ref and then a game to play and my day will finally be over. I feel like I've been living at the rink again.
221487165_391253770744897537 x	@caileeee she was just trying to show off her pink underwear and nasty ass lol.
221487165_391256317308186624 x	@caileeee your phone may have never worked right again. And here I thought I would've seen that earlier at Walmart, not target.
221487165_391251724251725824 x	@Kasissa_Silkki7 he must have been a fellow hockey fan.
221487165_391161265185628160 x	First time on top all year boys! @ericgusto14 @Kegan22 @JonathanPClark9 @JAF2887 http://t.co/JEHThwxiJx
221487165_387972094124097536 x	Golfing with @Kasissa_Silkki7 His mullet could beat me today! #hockeyflow http://t.co/KraLs5ie9J
221487165_386183690092806144 x	Watched a bruins game w/o @CoreyKernan last night for the 1st time in a while.You were missed bud!@JAF2887 wasnt making sex calls this time.
221487165_386310709522747392 x	@CoreyKernan @ericgusto14 the store is also happy he is no longer working the night shift! @JAF2887
221487165_386193307744739328 x	http://t.co/h64tMZddHd
221487165_386180049717981184 x	@ericgusto14 dude I would def rock those pants. Where are they? Get a pair lol
221487165_385756023199629313 x	Cali bro realizing that the government shut down is actually a real thing @bsums91 https://t.co/S2xuw1iYBf
221487165_385757487775096832 x	@BSums91 kids a genius lol
221487165_385581862623531008 x	@JonathanPClark9 lol good possibility
221487165_385563828505051136 x	The #RedWings are looking like they are in mid season form 12 minutes into the 1st period. #unreal
221487165_346056846437658625 x	Lets do this #bruins!!! Praying they pull out a game 2 win.
221487165_385445487308181504 x	RT @DarrenDreger: Would be interested in new players survey on fighting. In a players poll in 2011/12, 98% of the players were in favour of?
221487165_384742485270208512 x	@Marcus401  is that a mirror shot of you in the gym?! Looking good bud #jacked
221487165_383615273112440832 x	@BSums91 keep us proud brother!
221487165_382616791416979456 x	Beautiful pre game mood setter after working all day http://t.co/DOz957B5zG
221487165_382612166865850368 x	@Kasissa_Silkki7 @ericgusto14 @PattyG_3 big W tonight, I'm feeling it #whaletail
221487165_382611854297952256 x	@Dferry7 dude I want it but I shouldn't spend the money on it lol. I do need skates though so let me know if you can get those.
221487165_381963713785249792 x	Pure greed with 3 bones! #crazypuppy http://t.co/dLrfsGmwZs
221487165_381614551948857344 x	@Dferry7 what kind of gear can you get bro? I may be interested.
221487165_381618749306327040 x	@Dferry7 damn that's sick. What's the cost looking like?
221487165_381621082660556801 x	@Dferry7 damn bro, I'm considering it. That's a legit, what color pattern?
221487165_381614451788890112 x	@caileeee don't mention the number lol just say in two years lol it makes me feel old
