38347996_385478227139256320 x	This weather is crazy
38347996_384024684221976576 x	Watching Homeland
38347996_396758754202755072 x	Don't even know what to call this!! ??? Matthew Paquette #MattAndCam  https://t.co/4C6MGkJpSK
38347996_396758393610059776 x	Had a great day shopping and lunch with Ashley
38347996_373550597087039488 x	Enjoying boathouse happy hour with Ed and Ashley http://t.co/ComNg86ht2
38347996_369967730189156352 x	Just posted a photo http://t.co/GKFAm23sfp
38347996_369954427358035968 x	http://t.co/W992AttjFG
38347996_369519358302621698 x	http://t.co/iLzAHWhl3X
38347996_369500679699578881 x	Just posted a photo http://t.co/0E9zKuUPVZ
38347996_369499182282711041 x	Just posted a photo http://t.co/S1nl0y8Gdd
38347996_368817989790883840 x	Just posted a photo http://t.co/a1wfvvPdkb
38347996_363679289398808576 x	Just posted a photo http://t.co/CYbex3EjFr
38347996_363670383175933952 x	Just posted a photo http://t.co/9LNGIq9Q5F
38347996_363670210420543489 x	Just posted a photo http://t.co/dahCFgrf5P
38347996_363398725818781696 x	At the shore for Cole's Bachlorette weekend
38347996_360537218210729984 x	Just posted a photo http://t.co/wgkiUQJ7PP
38347996_360006656144310273 x	#WhiskerWednesday @MikeFOX29 @SheinelleFox29 waking up to good day http://t.co/qhZTcbq06P
38347996_360005534461603840 x	Waking up to good day http://t.co/Gf7ztZzVZR
38347996_359723760670081024 x	#WhiskerWednesday mike@FOX29philly sue@FOX29philly jennfred@FOX29philly shenelle@FOX29philly http://t.co/vVtQAcFlBU
38347996_357498589938868224 x	#WhiskerWednesday mike@FOX29philly sue@FOX29philly http://t.co/JSBo7248hp
38347996_357485425914425344 x	Jennfred@FOX29philly http://t.co/At4t3VhAem
38347996_357483374522298368 x	Olly waking up to Good day http://t.co/aYz2to9mTH
38347996_357473937938067456 x	Sue@FOX29philly http://t.co/HSDqzipavm
38347996_357462506643542016 x	@FOX29philly @MikeFOX29 @KacieFOX29 http://t.co/k10aB87jjI
38347996_357205730157268994 x	TV and Wine night with Ashley
38347996_355797023435407360 x	@bigbspoilers
38347996_355083330020057090 x	Can't wait for Big Brother to come on tonight
38347996_355016243570425858 x	@KacieFOX29 @SheinelleFox29 @ColWolfeFox29 http://t.co/0HVtscFuhX
38347996_354959203376443393 x	Watching good day to see if they put the picture of Olly on
38347996_107557294505594880 x	@JasonNark how is Rio grande ave, I have a condo at marina bay on susquehanna ave
