285380794_400001762847105024 x	@Gibbs_bW people who expect it are freeloaders
285380794_395707156017598464 x	@1coolhand_luke #uncletonywisdom
285380794_400015126314487808 x	taking a test on chron's disease tomorrow, @1coolhand_luke meet me at driscoll hall at 8:15
285380794_400004469385342976 x	@Gibbs_bW if you're within 6 feet of me , consider it held but I'm not standing there with my dick in my hand while you take your jolly time
285380794_400001629044637696 x	Glen macnow is the worst on 94.1. He's a dick
285380794_399757461315268608 x	I hate ray didinger.
285380794_399645644551622656 x	RT @Jeff_McLane: Guess who's back, guess who's back, guess who's back, guess who's back ... #Shady
285380794_399641547148636161 x	What does mike Perriera do every other day of the week every day of the year
285380794_399439344701698048 x	@e_lee30 can i have this whenever youre done with it
285380794_399639249315962881 x	@e_lee30 send it as a Christmas card
285380794_399630711759839232 x	RT @FakeWIPCaller: That drop was the most embarrassing screw-up of Riley Cooper's career
285380794_399627890297688064 x	Not a Riley cooper by any means but good to see that team move on from that bullshit this summer. #nomoredrama
285380794_399626652113973249 x	Way to go colt #rudy
285380794_399626528591720449 x	@Amacking must have a lot of those moments.
285380794_399625670353231872 x	Ihate everything about Matthew berry
285380794_399613598433300480 x	Was David Akers that good or Alex henery that bad?
285380794_399612870541213696 x	BOYKS!
285380794_399609159643324416 x	RT @FakeWIPCaller: These injuries- the NFL should ban frozen tundra
285380794_395251538375213056 x	RT @JeffGottfried: I just walked up to some random dude thinking I knew him and said "what's up cocksucker". He was cool with it
285380794_399575111831130112 x	RT @ShooterMcGavin_: BREAKING: Jonathan Martin asks Incognito to meet him on the 9th green at 9 tonight so they can iron out their differen?
285380794_399407815158427648 x	RT @SciencePorn: http://t.co/6EJwIkY5XW
285380794_399283031166697472 x	RT @TheFakeESPN: Florida State scores as many touchdowns today as Jaguars and Buccaneers have entire season combined.
285380794_398979622383390722 x	RT @FakeWIPCaller: I don't understand- if Bynum couldn't play for the Sixers last year, how come he can for Cleveland now? #BOOOOOOO
285380794_398922421454917632 x	@edward_40_handz uhh thanks for jordan reed i guess
285380794_398882124075630592 x	RT @plug_03: richie incognito held o line meetings at strip clubs #biggestbeast
285380794_398679074820071425 x	I turn the walking dead off immediately just to avoid listening to one word the douchebag host from "the talking dead"
285380794_398658202214338560 x	RT @VillanovaCrushe: "Andrew Korz, if you could only sprinkle some of your trail mix on me, I'd show you the way home."
285380794_398649042403459073 x	giving up facebook means giving up facebook stalking. That's like being a vegan and that's like being a pussy.
285380794_398624135523606528 x	LMAO at everyone who took that Baylor over hahahahahaha
285380794_398623718895017984 x	RT @SportsCenter: RT if you think Oregon wins. #UOvsSTAN http://t.co/OltMLXOAF4
285380794_398622674286813184 x	Law and order without Elliot stabler is like an Oreo without milk
285380794_398595019109449728 x	RT @FakeWIPCaller: You say booing Bynum won't actually accomplish anything or get us our $18 million back? Shut up. I need my catharsis
285380794_398466205100814336 x	RT @PresidentRozzay: Street sweeper club was such a solid band
285380794_398465945275863040 x	How long until the thunder's decision to not do everything to keep James Harden becomes the worst move in sports history? #3mvpsononeroster
285380794_398319464007368704 x	RT @jim_jennings3: Hate when rappers call themselves entrepreneur's
285380794_398319216912515072 x	RT @e_lee30: This makes me look kind of important but really I'm a janitor http://t.co/sWfIhsTlm3
285380794_398246475273998336 x	@zachgilford713 #gilfordsgoonsquad
285380794_398246274719166464 x	well thats bullshit.
285380794_398185716489805824 x	I think the bigger question is why the dolphins still choose to wear those colors? and why are grown men identifying themselves as dolphins?
285380794_398140342555271168 x	42 days till 21st, i cant wait any longer
285380794_397935486792388608 x	RT @FakeWIPCaller: After all he's overcome, Riley Cooper should win both Comeback Player of the Year and the Ed Block Courage Award
285380794_397935327178129409 x	RT @FakeWIPCaller: Baseball free agency started 11 hours ago. WHERE ARE THE PHILLIES? #cheap
285380794_397898299900198912 x	30 for 30 was the best thing to happens to sports since sports
285380794_397864389434695680 x	Kielty Walsh using the writing center as a resource to better her education and herself #varitas #caritas #unitas http://t.co/x6sqUdodiK
285380794_397802969942732801 x	RT @tmoore76ers: #Sixe Brett Brown: 'You?re never as good as you think you were and you?re never as bad as you think you are.'
285380794_397593268944650240 x	RT @Eminem: Welcome home... For the last time. #MMLP2 out now!  http://t.co/yxdcbLmbQA
285380794_397528266078056448 x	@ArroyYOOO me too man!
285380794_397466876730548224 x	@Pcon24 you're an asshole for not liking asshole
285380794_397464783546769408 x	RT @friezeing: I hate when my phone dies and how it takes years to charge to turn back on
285380794_397458180625555456 x	crazy eminem doesn't rip apart bieber on this album
285380794_397436217106898944 x	RT @justin_pedone: Wont the real slim shady please stand up @that_nikka_22 http://t.co/fFRKV4qkwn
285380794_397425983990427648 x	@scicc_frank i take credit for every single one of those 152 points
285380794_397416949707456512 x	RT @edward_40_handz: Automatic paper towel dispensers are a solution to something that was never a problem
285380794_397224776688996352 x	Idk what to do without Friday night lights
285380794_397210054505406464 x	Kevin love, you man.
285380794_397206361273937920 x	well thank you andre johnson
285380794_397168080163708928 x	RT @TomBradysEgo: Tom Brady high five face http://t.co/jf7OLvm9L2
285380794_397149910857830400 x	@e_lee30 ONE OF MY STARTERS WASNT EVEN ACTIVE THE OTHER BLOWS
285380794_397151762257162240 x	@e_lee30 yeah you just have to walk around being eric lee
285380794_397152863119355906 x	@e_lee30 I was gonna be you for halloween but I had a hard time finding a black eye and handcuffs on such short notice
285380794_397150396965474304 x	RT @FakeWIPCaller: This the Eagles core on offense going forward: Foles, Cooper, Celek, Ertz
285380794_397150254187180032 x	RT @FakeWIPCaller: Prediction: Barkley throws for seven touchdowns in the 4th quarter #QBcontroversy
285380794_397149789453688832 x	@e_lee30 IM GIFT WRAPPED THIS WIN FOR YOU AND YOU STILL BLOW
285380794_397119167117414400 x	"You look like happy the clown" thanks mom
285380794_397079259757707264 x	Freedom ain't free specially round my wayyyyyyyy #lupe
285380794_397066754238996480 x	RT @c_walsh_11: Do it for the story
285380794_395251504354836481 x	wish I could walk around with a yearbook of the world because I can't remember names to save my life.
285380794_397033730445160448 x	RT @MickWillYums: Powderpuff practice at 1 oclock today. If any of you are caught taking a self pic for Instagram, you will immediately be ?
285380794_397015306608336896 x	21st birthday, do more for me
285380794_397015182591156225 x	Ran from a cop last night and almost certain I broke my foot doing so
285380794_397014895046455297 x	RT @c_walsh_11: Heading to alcohol class reeking of booze and questionable decisions
285380794_397014727114891264 x	RT @e_lee30: I don't know whose shoes these are but they can have em back when they take off my dead feet http://t.co/9R9t6hmA7A
285380794_396800776729026560 x	@Brian_Meyers_ @Pcon24 thanks Brian
285380794_396797952494411776 x	@Pcon24 @e_lee30 an idiot *
285380794_396798621179723776 x	@e_lee30 you're stupid*
285380794_396750189085458432 x	streamed a couple songs off marshall mathers lp 2 but had to stop and wait it out till tuesday
285380794_396731072144502784 x	@ChiddyLANG two games.......
285380794_396710642352406528 x	I've been having an average day then I got a snapchat from Dan Brennan and my day just got 5 million times better
285380794_396521178141294592 x	RT @e_lee30: Huh http://t.co/SOfTx7nAWY
285380794_396520700397506561 x	@sammi_wheeler oh really
285380794_396373608677015552 x	Shits weird
285380794_396345736100868096 x	RT @Nunn_DMC: Shoutout to Tastykakes and Orange Gatorade #RealRespectsReal
285380794_396106845024428032 x	@Brian_Meyers_ meets Ron Jeremy ?
285380794_396106529835069440 x	RT @Brian_Meyers_: Halloweenie. I'm Ed http://t.co/HwmT7HwPhy
285380794_396086300396507136 x	RT @KNegandhiESPN: My family lost the strongest person I've ever known- my grandmom. My last India trip, she told me her heart was happy. A?
285380794_396042322808676353 x	@tmoore76ers #nostalgia
285380794_396042196719513600 x	I hate people who like the Big Bang theory more than the Big Bang theory
285380794_396010737883422720 x	@e_lee30 you're a pretty big dick yourself
285380794_395932267333570561 x	RT @FakeWIPCaller: You suck at tanking, Sixers! #firehinkie
285380794_395932079923662848 x	RT @FakeWIPCaller: The Eagles had better be careful. After last night, this is going to be a Sixers town before you know it.
285380794_395929411016732672 x	RT @PresidentRozzay: It's been 5 years since the @Phillies danced down broad street and 5 years since my football senior night. Where has t?
285380794_395913331711569922 x	nothing rivals wawa chocolate milk
285380794_395722671541223424 x	RT @gonzoCSN: Hello, League? Sam Hinkie here. My guys can't be stopped. Get 'em while they're hot.
285380794_395721331406143489 x	#MCW #ROY
285380794_395721177823322112 x	new season, same et
285380794_395707248984354816 x	@1coolhand_luke #youknowwhaaaaaat
285380794_395707102045667329 x	RT @1coolhand_luke: "You have to join Facebook in order to see it? Fuck Mark Zuckerburg. I'm not giving him my money" - my father.
285380794_395702711011643392 x	For like 10 minutes I thought the sixers were going to win the championship, ET got MVP and MCW was the ROY
285380794_395701351574827008 x	Why couldn't the city of Boston just end after the boston tea party? #sonsofliberty #notaxationwithoutrespresentation
285380794_395699959355281408 x	@KorzHeavy @_Sean_Donnelly_ okay so on your own scale. just how creepy would you say you are?
285380794_395698997341745152 x	RT @Lil_BangTheory: Wish I had cable up here... Need to watch my Sixers tonight!!!
285380794_395697040467820544 x	did bynum get mauled by a bear yet?
285380794_395696878568079360 x	RT @FakeWIPCaller: Sixers are winning, Iverson gave an eloquent press conference and Bynum is playing #NBAlookingglass
285380794_395696122628681728 x	RT @FakeWIPCaller: Tonight is a must-win game for the Sixers
285380794_395693221474758656 x	Birdman blows. Take his ring back.
285380794_395690813017300992 x	RT @JUST_bangIN: Daaaaamn Evan turner!
285380794_395689068241383424 x	This season is going to be one big hangover and I love it #MCW
285380794_395627929243496448 x	Snapchat story was the best thing to happen to @CreaseCreator since snapchat #youdontmakenough
285380794_395618828383961088 x	RT @FakeWIPCaller: The Phillies are valued at $1.04 billion? Then how come their payroll is barely $150 million? #cheap
285380794_395618496077647872 x	Is it bad I still call English " language arts"?
285380794_395330126294319104 x	#thingsmainlinedadssaytotheirchildren "Son did you drink your soy milk?"
285380794_395285143583457280 x	@Jeff_McLane does Bennie Logan start now?
285380794_395246991090806784 x	@zachgilford713 yo rt for your biggest fanbase? #gilgordsgoonsquad
