379479130_393162462264307712 x	RT @AIaBubba: http://t.co/NiHGZxdwKi
379479130_395764862108065792 x	RT @ItAintTheWhisky: "@DMicheleH: Did u hear about the new LSU frequent flyer credit card? It has les miles & no points!  #RollTide http://?
379479130_395764761696403457 x	RT @hedfudup: http://t.co/WjLA6NwEvO
379479130_395717959882407936 x	"@TheBamaGuy: Alabama has 14 Commits either playing in.the Under Armour All American or Us Army All American games."#RollTideRoll#BamaNation
379479130_395717770765414400 x	RT @UADennyChimes: 10 days until Alabama takes on LSU. #BeatLSU http://t.co/UHkai0JA4O
379479130_395715471275999232 x	RT @theScore: The New Orleans Pelicans somehow found a mascot even more horrible than their team name. http://t.co/1KCqXkcXKF http://t.co/7?
379479130_395644725807837184 x	"@Mengus22: Would pay $49.99 to watch a stoned Les Miles give a press conference." Me too! #RollTideRoll #BamaNation
379479130_395644227306422273 x	RT @vsunseri3: ?@ReidHoman25: @vsunseri3 Glad I got to see you last Saturday! http://t.co/KrBpgT9ma7? nice to meet you too buddy
379479130_395634771931725824 x	RT @PretendBigAl: #BeatLSU #TameTheTigers @SabanSays http://t.co/IPYRrpZYqg
379479130_395631073943912448 x	RT @DMicheleH: My "funny" for today! #LSUHateWeek #ROLLTIDE http://t.co/ZqlE0XmRE9
379479130_395630906062684160 x	RT @Alabamaliz2950: Bama Math... http://t.co/5qrKljsw4R
379479130_395630417745018881 x	RT @CrimsonTider74: #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide #RollTide?
379479130_395588449602117632 x	RT @Bamagirl_4_ever: Haha! "@jerrysandersRTR: Overpass sign. ... #LSUHateWeek http://t.co/BqdnnDL3Hz"
379479130_395586963421822976 x	RT @LivingCrimson: RT @TheMikeHerndon: Kirk Herbstreit, Gary Danielson laud #Alabama QB AJ McCarron's play http://t.co/U4yQbAGDzH
379479130_395585189591912448 x	RT @TideRecruits101: @TerrellClink92 #ROLLTIDE join the #CrimsonDynasty
379479130_395583227689459712 x	RT @Marq_Burnett: Those is fightin' words RT @SEC_Logo "THEY'RE COMING FOR YOU SEC" New SI cover: http://t.co/zMnmCfHahJ
379479130_395582892921077760 x	RT @AmeeLDominguez: "@CollegeGameDay _________ has the best defense in college football" Alabama duh
379479130_395375416019783680 x	RT @HunterLJohnson: Per Rivals, Alabama now has commitments from the top two centers in the country.
379479130_395373930024022016 x	RT @lydialynne: #LSUHateWeek http://t.co/fgqvcv8c7d
379479130_395373019209936896 x	RT @BamaPrideNation: ?@WNSPTim: St. Paul's OL Josh Casher commits to #Alabama #hsfootball #recruiting?
379479130_394262692850302976 x	RT @Bamagirl_4_ever: "@TideRecruits101: AJ and his o-line #VictoryCigar http://t.co/hKe2lNdeCC"
379479130_395357712764395520 x	RT @HaHa_CD6: This week of practice is only about getting better as a player and a leader and working on my flaws so I can become a better ?
379479130_395315765731393536 x	RT @Bama_Dynasty: The one on the left >>  @sweet_daddy_j74 2m  http://t.co/03S0LVPDze #BamaDynasty
379479130_395304163783245824 x	RT @finebaum: Gary Danielson on Bama,'They may be the only team in the country that can beat you 6 different ways.'
379479130_395277465352171521 x	RT @KDx17: This game has a funny way of making you keep everything in perspective. Gotta stay humble and hungry ? http://t.co/66lq89ZkZ7
379479130_395052950739226624 x	RT @KDTrey5: Dez Bryant I'm Rollin with u!! I love the passion
379479130_394972400431157248 x	RT @Bama_Dynasty: He's on the wagon today >>  @Tide991fm: "I think there is one great defense of team in our conference and that's alabama.?
379479130_394971884951203840 x	RT @tayalmc: Just spit on an LSU car flag in the Walmart parking lot. Get that shit outta here.
379479130_394971057930903552 x	RT @KDx17: "@AmeeLDominguez "I think Yeldon & Drake are better than Ingram&Richardson"-Pat Dye? Wow that's one heck of a statement/complime?
379479130_394969430675185664 x	RT @lydialynne: #LSUHateWeek http://t.co/JuKjJ7DkG8
379479130_394934821161816064 x	RT @BamaPride143: ??? Bama and LSU game kick off set to be primetime at 7pm central #BeatLSUTigers #BamaPride #RollTide http://t.co/SvMJK16?
379479130_394927256541593600 x	RT @BamaInAtlanta: Enough said: http://t.co/WuWUhNsQg3
379479130_394925928167800832 x	RT @TideRecruits101: Landon Collins has developed reading the QB quite well IMO
379479130_394883541143928832 x	RT @bocecilia: @TerrenceCody thanks for being sweet to your little fans! http://t.co/E0ZBhvZHBT
379479130_394883175144775680 x	RT @rivalsmike: From what I hear so far, #Bama has closed the gap considerably for Da'Shawn Hand. We'll see how the visit sits for a little?
379479130_394882979237203968 x	RT @BamaPride143: @10AJMcCarron for #Heisman ???... AJ's always my MVP! #251 #BamaPride #RollTide @HeismanTrophy http://t.co/ctw1e4F2a8
379479130_394867623714099200 x	RT @TideRecruits101: C.J. Mosley named as a finalist for the Butkus LB Award. #BuiltByBama
379479130_394862222859829249 x	RT @realDonaldTrump: @10AJMcCarron  Great game against Tennessee  by the most unappreciated (by the media) quarterback in college football ?
379479130_394861742658183168 x	RT @J_Trey3: I had a great visit to bama yesterday! I love it @tylersiskey @bamacoachnuss @CoachKsmart @coachrumph @JohnGarcia_Jr http://t.?
379479130_394861405624889344 x	RT @BamaPride143: #Bama ??? #BamaPride #WeLiveIt #RollTide http://t.co/xZ548jSIs6
379479130_394853198923825152 x	"@TidalTowel: @ALLAMERICAN_2 congrats #SEC Defensive Player of The Week" #RollTideRoll #BamaNation
379479130_394852076905582592 x	RT @ALLAMERICAN_2: All I can do is thank God and My fans and keep grinding
379479130_394851126274969600 x	RT @zeus30hightower: @ALLAMERICAN_2 keep handling ya business
379479130_394850836503101442 x	RT @Marq_Burnett: Landon Collins named SEC Defensive Player of the Week. #Alabama
379479130_394849995842920448 x	RT @lydialynne: #LSUHateWeek http://t.co/9lABYsFHtt
379479130_394616895455772672 x	RT @BamaPride143: ?@OMG_itsKaylee: @SasukeIRL http://t.co/ow6qt53VXR? #RollTide
379479130_394564952121692160 x	RT @LivingCrimson: #Alabama's Christion Jones now the nation's leader on kickoff returns http://t.co/HoMdXKmiYj via @Andrew_Gribble #rollti?
379479130_394339535498543104 x	RT @wesrucker247: So ... uh ... yeah ... Bama's Kevin Norwood has some ups: http://t.co/JR4AQB30fA
379479130_394282147802267648 x	PROTECTED
379479130_394329091228594176 x	@KirkHerbstreit what was the answer to the trivia question in that UCLA-Oregon game tonight? #RollTideRoll #BamaNation
379479130_394334321576017920 x	@wtambrose @KirkHerbstreit lowest ranking in the initial bcs poll to go on to win the championship
379479130_394336674563760128 x	@rogerrrsss @BrickBoss2 @KirkHerbstreit @wtambrose it was asking for the lowest ranking in the first bcs poll of that year
379479130_394335053607895040 x	@KirkHerbstreit @wtambrose thanks I have been looking for the answer all night. #RollTideRoll #BamaNation
379479130_394334692922916865 x	RT @TreyDeuce32RTR: Appreciate fans staying all 4 to watch a dominant game! #all4 #bestfans
379479130_394327747788800000 x	RT @BigBam3: Great pic of today's defensive star @ALLAMERICAN_2 http://t.co/UEY4J1OYa1
379479130_394322195503398912 x	RT @kellyzap: #YaBoiOfDaWeek goes to @AmariCooper9 for dominating that disgusting orange today. And of course, welcome back to twitter. #tu?
379479130_394307681919721472 x	RT @AmeeLDominguez: @DrinkToTheTide The National Championship has not left the state of Alabama for 4 years
379479130_394284502153191424 x	RT @MarkMcMillian29: Don't compare a QB to AJ he's a two time National Champion stop trying to take away his shine in the media busters #RO?
379479130_394284352563331072 x	RT @AuburnJokes: The Tennessee Vols have officially opted to remove the 'T' from their school flag for the remainder of the season. http://?
379479130_394270257168543744 x	RT @AmeeLDominguez: Hey LSU, I know that you're struggling w/Furman right now but I thought I'd remind y'all that you're next in line to be?
379479130_394269617696542720 x	RT @blackwood89: Boy it's good to have @AmariCooper9 healthy again #ROLLTIDE
379479130_394266769923530752 x	RT @BamaPrideNation: ?@marctorrence: Saban: "the image of your whole program, when people don't stay and support the team, gets affected"?
379479130_394263292115714048 x	RT @thesabanfactor: Really wish I could get @dannykanell to give us his thoughts right about now.
379479130_393163806022860800 x	RT @AIaBubba: http://t.co/n2X5plXFNt
379479130_394262511580897280 x	RT @parkerbarrineau: And we were put on upset alert??? C'mon man
379479130_394252795429527552 x	RT @__Unchained42: I guess Tenn might as well call us Bama instead of the red team#RespectTheProcess
379479130_394232268522549248 x	RT @LivingCrimson: Kevin Norwood #83 leaps over Jaron Toney #35 after a reception (Kevin C. Cox/Getty Images) via ESPN #rolltide http://t.c?
379479130_394232229125431296 x	RT @Lil_Eazy_Ana_42: S/O my dog norwood on that TD catch #RTR
379479130_394232105041166336 x	RT @rollbamaroll: Found some FSU fans that hate fall weddings as much as I do. Good on them. Been talking football for last hour.
379479130_394231776513892352 x	"@marctorrence: Fourth quarter student section. They're sticking around. http://t.co/nbEXzE8gGJ" #RollTideRoll #BamaNation
379479130_394231516848750592 x	RT @SabansStatue: I SEE YOU STUDENT SECTION!!!! #4thQuarter #RollStudents http://t.co/ICT9UUpPcs
379479130_394231378470264832 x	RT @SabanSays: THIS IS NOT ACCEPTABLE. I HATE GIVING AWAY POINTS
379479130_394231294420602880 x	RT @ArkyShea: Just heard Phil Savage of Alabama radio describe both teams "inserting their heavy packages." #ThatsWhatSheSaid
379479130_394230502968025088 x	RT @thesabanfactor: Bama fan problems-giving up the fewest touchdowns in the country since 2009, and still being pissed about giving the Vi?
379479130_394230371812139008 x	"@HollyAnderson: Western Michigan wins in Tuscaloosa! http://t.co/i8xeQg2t4G" lol good call. #RollTideRoll #BamaNation
379479130_394229776040603648 x	RT @AmeeLDominguez: It's really nice to hear COOOOOOP in the stadium again #RollTide @AmariCooper9 ??9? #SoFlaRepresent
379479130_394228974110666752 x	"@TideorDieChick: Dirty ass players" another reason to hate Tennessee! #RollTideRoll #BamaNation
379479130_394229693635125249 x	@TideorDieChick I guess it's if you can't beat them cheat! #RollTideRoll #BamaNation #TNHateWeek
379479130_394229173256200192 x	RT @ArkyShea: For the record, Alabama's heavy package includes four tight ends. #ThatsWhatSheSaid
379479130_394229051977895936 x	RT @CrimsonTider74: That's the right call butch, shut your pie hole http://t.co/kkKunioPzo
379479130_394223981387329536 x	RT @AuburnJokes: Gary Danielson, "In a big game Christion Jones has to call a fair catch there."And the rub for UT fans, he doesn't conside?
379479130_394223759865171969 x	RT @Marq_Burnett: Kevin Norwood is the definition of clutch.
379479130_394223690600419328 x	RT @TheGameWDGM: Norwood with an amazing catch, just went over 100 yards receiving
379479130_394223676176211968 x	RT @OnTheMarksRadio: Damn Kevin Norwood! Just.....dayum!
379479130_394223533733474304 x	RT @LivingCrimson: WOWOWOWOWOW Norwood is pretty good at this catching thing
379479130_394223290044411904 x	RT @TideRecruits101: Holy Mother Of.......NORWOOD !!!!
379479130_394223240358670336 x	RT @CrimsonTider74: Captain Clutch: All he does is make big plays #RollTide!!! https://t.co/Zzd7Q86lF7
379479130_394223228815962112 x	RT @JMcCulley09: Norwood is the most clutch receiver we have and with all the talent at WR, that's saying a lot
379479130_394223058590130176 x	RT @Bama_Hammer: Robert Horry says he wishes he could make clutch plays like Norwood.
379479130_394223012305989632 x	RT @UACrimsonWave: Kevin Norwood is the most clutch wr at Bama ever.
379479130_394222969809281024 x	RT @DieHardBama: #BamaNation I really think we take Kevin Norwood for granted. That guy is an absoulte BEAST! #BAMA
379479130_394222625754742784 x	RT @Tideman42: Too bad a draft guru wasn't insulting Norwood during that catch, #RollTide
379479130_394222548214624256 x	RT @UACrimsonWave: Kevin Norwood making clutch catches look easy #SCtop10
379479130_394218353998708736 x	RT @CFBRulesExpert: #TENNvsBAMA I'm not sure I agree with that OPI call on Amari Cooper. Both players looked to be jockeying for position #?
379479130_394203231154614272 x	RT @JenNScootr: We have some serious Crimson fans up here in East Tennessee! #RMFT #rolltide @HailToTheTide #ibleedcrimson #GBO http://t.co?
379479130_394202715829854208 x	RT @parked_: Saban up by 40 points in the 4th quarter http://t.co/Dwoa8AR1RC
379479130_394202465425715200 x	"@crobinson_68: AJ looking like my boy Vick lol" #RollTideRoll #BamaNation
379479130_394202233400987648 x	RT @rollbamaroll: I hate Tennessee so much, 100-0 wouldn't be enough. #TennesseeHateWeek
379479130_394198556846063616 x	RT @Collin_Keelon: Every time Tennessee hits somebody they go for their knees...they have torn 5 ACLs this year...this is why I hate Tennes?
379479130_394196988537090048 x	RT @TheHand54: http://t.co/3e42N6fBvv
379479130_394196913761054721 x	RT @Bama_Hammer: Alabama needs to reset this Dynasty mode to a higher skill level.
379479130_394193486033190912 x	RT @Amber_RMFT: Hell yea @SabanSays....just saw you painted up in houndstooth!! #rolltide #tnhateweek
379479130_394191481558536192 x	RT @SabanSays: YELDON RUNS IT IN! ALABAMA VERY QUICKLY IS UP 2 TOUCHDOWNS ON TENNESSEE! #ROLLTIDE #BAMA
379479130_394162859560960000 x	RT @iamchristyjane: Calm down now #RollTide ??? http://t.co/Qoh4Z0L0gp
379479130_393877159334666240 x	RT @AmeeLDominguez: CBS is here which means Verne and Gary are off somewhere in TTown practicing the wrong names and of date sayings http:/?
379479130_393875807040712704 x	RT @CollegeGameDay: Most 1st-Round NFL Draft Picks 2009-2013: Alabama - 14 Florida - 7 Missouri - 6 LSU - 6 USC - 6
379479130_393875416957874176 x	RT @DrinkToTheTide: Alabama is your number 3 and you're surprised Bama fans are tweeting at you? Not very smart  @dannykanell
379479130_393874313054785536 x	RT @kjnt38: @SEC_Logo It Shows You How Smart HE IS !!! ????? http://t.co/E1NXvhVS4E
379479130_393842298754465793 x	RT @ForTheMen: http://t.co/tZygCBXCQp
379479130_393842106273636353 x	RT @RollThatTide: How can you tell there's been a Tennessee fan in your yard? The garbage is gone and your dog's pregnant. #TennesseeHateWe?
379479130_393841943450750976 x	RT @Christa_Smith16: How can you tell if a UT fan is married? There is dried chewing tobacco on both sides of his pickup truck. #TennesseeH?
379479130_393841677246681088 x	RT @SEC_Logo: College Football's version of Skip Bayless: http://t.co/7GmEvc6uKT
379479130_393815443229925376 x	RT @BamaDawg_: And...the #1 Reason Why I Hate Tennessee is... Because they are Tennessee. That's reason enough!
379479130_393814261090508800 x	RT @UACrimsonWave: Chick fil a knows what's up #rolltide http://t.co/irhDgAyBcg
379479130_393777152300425217 x	RT @Amber_RMFT: Better see the University of Alabama blocked seating section packed out for the ENTIRE game on Saturday!! #Playfor60 #Stayf?
379479130_393774730425401345 x	RT @BamaDawg_: #TennesseeHateWeek UThug http://t.co/cWrhgDd58X
379479130_393772644254105600 x	RT @TheBamaGuy: #Sec loves to hate Bama but quick to scream 7 straight Championships ha! Makes sense .
379479130_393755472723193856 x	RT @amy_taff: Happy Friday Y'all!  Have a great one!  Oh and.....I HATE ORANGE!  ROLL TIDE! http://t.co/sYUEAgvsll
379479130_393744705181454336 x	RT @BamaDawg_: #EveryAssInEverySeatForEveryMinute RT @UADennyChimes: #TennesseeHateWeek BE LOUD IN BRYANT DENNY (cont) http://t.co/8trBg8zu?
379479130_393744387966267392 x	RT @JChristensen86: I HATE:  The Color Orange (PMS 151), Vol Navy, Derek Dooley's Orange Pants, Kathy Bates, Checkerboard End Zones, Al Gor?
379479130_393738785466642432 x	"@CS1_ERA: Every game day I wear my Bama hoodie and Bama shorts" #RollTideRoll #BamaNation
379479130_393738389893423104 x	RT @Jules4Bama14: http://t.co/RVRyD3v4xD
379479130_393737648000737281 x	RT @kerstinangel11: They low down, they dirty. #TennesseeHateWeek  #RollTide http://t.co/lx0DEe5Ewe
379479130_393735130554306560 x	RT @CDTide: #TennesseeHateWeek    "Tennessee is the only state where road salt is a seasoning."  Jay Leno
379479130_393734676659310592 x	RT @UADennyChimes: "It's that puke..Inside of a pumpkin orange & I hate pumpkins..I hate all they quarterbacks..I cant stress it enough"   ?
379479130_393732612411625472 x	RT @AmeeLDominguez: I hate Phillip Fulmer. I hate their colors. I'm not a dog person. I just hate Tennessee #TennesseeHateWeek #IHateTennes?
379479130_393732504546729984 x	RT @JenNScootr: #TideFanFollowTrain @TidalTowel @SabanSays #hatetennesseeweek #TennesseeHateWeek #RollTide #RMFT http://t.co/9tDOz7PrGT
