1002941647_396408016972435456 x	Love Friday nights <3 #beer #food http://t.co/0EAJ349EEA
1002941647_396742238903885825 x	@6inchpython somehow this got into my purse ? http://t.co/Pk51UCNjVc
1002941647_400151703833837568 x	RT @HeaIthyTips: RUNNING = losing weight, gaining confidence.
1002941647_400151569716744192 x	RT @DamnSoTrue: I miss you, but fuck you..
1002941647_400148423527399424 x	RT @ABilodeau_: Always catch myself thinkin bout life so late at night
1002941647_400147811351543808 x	@6inchpython gold or bw? http://t.co/A4X0aGQIR7
1002941647_400071010222755840 x	RT @reIatabIe: that one person everyone loves and you're just like    W    H    Y
1002941647_399950792696004608 x	RT @mydmac: What do we want?  WE'RE NOT EXACTLY SURE!  When do we want it?  YESTERDAY!  -women
1002941647_399921877843730432 x	RT @facciabella: What a beautiful day for a coma.
1002941647_399904899997388800 x	Thank you to all the veterans out there! I wish I could hug & kiss every one of you sexy m f-ers! You all rock! Love you #veteransday #usa
1002941647_399901615169470464 x	RT @Country_Voices: She's a little bit of heaven with a wild side. #LoveandTheft
1002941647_399901488019173376 x	RT @Country_Voices: That girl was a barefoot blue jean princess. #BrantleyGilbert
1002941647_399897225629016064 x	RT @blondepolska86: You're as disappointing as the cheap toy at the bottom of my cereal box
1002941647_399775172116615168 x	Do you ever think about me baby? What it could've been like? ?
1002941647_399741431444955136 x	RT @ajax06: I only trust guys in jean jackets.
1002941647_399741296707137536 x	That limo ride from Vegas thru the desert w/ all the girls hungover & throwing up. Lol. been there ! #rhom
1002941647_399717033459580928 x	RT @elle_lash: #GoBerzerk #Eminem Best rapper eva.
1002941647_399710558158872576 x	OMG! @bobbiejeanbrown responded & favorited one of my tweets & @AthenaKottak favorited one! Made my night! Yay! Ty! #ewr2
1002941647_399703710882070528 x	Just preordered @bobbiejeanbrown 's book #dirtyrockerboys ! Can't wait to read it!
1002941647_399709593477316608 x	@bobbiejeanbrown omg you responded to my tweet! Jumping up & down! Thank you! Love you girls! ?
1002941647_399694581463539713 x	This dress is $600??  What?! Does it come with a boyfriend?? So funny ! #ewr2
1002941647_399693359650177024 x	Im friends with the monster that's under my bed get along with the voices inside of my head ?
