466723498_399878641943085056 x	@NatbyNature @CodyRhodesWWE Have fun!  Can't wait!
466723498_399637625562480640 x	@HulkHogan @ViSalus sad I didn't meet you in Philly I would have bought you a cookie in the mall... Lol battling leukemia and and couldn't ?
466723498_399608684369965056 x	@KailLowry @Tstrykes Fly Eagles Fly!!
466723498_399583026000441344 x	@michaelstrahan @Bean723 yes it's wrong!!
466723498_399580052230516736 x	@F1abraham I don't understand why people follow people to just bash them?  It's sad, especially if that's what makes them feel better
466723498_399575417570742272 x	@snooki @I_Fruch Nicole don't listen to haters!  Your awesome and rocked the dance floor!!
466723498_399209861617299456 x	@vanillaice @DIYNetwork can't wait !!!
466723498_398858869851848704 x	@HarveyLevinTMZ  leave them alone!!
466723498_346734357353992192 x	Great meeting you! http://t.co/zIi7mOj8f6
466723498_266165677390458880 x	@Good_Day_Philly Shenielle keeps saying Obama won by 100,000 votes, but wasn't over 1,000,000?
466723498_260358399273865216 x	@keeleyfoxnews Will they be setting up a community search?  I want to help
466723498_254379872602972160 x	@PBR  105 row 23 seats 12 13 14
466723498_252742159546085377 x	@RogerMathewsNJ so true and funny... This just got me past my bad weekend with my other half...thank you
466723498_251302648400207872 x	@MikeJerrick I am 36 w/ 2 boys & really have leukemia, others have helped us BC we really needed it- their actions can stop kindness
466723498_249121841963208704 x	@Good_Day_Philly @KarenHepp @MikeJerrick I always tip 20% for good service, I hate the tip jar at Dunkin donuts drive thru!
466723498_247081924978409472 x	@KailLowry @Javim9 congrats.. You are an amazing strong woman and deserve the best!
466723498_246599117067911169 x	@MikeJerrick fyi Washington Township teachers in Gloucester county have been working for 4 years w/o contract!
466723498_246401357689548800 x	@snooki he was great!
466723498_245736958834401281 x	@KailLowry good luck!
466723498_245736618277867520 x	@ItsGaryTime Be very proud of the man you are!
466723498_245723539829837824 x	@MaciBookoutMTV I think I was your 1,000,000 follower.... I love you girl!
466723498_245719343307034624 x	@MaciBookoutMTV You are an amazing young women & mother and @ryancedwards is crazy for not being with you!!!!
466723498_245717902924333056 x	@ryancedwards How long ago was the Dr. Drew checkup taped?
466723498_240166693232578560 x	@snooki congrats Nicole your baby is a lucky boy. Best wishes
466723498_202061170344079362 x	@Hartsy19 thanks for the excitement this yr... Looking forward to next yr!
466723498_196654863642411009 x	@ochocinco you never respond... lol.... Hi
466723498_196653117998239744 x	@OfficialBadChad I was rooting for Hopkins but I gotta give it to you... Great fight!
466723498_196651050055380992 x	@THEREALBHOP you are still our champ! Be proud!
466723498_195184808995995648 x	@KimKardashian Hi Kim... I was in NYC last week and went to DASH loved it!!!!
466723498_195179721800167424 x	@DJPaulyD wish we were going
466723498_182845263839371264 x	@ShaneVictorino I am so excited.. Cant wait
466723498_180299719992557568 x	@DeenaNicoleMTV That was great to see you and @VINNYGUADAGNINO on @WendyWilliams great surprise
466723498_180286606127808512 x	@channingtatum just saw you on fox news Philly.... Can't wait to see 21 Jumpstreet
466723498_179569549283299329 x	@JohnCena this makes me so happy u r awesome... Being 36 & fighting leukemia I couldn't imagine having it as a kid
466723498_179567460821909505 x	@JohnCena I love that you are such a big part of this foundation!
466723498_172493480638152706 x	@ShaneVictorino Can't wait to see you in Philly!!!  Enjoy Spring Training!!
466723498_172492449074253824 x	@channingtatum @jennaldewan Watching you two on ABC family in Step Up and I love it!!
466723498_167633669316542465 x	@WendyWilliams @HulkHogan no so glad @HulkHogan is on your show i was there on mon & wished i could have been there 4 him -he is my hero!!!
466723498_165518406563545088 x	@ShaneVictorino yeah
466723498_165506040790659073 x	@DeenaNicoleMTV have a safe one girl
466723498_164718319436435457 x	@snooki he is an asshole!!  He will not get our vote either
466723498_164379378619392000 x	@Kimpasq624 @Phightin4Sophia @petey521 @selenagomez @addthis 161,726 views!!  Go Sophia!!!
466723498_164165744484040704 x	@WendyWilliams How you doin?  Who is on your show next Mon. 2/6?  I am coming w/ my husband and its my bday!!
466723498_164160701915607040 x	@VICIOUSortiz Happy Birthday... I hope your training is going well, kick some ass!!
466723498_164063482554224640 x	@ShaneVictorino Not for long... Can't wait until your back in Phila!!!
466723498_164058220510453762 x	@TheEllenShow Pls Watch&Retweet 5yrold SophiaPasquarella is battling leukemia and her dream is to be a YouTubeStar http://t.co/othUNuvA
466723498_164057551527350272 x	@TheEllenShow 5yrold Sophia Pasquarella is battling leukemia and her dream is to be a YOUTUBESTAR  Pls Watch&Retweet http://t.co/othUNuvA
466723498_164056463524888576 x	@HJWrestling Keith is still sick... He won't be there :(
466723498_163775033674694656 x	@KimKardashian I bet you are... Stay tough Kim... You are loved!
466723498_163774894453174272 x	@KhloeKardashian Good Luck Lamar!!!
466723498_163272014780575745 x	@rachael_ray This beautiful 5yrold is fighting for her life w leukemia She wants to be a YOUTUBESTAR Please Retweet http://t.co/othUNuvA
466723498_163268557386420225 x	@rachael_ray @BillMaher @Mariobatali You were great on QVC I ordered a bunch of items.... Can I get a retweet?
466723498_163269384180203520 x	@rachael_ray Yeah My first ever response!!  I can't wait for my items to get delivered! You Rock Rachael!
466723498_163055330899668992 x	@HulkHogan Your my hero.... Please Retweet!!
466723498_163053974726000640 x	@HulkHogan r u going to be on WendyWilliams MonFeb6? It's my bday and Im going w my husband. Im battling leukemia and would love to meet you
466723498_162967358141505536 x	@KendraWilkinson >>Please Watch&Retweet 5yrold w Cancer frPhila wants to be YOUTUBESTAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162966723975331840 x	@KendraWilkinson * Please Watch&Retweet 5yrold w Cancer frPhila wants to be YOUTUBESTAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162966316167331840 x	@KendraWilkinson Please Watch&Retweet 5yrold w Cancer frPhila wants to be YOUTUBESTAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162964239991050240 x	@JENNIWOWW Please Watch&Retweet 5yrold w Cancer frPhila wants to be YOUTUBESTAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162964030535905281 x	@jennaldewan Please Watch&Retweet 5yrold w Cancer frPhila wants to be YOUTUBESTAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162962323424808960 x	@HulkHogan Are u going on WendyWilliams MonFeb 6 It's my Bday Im going w my husband Im battling leukemia & it would be so exciting to meet u
466723498_162960370963722242 x	@HulkHogan Hi are you going to be on the Wendy Williams Show on Mon. Feb. 6th?
466723498_162757250241409024 x	@SofiaVergara Hi... My husband loves you... You are his hall pass...LOL... Just kidding, but can you give him a shout out .. (Keith)
466723498_162537580909441024 x	@rachael_ray @KellyRipa have fun!!
466723498_162532388851810304 x	@KrisHumphries Hey Kris I am a Sixers fan but I have to give to you .... Great Game last night!
466723498_162181856865951745 x	@RandyOrton Please Watch&Retweet 5yrold w Cancer frPhila wants to be YOUTUBESTAR Please Help  Sophia Pasquarella http://t.co/othUNuvA
466723498_162181623150940160 x	@JohnCena Please Watch&Retweet 5yrold w Cancer frPhila wants to be YOUTUBESTAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162181276525268992 x	@RandyOrton Please Watch&Retweet 5yrold w Cancer frPhila wants to be YOUTUBESTARPlease Help  http://t.co/othUNuvA
466723498_162180920059764737 x	@JohnCena Please WATCH&RETWEET 5yrold with Cancer from Phila wants to be YOUTUBESTAR Sophia Pasquarella please help http://t.co/othUNuvA
466723498_162173668837961728 x	@JENNIWOWW  Please Watch&Retweet 5yrold w cancer fr Phila wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
466723498_162173314490580992 x	@MikeJerrick !!!Please Watch&Retweet 5yrold w cancer frBensalem wants to be YOUTUBE STAR Please Help Sophia Pasquarella http://t.co/othUNuvA
