62426124_399940335297888256 x	@WilliamBurt7 there ya go!
62426124_399661210498760704 x	RT @Eagles: QB Nick Foles: We're going to enjoy this game for 24 hours and move on.
62426124_399657606689878016 x	RT @MattBarkley: Fly Eagles Fly!!
62426124_399641082931466240 x	RT @Ike58Reese: That call is so fitting in this game by the Zebra's! #BS #EaglesTalk
62426124_398617008121847808 x	@trever_odonnell thanks man thought it was ok! You guys were fun group! #swag #future
62426124_397879897479446528 x	@Treddon7 @chase_rhodes51 I assume I was the Michael Jordan!
62426124_397543106280951808 x	@TylerMcsherry
62426124_397543675804520448 x	@TylerMcsherry @cjman812 I'm not sure what I just did! See u Tommorow! Help clean up? Thanks
62426124_397544633204748288 x	@cjman812 @TylerMcsherry @Treddon7 thanks Tinner! I know I can always count on you and Tyler!
62426124_397552577594015744 x	@TylerMcsherry @cjman812 @Treddon7 it matters to me! I'm saddened! Stop the negativity t-money!
62426124_397544086468833280 x	@TylerMcsherry @cjman812 that is ok! #missed #practice
62426124_397543395062972416 x	@storm_UnoOcho I have no clue.. #qb #offuture
62426124_397169550778961920 x	RT @SportsRadioWIP: #RECAP: Holy Foley!!! The #Eagles beat the #Raiders 49-20 behind 7 TD passes from Nick Foles --> http://t.co/JeuXt9hC8v
62426124_397159123735040000 x	RT @SportsRadioWIP: Thank God we?re on the road again next week in Green Bay! #RoadWarriors #SadButTrue - @Ike58Reese
62426124_397125886224662528 x	RT @SportsCenter: Nick Foles is ON FIRE in the 1st half vs. Raiders. Foles is 14-16, 256 yards, 4 TD. Philadelphia leads Oakland, 28-10.
62426124_397125730142019586 x	RT @SportsRadioWIP: You can officially rejoin the minority and get back on the Foles bus. #RedemptionForFoles - @Ike58Reese
62426124_397118438357078016 x	RT @SportsRadioWIP: TD Cooper, WTFeezey! I told you Foles would bounce back today. The kid can play! #FlyEaglesFly - @Ike58Reese
62426124_396762653114523648 x	This Georgia Florida is intense! #outofcontrol
62426124_395724748774465536 x	RT @FAMEboy101: suddenly i miss the goofing off the smack talk the life skillz bcuz at the end we all left a better players!! #2013 #greyho?
62426124_395724732181782528 x	RT @FAMEboy101: THATS HOW YOU END A SEASON WITH A SHUT OUT IM PROUD OF YOU GUYZ WE PLAYED GREAT 6-1 well to me. 7-0 LONG LIVE THE 2013 GREY?
62426124_395690091961913344 x	Great year middle school hounds 6-1!
62426124_395330640893472768 x	@TylerMcsherry @cjman812 @Treddon7 whose claiming the Wednesday sundae tomm??
62426124_395336147934904320 x	@Treddon7 @TylerMcsherry @cjman812 haha little smack talk from coach... If we r able to dodge ball u r going out first
