963038778_336131702323806208 x	Putting together my list of the 50 best movies from the 1970s. Got any nominees?
963038778_310500824256237568 x	I miss the lockout.
963038778_309134758338756608 x	I like Bryz, but how can he be such an inept poke checker at this point if his career?
963038778_390919274899853312 x	PSU LB Sean Lee (who may play for the Cowboys right now) joins us right now on 94WIP.
963038778_390933481863528449 x	?@372MarkD: @RealGlenMacnow How come no one talking abt Don Tollefson story?? Because it's Cowboy week! Nothing else matters in Cowboy week.
963038778_391199683332169728 x	Well, the good news appears to be that the Mini-Mart re-signing report last night was false. My apologies for passing along someone's BS.
963038778_394927917266108416 x	?@1milli_for_me: @RealGlenMacnow ok Glen name 15 better." Peyton, Eli, Brees, Rivers, Cam, Luck, Stafford, Brady, Ben, Colin K, Wilson .. .
963038778_388412395296927745 x	Vick on 94WIP: "If I had just run normally and slowed down, I wldn't have hurt self. I need to play smart with my body."
963038778_386935559522103296 x	Oh crap. Might be time for me to go find that dress.
963038778_327238491383685120 x	Did Wheels just compare Ben Revere to Willie McGee? McGee = Two batting titles. Revere = Mendoza Line.
963038778_324894562009104384 x	A Senate in the gun lobby's stranglehold. Ninety percent of Americans wanted this to pass. Read this column: http://t.co/Lw2cyw0iLt
963038778_304429069162921985 x	Remember this night, boys. Sports doesn't get any more entertaining than this hockey game.
963038778_368427319247265793 x	Charlie Manuel out as Phills manager, per @JSalisburyCSN. As a Charlie fan, I believe they should have allowed him to finish out season.
963038778_393849761029046272 x	I can sniff out t a Dallas fan trying to sneak through on our show. I've got what they call "Cow-dar."
963038778_396472717110964224 x	Hey I enjoy a good hockey fight, but Emery mugging an unwilling and inept fighter like Holtby was not the game i love.
963038778_395696134775001088 x	Nobody told the Sixers this is a show. They think it's a damned fight!
963038778_394444581527232512 x	WIP Pregame 11-1 by Linc Pro Shop. I'll be w/ Ray Diddy, @Ike58Reese, @RoobCSN, @howardeskin. Bringing sliver of Vet turf to end the streak.
963038778_393192540733575169 x	Enjoyed Pizza Challenge w/ @Ibatvmc + Ray Diddy at Tacconelli's, @PizzeriaVetri. No one's mind changed, but much great pizza was sacrificed.
963038778_393197791217852416 x	@AdmiralAnnoyed I love the Collingswood food scene. Does it hurt my cred that my favorite is The Pop Shoppe?
963038778_392067823805403136 x	Get this infernal soccer off my Sunday Night Football!
963038778_391020393957294080 x	PROTECTED
963038778_388758554061971456 x	I like that a team lets its fans vote for next uniforms. Sixers should do the same. http://t.co/plRIQ3295B
963038778_388774333327224832 x	@CrossingBroad Kyle, I just fear he's going to switch them to NJ Devils colors.
963038778_388462570023436288 x	?@Viva_La_Kracka: @RealGlenMacnow hey glen if u like BBQ u should try this place on 30 the Whitehorse pike it's called bear claw? thanks!
963038778_388402617975853056 x	Flys G Steve Mason on 94WIP on why he's improved: "It's a mental state of mind. Confidence. I've gained it back."
963038778_388053718203379712 x	Here's the best NHL goal I've seen in 5 years. And the kid is 19 years old. http://t.co/abAb9nOSGW
