1075387315_396479069543350273 x	Anthony Cumia of O an A Live from the compound...Halloween Party.  http://t.co/pW1PMdF2MD
1075387315_396367821300441089 x	Editing some video, putting some work in, everyone be safe this evening!
1075387315_395986805733851136 x	@MCW1 Sixers RC Dunks over Lebron and Bosh in 1st game. Promo Poster of that dunk, RT Plz  #mbUniversalProductions http://t.co/1qiOOSO5LH
1075387315_395652046549819392 x	Lets start the season off right 2nite GO Sixers!
1075387315_395645074328936449 x	@cutondime25  Phila. Eagles All-Pro Lesean McCoy- Poster Promo.  Plz RT.  #mbUniversalProductions @mblumenthal09 http://t.co/JKl9nkWtTh
1075387315_394565459179098112 x	Calvin Johnson is a beast!
1075387315_393881910000107520 x	City Hall-Native American-Philadelphia PA http://t.co/S5t01UbeUe
1075387315_393859034500960257 x	City Hall north-pillar holder-Oriental-Philadelphia PA http://t.co/bDY0uzmbdj
1075387315_393855528436117504 x	City Hall north-Civil War 2- Philadelphia PA http://t.co/EkrDbldYNY
1075387315_393847377989087232 x	Civil War Statue-Philadelphia PA - Background vs. New Buildings.  #mblumenthal09 #mbuniversalproductions #phillyph http://t.co/BWk2Um4olp
1075387315_393384076591108096 x	This is like spotting a rare bird on migration, or Waldo...SCORE!  http://t.co/g0qLBQaBzZ
1075387315_392780850573500416 x	Duck Lady Rittenhouse Park - Philadelphia PA #mbuniversalproductions #mblumenthal09 #rittenhousesquare http://t.co/qZaMq9Efqx
1075387315_392356018920763392 x	Flowers at Rittenhouse 1 http://t.co/wBdcL1mzmu
1075387315_392324343234969600 x	Winged Bull outside of Jefferson Hospital 9th and Walnut, Philadelphia PA #mbUniversalProductions #mblumenthal09 # http://t.co/oeeNrDELP3
1075387315_390986454836334592 x	View of Liberty 1 from Rittenhouse #mbuniversalproductions #mblumenthal09 http://t.co/lnWoRbegWj
1075387315_390941718876393472 x	Creating some new Art #mbuniversalproductions #mblumenthal09 to come shortly.  Keep watch!
1075387315_390502935332806657 x	The Rittenhouse Lion - Philadelphia PA http://t.co/ZaDlMYn6OD
1075387315_390280899889082368 x	@ActionBronson  Killing it at the BET Awards!  That East Coast sound spans generations.  Get it!
1075387315_390268761376169984 x	The King of the Park - Philadelphia PA http://t.co/02OVailMNH
1075387315_390132202022764544 x	Good day to work on some Photographs, time to go create some Art. #PhillyPhotography
1075387315_389051790777262080 x	Comcast Tower, Center City-Philadelphia PA http://t.co/bFKx2cBjLQ
1075387315_388780118732070913 x	@Rachel__Nichols Prayers out!!!!
1075387315_387710189371019264 x	Center City Photo and Graphics, local Artist.  Check out more of my work at @mblumenthal09  ,enjoy  @JennFredFOX29 http://t.co/xue3OerjQI
1075387315_387709404805488641 x	Center City Photo and Graphics. Local Artist, check out more of my Art at @mblumenthal09 ,   @MikeFOX29  @OpieRadio http://t.co/F8s5Yz0Eni
1075387315_387693823188430848 x	Liberty 1 with Light pole - Philadelphia PA http://t.co/FYwuyh5AAm
