1412804504_332563605516083200 x	@Honkeypickle I love all your brother in laws! #sarcasm
1412804504_398502085005549568 x	RT @realmikefox: ?@ThrillerMiller_: @realmikefox Gretzky or Lemieux?? Bobby Orr.
1412804504_397625538975522816 x	Nothing's better than a B L T, except when your girl brings you one so you don't have to get your ass off the couch. ;) #bacon #lazy
1412804504_393187318737027072 x	RT @DishNation: Jamie Foxx posted his impression of Sandra Bullock in "Gravity" with an Instagram video. Nailed it? http://t.co/kN1BlDYxli ?
1412804504_374865590147891200 x	"@FeverCritic: @PrestonSteve933 @prestonelliot @mor100 A great accomplishment for me! http://t.co/eclwTvQ6hp" Awesomeness!
1412804504_374297405430059010 x	RT @SaveGameOnline: The Elder Scrolls Online, or How I'll Lose My Job, Spouse, and Personal Hygiene  - http://t.co/tCqKiJY9UT @TESOnline
1412804504_373524956216561664 x	@NBCNewsPictures @NBCNews wonder if this is a sign he's the Antichrist #religiouscelebs
1412804504_373523829773332480 x	@alyankovic I expect utter pure revelation now Al! #greatexpectations
1412804504_371834993405734912 x	RT @RachelFederoff: What's better than #VMAs ? #BreakingBad @aaronpaul_8  @breakingbad_amc
1412804504_364525023710560257 x	RT @Dahern25: I didn't know Walter White was in Oakland today @BreakingBad_AMC http://t.co/lMaXehX694
1412804504_364039243816902656 x	@SkyrimProblems My wife only makes one kind of food.
1412804504_364035975397130241 x	"@BreakingBad_AMC: Who is your favorite character?" Jesse! Cuz I predict he will be the lone survivor. #Bitch #BBaddict #Allhailtheking
1412804504_363704664489209856 x	@letsaskamerica. LoL Anthony Weiner!
1412804504_363232379076218882 x	@NBCNews lucky he's not going on a block
1412804504_362017513262940160 x	@BreakingBad_AMC. "As per!" LoLoL ?
1412804504_359028404253114368 x	RT @BreakingBad_AMC: RT if you're ready for #BreakingBad in 21 days! Watch Walt's transformation into Heisenberg: http://t.co/hj2nJ6DNcE ht?
1412804504_357233763765321730 x	@letsaskamerica B. pepperoni pizza! W/italian seasoning, garlic powder, black & red pepper & parmesan cheese. PHILLY STYLE!
1412804504_355431871863201792 x	@BreakingBad_AMC "Yeah! Magnets Bitch!"
1412804504_354301907252150273 x	"@DannyDeVito: Yasiin Bey (aka Mos Def) force fed under standard Guant?namo Bay procedure http://t.co/ymO3aD6FVy" sick
1412804504_354214713292369920 x	RT @LifeAsMeredith: If this gets 250,000 retweets, @katyperry will be with me during my chemotherapy. Please help, it's my dream! :) http:/?
1412804504_350827549716262913 x	RT @SheCravesThaD: If you have a stupid ex, retweet this with your middle finger....
1412804504_350801226897690624 x	@SkyrimProblems what did someone steal your sweetroll? LoLoL
1412804504_350681801271939073 x	@letsaskamerica D. Richer
1412804504_348843167547785216 x	@neiltyson & so how long until this becomes an issue for humans? Millions of years?
1412804504_348053800965251072 x	RT @todayshow: UFO over Stonehenge? Britain releases its last big batch of X-Files http://t.co/xFvEtTF1mx
1412804504_344250154620166145 x	PROTECTED
1412804504_344627527534391297 x	@NBCTheVoice @SashaAllenMusic Sasha was robbed! Know you'll land on your feet. You're great! #top5results
1412804504_344261912374169600 x	"@NBCTheVoice @blakeshelton @Kennyloggins "Danny's Song" for @TheSwonBrothers!  #VoiceTop5!" These guys sing classic songs so good # harmony
1412804504_344167961654870016 x	@letsaskamerica D. Music!
1412804504_343749770927550464 x	RT @WTFREALLYY: Have you ever walked into a room & forgot why you went there? What if thats god playing Sims & he just cancelled your actio?
1412804504_342718237018038273 x	@letsaskamerica D. Cinemax lolol
1412804504_342703607998713857 x	@DavidSpade don't bounce it Dave!
1412804504_342703140686139392 x	@Jeopardy pinky & the brain brain brain brain brain!
1412804504_342082133499736064 x	"@SkyrimProblems:"killing a chicken in Riverwood before I realized that THE GUARDS TAKE CHICKEN MURDERS FUCKING SERIOUSLY #skyrim" bastards!
1412804504_342068142064930817 x	@SkyrimProblems showed my gf #skyrim & now her character can kick my character's @ss. Her khajit eats dragons for breakfast! #skyrimpromlems
1412804504_340704999279570945 x	"@TheEllenShow: Oklahoma, you're in my thoughts tonight." Thank you Ellen ?
1412804504_340627227744014337 x	Watching storms on radar, which are at least twenty miles away from our land. The whole house just shook for 10 seconds. #besafe
