200599938_386329868876533760 x	Louisville only a 32 1/2-point favorite! RT @Pat_Mitchell15 I smell an upset
200599938_386330319466401792 x	Maybe if Paul Palmer has a big game RT @Pat_Mitchell15 it can be done #keepthefaith
200599938_384437293152358401 x	Eagles still piling up yards. 271 in the first half to 211 for the Broncos.
200599938_294265341532598272 x	So who knows the last time two Big 5 schools beat top-10 opponents the same week?
200599938_386971772425236480 x	Last time Eagles had 3 INTs in a 4th quarter: Oct. 15, 1989, off Tom Tupa at Phx.: Al Harris (the first one), William Frizzell & Eric Allen.
200599938_389437084164816896 x	First catch of the season there for Damaris.
200599938_389410234231316480 x	I've got Eagles 24, Bucs 21. You guys?
200599938_330366510986047488 x	Whoa, http://t.co/n5Cz4qAtmy is officially dead as of today. Guess I need to go back to using my Prodigy email account.
200599938_292808172945682432 x	Bobby April gets the Raiders special teams job. Just wow.
200599938_286525960780652544 x	Sad to see Ray Lewis retiring. Eagles took Jermane Mayberry 1 pick earlier. Became a solid guard & went to a Pro Bowl, but just imagine ...
200599938_286528113838546944 x	a little premature for that, don't ya think? @jameszabo would you think Manti Te'o would have a Ray Lewis type of career?
200599938_282945031705341952 x	There were 27,038,876 babies born in the world between Eagles interceptions.
200599938_252888636335476736 x	World's most boring band: The Avett Brothers.
200599938_252892542486577153 x	totally agree! painfully dull @blakeb07  throw in Mumford and Sons too.
200599938_252952403488432129 x	oh shut up and go listen to your John Mayer CDs RT @edubb2086 @blakeb07 your musical tastes and sensibilities suck
200599938_252954858376790016 x	So there is hope for you! @edubb2086 @blakeb07  now John Mayer does irritate me, we can at least agree on that
200599938_247458115606433792 x	Brent Celek's 157 yards are most by an Eagles tight end since Pete Retzlaff had 7 for 204 vs. Redskins on Nov. 14, 1965, at Franklin Field
200599938_247403472725635073 x	Eagles are 4-25 under Andy Reid when they trail by 10 points or more at halftime.
200599938_247325313091112960 x	How close are Andy Reid and John Harbaugh? Some Sunday morning Eagles reading for ya on http://t.co/q41IluPV! http://t.co/7ngbhU0a
200599938_392874480256569344 x	I think I have the best job in the world! I hope you get it one day! RT @rbrocco  I can't wait to have your job one day :-)
200599938_392871965846822912 x	Too soon to say. RT @Jstip10  if chip could pick between Mariota or Manziel what direction would he go?
200599938_387016163940503553 x	Eagles have 2,274 yards of offense. That's 8th-most in NFL history after 5 games.
200599938_392764063156953088 x	Michael Vick was told today that Forbes Magazine published a survey on America's most hated athlete. He laughed & said: "That would be me."
200599938_394553182753259520 x	Eagles are now tied for the 10th-longest home losing streak in NFL history. 10 straight. Won't be back home till Redskins Nov. 17.
200599938_394550313077596160 x	And I hate the onside kick, too.
200599938_392499386510352385 x	Josh Freeman [53, 190] is 5th QB to throw at least 50 times for less than 200 yards. Stabler 1980, Dave Brown 1995, Collins 1998, Eli 2007.
200599938_392500731703328769 x	he was with the Panthers in 1998 RT @JoeB_OandBP  4 of 5 involved Giants somehow. Unless Collins did it for Carolina?
200599938_392503083453784064 x	Going tomorrow but not really a fan. Just seem like an average bar band to me RT @JoeB_OandBP Was looking for you at the Pearl Jam concert.
200599938_376152049601105920 x	Cody Asche Phillies' best defensive third baseman since ... Rolen? Polanco was pretty good, but this kid is impressive.
200599938_394982536360628224 x	signed through 2015 RT @Bfeldman5141 u think the eagles lock up DeMeco for next year?
200599938_394525334546038785 x	If Vick was still hurting this much, how on Earth did the Eagles not put G.J. Kinne on the 53-man roster? #EaglesTalk
200599938_393380638251692034 x	The answer to the question: "Will the Eagles sign [insert name of aging veteran whose last good year was 2009]?" is always going to be no.
200599938_390484989298499584 x	All-time Eagles QB Player of the Week awards: Donovan 8, Randall 4, VIck 3, Kolb 2, McMahon 1, Hoying 1, Foles 1
200599938_390495273203412993 x	He didn't coach Foles? RT @AJPreziosi @jragone88  Reid didn't coach Randall, McMahon, Hoying or Foles.
200599938_388067650078638080 x	Fewest catches among WRs with 5 starts: R. Woods (16), R. Streater (16), C. Givens (15), R. White (14), D. Heyward-Bey (13), R. Cooper (8).
200599938_387627523015598080 x	According to the @predictmachine, the Eagles project to win 8.6 games this year with Vick at QB, 7.8 games with Foles at QB.
200599938_377240727421341697 x	hard to argue with this, Will MT @will_sharkey it may be a little early but do you now believe Chip Kelly was the right choice over Gus?
200599938_295367778418978817 x	La Salle 69, #19 VCU 61 .. First time La Salle has beaten ranked teams in back-to-back games since 1952.
200599938_295349456491134976 x	And La Salle up 9 at #19 Virginia Commonwealth in Richmond at halftime. What a great TV hoops day in philly!
200599938_295354421511086080 x	yeah, La Salle-VCU is on the CBS Sports Network [732 in most of Bucks County] RT @jmasonnewsbreak  This game on?
200599938_295358672593379328 x	geeze, where do you work? that's lame! RT @jmasonnewsbreak Thanks...just have basic cable here at work. Keep us updated!
200599938_289867365246722048 x	Here are the 10 best Free at Noon shows I've seen over the years: 1. Son Volt, 2. Dr. Dog, 3. Smithereens, 4. (cont) http://t.co/Kb7AvJT8
200599938_279405160139223041 x	Since their last interception, Eagles have allowed 19 touchdown passes.
200599938_267783515356147712 x	Eagles are down 31-17 with 3 1/2 minutes left and Marty is establishing the running game. What the heck is going on here?
200599938_267773009434144768 x	There's the Eagles' defense in a nutshell. They just can't finish.
200599938_267749265919586304 x	Maclin neck injury. Undergoing concussion test in the locker room.
200599938_267747078350970880 x	In 9 first-half possessions in 3 games under Bowles, Eagles have allowed 6 TDs and 1 FG.
200599938_395179710352596995 x	And Babin RT @NOTOllie38 We should trade Vick and Nate Allen to the Jags for their first overall pick
200599938_391765887113371648 x	Oh gosh, I hope I'm free! RT @FOX29philly JUST IN: Drake concert that was cancelled tonight at Wells Fargo Center rescheduled for Dec. 18
200599938_394529308326125569 x	One thing about 1st and goal from the 2 with a rookie quarterback: LeSean McCoy.
200599938_394528963415920641 x	That's a good fumble recovery, looks like from here. #EaglesTalk
200599938_394517476651700224 x	I really have my doubts whether Michael Vick should be in this game. #EaglesTalk
200599938_394518342947467264 x	He's played ONE QUARTER. RT @JGerber_7 yeah cause matt barkley would do much better right?
200599938_392132195453652992 x	agree. definitely. RT @Bensmithten Barkley was awful but his arm strength was noticeably better than what we saw in preseason
200599938_385522547317411840 x	Eli Manning needs 432 yards to have the most career passing yds ever vs. Eagles [Jim Hart, 4580]. What quarter do you think he'll get it in?
200599938_368197167481376769 x	DeSean Jackson and Steve Smith exchanged jerseys after the game.
200599938_389956176516874241 x	nah, Joe's awesome when you get to know him. Brilliant guy & hilarious RT @Eross418 Was Banner as cold as he seemed?
200599938_387259728184619008 x	As expected, Michael Vick is officially out for Sunday, @GeoffMosherCSN reports.
200599938_280880291231453184 x	Browning Nagle warming up for the Jets.
200599938_280881489095294976 x	did he once have a radio show in Philly or did I dream that? @lawlornfl Why would he do that when Glenn Foley is ready to go?
200599938_394990991704223744 x	Last time Eagles lost home games on consecutive weeks allowing 17 or fewer points in both: November 1986 [13-10 to Cards, 17-14 to Giants].
200599938_394999795036585985 x	pardon? RT @jim_yaz  I wish Eagles had Cunningham waiting in the wings
200599938_395006577054203904 x	and Randall won one playoff game in 11 years here MT @jim_yaz  In '86 young Randall was backing Jaws... there was excitement about future .
200599938_395018287622258688 x	Randall was 9-11-1 his first three NFL seasons RT @jim_yaz the early Randall years gave fans hope...much more than Foles' 2 wins over Tampa.
200599938_395755373958680576 x	Terrible job by FOX emphasizing "first World Series clincher at Fenway since 1918" instead of 3 WS titles since 2004. Contrived nonsense.
200599938_394981940643635200 x	I take a lot of drugs RT @seanflynn9 you sir have the patience if a saint, I don't know how you deal with some of the questions you're asked
200599938_388743919380733952 x	If more information comes out indicating risk, that could change. As of now, game is on.
200599938_396462581918859264 x	You guys can root for the 76ers to lose. I'm enjoying the view here in sole possession of first place!
200599938_396449243658858496 x	Winning is better than losing. Always.
200599938_396449957768486913 x	Enough about Wiggins. Have you read what people are saying about him? No thanks, I'd rather win RT @IamAreck not with wiggins at stake.
200599938_396450842473025536 x	http://t.co/FWIKO013hS RT @PHISportsPhans What are people saying about him?
200599938_388306839948906496 x	Exactly. Foles still has more. Did you read the story? RZ TDs MT @1509lucky Vick's played 18 quarters, Foles 3. That's an astute observation
200599938_388336758963720192 x	Foles has MORE red-zone TDs in FAR fewer snaps. Not that complicated MT @1509lucky If u were basing it on equal chances,U would have a point
200599938_396447775820218368 x	SIXERS, BABY! First 2-0 start since 2006-07.
200599938_393109657973030912 x	I know Barkley threw 3 INTs. But I like the way he played way more than Foles. He went out and chucked it. Tried way too hard but battled.
200599938_393110214859173888 x	yep. totally agree MT @the_other_tbow it was his 1st game & he was thrown into a position to fail. people really need to lay off of barkley
200599938_391004734154240000 x	Took longer than I expected! RT @WallacesOwner @Ike58Reese  Thank God the #Eagles drafted Brandon Graham instead of Earl Thomas...
200599938_387021126607441920 x	Nate has actually played really well the last three games RT @edubb2086  thoughts on Nate Allen's performance lately?
200599938_387022867688222721 x	nope. have you been watching? he's been OK RT @Mmimnaugh91 @MSnader13 Nate has actually played really well the last three games" this a joke
200599938_387020339370160128 x	The Cards are 3-2 & Arizona's defense is allowing 18 points per game. Defensive coordinator: Todd Bowles.
200599938_383338457298632704 x	Yeah, he stinks, you're right MT @kwill44 Ur Peyton Manning worship is a joke
200599938_383341221500178432 x	I never said that. I do think they'll win Sunday. That's my opinion. @kwill44 His team is not unbeatable
