447319099_376776208819945472 x	I still don't know what a #latergram is
447319099_392267646168604672 x	Everything. Hurts.
447319099_392084129329975296 x	Charlotte is so hot right now.
447319099_391973895693410304 x	Sunday funday/eagles in Greenville. @MattMartella21
447319099_396449866509213696 x	NoDa
447319099_396433623450415104 x	Miller lite punch top shenanigans @mattmartella21 http://t.co/rAyGFwkds1
447319099_396048122847436800 x	Broke up a fight, got stung by a bee, made a kid cry, and conducted two interviews for the first time ever. Solid day. ?
447319099_395686827015041024 x	RT @gdammer: deep breathe, Ty Lou, @alleniverson is done. happy retirements to THE answer. http://t.co/NI3GYIEzJp
447319099_395660705166540800 x	A year ago I was being interviewed for a teaching position and tomorrow I'll be the one interviewing a potential employee. Crazy world.
447319099_395532062171467776 x	Playing the sympathy card all day in this position. http://t.co/PDws6tM6BF
447319099_395178859454156801 x	Good luck to my roommate/personal chef/life coach @MattMartella21 on the first day of his new job in Charlotte. Establish dominance early.
447319099_395039761389613056 x	Feeling good, living better
447319099_394998132834304000 x	RT @C_Deak88: BRUUUUUUUUUUUCE!!!!!
447319099_394970050844954624 x	Officially reached the point of no return with my facial hair. Let the games begin. ?
447319099_394598522194231297 x	Neck-up noodz are so in
447319099_394571797389389824 x	Girl next to me on plane refused to put down the arm rest between us. Too bad I've recently instituted a no cuddling on Sunday rule.
447319099_394538189282893824 x	Double Bluetooth bro at the airport is making men look like boys.
447319099_394523730342576129 x	Jersey will always be the place I grew up and love visiting but I can't wait to get home to Charlotte.
447319099_394503174490685440 x	RT @BarstoolBigCat: I'm putting Michelle Steele in my farm system http://t.co/MbI6rNcpSq
447319099_394299304036548608 x	High-waisted shorts/pants on girls should be considered false advertising.
447319099_394297585256910849 x	Laces out...
447319099_394294819310559232 x	Insannneee game
447319099_394293580304752640 x	RT @davidpollack47: Clowney's effort on that touchdown is unacceptable!!!! You have to play harder!
447319099_394292924768616448 x	@MattMartella21 premature tweeting at its finest
447319099_394288009405038593 x	RT @PaulPabst: South Carolina-Mizzou. Snug.  4th quarter. Espn2.
447319099_394158229976260608 x	Literally bar crawling in Philly with my potentially broken heel along with Missy and Dean.
