60453148_396126270091558912 x	RT @TheVinceNeil: FINS WIN!!!!!!
60453148_394530125695680512 x	@PHIEagleFans. Unbelievable.
60453148_394491795435827200 x	Go Eagles, beat NY.  @Eagles
60453148_396472803928842240 x	RT @NikkiSixx: Some metal for you fuckers.@Korn on @SixxSense http://t.co/0SSM4NHLx9
60453148_395030060979077122 x	@vinnie_paz. What neighborhood you out of in South Philly?
60453148_396111903769907201 x	@BIGMIKEexpo @vinnie_paz    29th and Tasker holmes, but I hung @ 29th and Snyder, 27th and Dickinson, 28th and Reed, 30th and Wharton, etc.
60453148_396468494893867008 x	@BIGMIKEexpo. That's whatzz up, I miss my city
60453148_396467479142490112 x	RT @NICKIMINAJ: Officer Minaj. Who wants to get cuffed? http://t.co/9zT4kDkIZx
60453148_396467234497134592 x	Sometimes it seems you try so hard, yet you always far short of success, make one wonder, what does it take??????
60453148_396125791831859200 x	Samhain - Wikipedia, the free encyclopedia http://t.co/i6go9QAhLG @iamcolinquinn. Know your history Michael Myers!
60453148_396125326058590209 x	Samhain - Wikipedia, the free encyclopedia http://t.co/i6go9QAhLG @GerryAdamsSF. @OGEverlast @dannyboy1968.
60453148_396124753536114690 x	RT @Catholic_Guide: St. John the Baptist, PRAY FOR US!
60453148_396123967930376193 x	Happy New Year to all my fellow Celts,  this is also the Celtic new year!  @kellieohx
60453148_396120485265559552 x	Need sleep, no worry, so Happy Halloween Tweeters, stay strong, stay positive and believe in God.  Its real.
60453148_396119877317959680 x	@normmacdonald. Do you got $100K riding on this game?
60453148_396119668953321472 x	RT @Bible_Time: We brought nothing into the world, nor can we take anything out of it - 1Timothy 6:7
60453148_396119025253507072 x	RT @ACatholicPrayer: Jesus, whose Holy Limbs first budded in the womb of Mary, Have #mercy on us. #Catholic #prayer
60453148_396118503532421120 x	RT @rebeccagrants This is the best way to watch a game like this. Come in at the end when it goes into OT. Who's gonna win? Cin or Mia?  Mia
60453148_396117877289267200 x	@normmacdonald. Yep, there he goes again.  Life is difficult, especially when you ain't got hundreds of thousands of dollars layin in a bank
60453148_396117417241214976 x	RT @fxp123 Agreed RT @seanmclachlan1: @fxp123.  Most announcers tell you the bloody score! @normmacdonald
60453148_396116775726628864 x	RT @6abc #Exclusive: Personal information of Rent-A-Center customers discovered in Port Richmond dumpster  http://t.co/66IV0ClmTK. WOW
60453148_396116661796741121 x	RT @CecilyTynan Just ONE Halloween I really wish @6abc would let me wear a costume--happy halloween Batgirl! That would be nice...
60453148_396116006310916096 x	@fxp123. Thank you sir, Norm sucks @normmacdonald. As a color analyst sportscazter wanna be hahahahaha
60453148_396115165642375169 x	@normmacdonald. How bout a score there buddy boy
60453148_396114712284237824 x	RT @Catholic_Guide: St. Gabriel, the Archangel, PRAY FOR US!
60453148_396114422952767488 x	@normmacdonald. Score?
60453148_396113814921306112 x	@RealRomaDowney. When is your movie coming out?  Will it be in theaters?
