720747474_328650174710820864 x	@miya_scott  Amen
720747474_328635125116059648 x	Twitter seems very depressing now
720747474_399795160705269760 x	Ok now you crossed the line.
720747474_399662616244518912 x	My eagles won hanana
720747474_399382715524325376 x	Dj superfly
720747474_399362540334874627 x	About to watcch a hockey game with a friend :)
720747474_398737612279521280 x	Huge headache well good night everyone.
720747474_397286743096848385 x	Tommorow will be a better day- T.I.
720747474_388599732068569088 x	Writers block
720747474_382704837353152512 x	Follow me on snapchat wonderpet.max
720747474_382414378303098880 x	Can't sleep :/
720747474_375868166754144256 x	Hurt her again I'm going to kick your ass
720747474_375127559400206337 x	I'm ready for school but I'm not haha
720747474_369005991028719616 x	I want a subway sandwich
720747474_367131241713111040 x	Chillin with the homies :)
720747474_351274189321273346 x	I want to get back on the skateboard but I cant dam you surgery recovery -_-
720747474_351251509549346816 x	@BigBousta There evil.
720747474_351251261934407680 x	Party time :)
720747474_351249860856524801 x	fuck...
720747474_351240986019627008 x	why do people flip off the camera makes you look stupid...
720747474_350770301329616896 x	Golf was fun today :)
720747474_349027343446196225 x	party was good :)
720747474_337780880993030144 x	Hey Tweeter :)
720747474_333421212296413184 x	@Sage253 Same here
720747474_331971288224653312 x	@gayvin22 so does mine ahaha
720747474_331964071253512194 x	Add maxi.wonderpet on Skype :)
720747474_330702507925975041 x	D@alinasierradid the same last night lol
720747474_330548326187548672 x	@NOAHRAI amen
720747474_330544092784234496 x	@_Loraaaaine_ Same
720747474_329433849077571584 x	@AlyssaBaby_xox I Hate it to
720747474_329112520843460610 x	Tommorow will suck but need to stay positive
720747474_329108708468596736 x	@serennn_ NO -_-
720747474_329057822954356737 x	Anyone who makes fun of someone with cancer just makes you the most dumb ass in the world
720747474_328732486911799296 x	N@kacoolaid no you are not -_-
720747474_328720705875238912 x	@JadaLeilaniJ_ u could imagine enough
720747474_327983251387973633 x	@BigBousta message me on fb
720747474_327983676124196865 x	@BigBousta I message you?
720747474_327984056715329536 x	@BigBousta Im worried about you
720747474_327984746988707841 x	@BigBousta ok everything will be fine and if you need to talk im here
720747474_327945862175141888 x	@BigBousta We all get the moments but you arent
720747474_327946405220057088 x	@BigBousta If anyone its me you are very smart just you remember that
720747474_327205958570876929 x	@Mihaaroo TWEET TWEET
720747474_326897922115514368 x	hmmmm
720747474_326569281737338880 x	@Mihaaroo follow me
720747474_326567963396284416 x	@Mihaaroo me to
720747474_325044044176695296 x	Twitter is kind of boring...
720747474_325037872392577025 x	Hahaha i forgot about this
