346230733_394919587604865025 x	Follow the Leader, my friend! http://t.co/FIAAhCRATQ
346230733_394919587533561856 x	Follow the Leader, my friend! http://t.co/PYFDNNgTqJ
346230733_394919591031615489 x	Follow the Leader, my friend! http://t.co/EKN6zgNLbg
346230733_394919587776823297 x	Follow the Leader, my friend! http://t.co/qHFNtm5Ti1
346230733_395774638279491584 x	http://t.co/p4TQ3JG6Cy
346230733_395769117539844096 x	{#Review} {#Giveaway} The Morganville Vampire Series Vol. 5 @#rachelcaine: Hey guys today? http://t.co/uBvdKWjF6b
346230733_395765041079013376 x	Ok guys I need to up my twitter and facebook followers!! So I'm gonna offer an exclusive giveaway!! I have been... http://t.co/gTfm6HLfBi
346230733_395762174658109440 x	{Review} {Giveaway} The Morganville Vampire Series Vol. 5 @rachelcaine http://t.co/4ibOC6elai
346230733_395756887360421888 x	Need I say more? http://t.co/YvhFQJZ0Ku
346230733_395754445101088768 x	Ok this is for a signed copy of TearDrop by Lauren Kate!! Take a picture of you in your costume then tweet and... http://t.co/pRSWmKqi82
346230733_395753740869042176 x	Can u tell I'm bored. http://t.co/Cp124XQ1H5
346230733_395748855473401856 x	RT @StevenMBooth: @cesyamcuono @KarolineBarrett @crossroadreview @lauriestolarz I have to wear it or all the good ideas will escape :)
346230733_395713138534150144 x	Don't forget! http://t.co/ZniTOwsuaw
346230733_395712540304764928 x	Join us Nov. 2nd to chat it up with these amazon authors and of course enter to win some really great prizes!!! http://t.co/i72AK8nZYi
346230733_395627683846975488 x	@katiehayoz @crossroadreview @wtfareyoureadin would love to have you on our live web show #readon to talk about your book!
346230733_395688339648811008 x	@katiehayoz email me jessica@crossroadreviews.com
346230733_395681925202845696 x	Just in: I have 1 new unfollower and 8 followers in the past day. Breaking news via http://t.co/UBche6tjlD
346230733_395625003158220800 x	@cesyamcuono Whats your email lady?
346230733_395644952652156928 x	@cesyamcuono Okies I'll be sending you a post here in a second
346230733_395645791273897984 x	@cesyamcuono sent its a forwarded message so let me know it comes up weird
346230733_395626400121499648 x	@KWalkerWrites @crossroadreview and @wtfareyoureadin  would love to have you on our live web show #ReadOn to talk about your books!
346230733_395635687648542720 x	@KWalkerWrites @wtfareyoureadin great. My email is jessica@crossroadreviews.com
346230733_395633771959320578 x	{Blast} The Darkest Part @TrishWolfe http://t.co/VLlJHEAUJy
346230733_395633059061440512 x	@JuliannaKeyes thanks for following. Would love to have you on the #readon show.
346230733_395631347659599872 x	Read On Author Live Chat Show now had over 100 authors booked from now until the middle of next year!!! Want to be... http://t.co/PzomTcMTrM
346230733_395631225164951552 x	Read On Author Live Chat Show now had over 100 authors booked from now until the middle of next year!!! Want to... http://t.co/7mPbkirgLm
346230733_395630145991901186 x	{#Cover} Jaded Stone By @KWalkerWrites: Today is the cover reveal for Jaded Stone (Souls of? http://t.co/7dm2vd7K1a
346230733_395630119047671809 x	{#Blast} The Darkest Part @#TrishWolfe: Pressing the boundaries of both the psyche and the? http://t.co/BFKWPt12od
346230733_395628596137443329 x	@elisanader @crossroadreview @wtfareyoureadin would love to have you on our live web show #readon to talk about your book!
346230733_395626913391071232 x	@TrishWolfe @crossroadreview and @wtfareyoureadin would love to have you on our live web show #readon to talk about your books!
346230733_395626091139710976 x	{Cover} Jaded Stone By @KWalkerWrites http://t.co/8M4O8e1Pzy
346230733_395612920832221184 x	Join #ReadOn Nov. 2 at 4pm to chat with @StevenMBooth @KarolineBarrett @lauriestolarz @cesyamcuono http://t.co/VzOs4tz73U
346230733_395603414018965504 x	@Rosetta_Books_ did I win something lol. JK.
346230733_395334616359260160 x	@andreacremer @rachelcaine we would love to have both of you on our live web show #ReadOn
346230733_395562200557158401 x	@rachelcaine @andreacremer well if you ladies want to book I'm now booking for Feb-April. Dates are filling up way fast.
346230733_395588484775546880 x	@rachelcaine @andreacremer OKIES!!! So can't wait!!!
346230733_395320470930595840 x	@reneecollins_ Hey I still haven't received your stuff for the Read On
346230733_395562057783062528 x	@reneecollins_ I want to he out of town!!
346230733_395562018532777984 x	@reneecollins_ yupers!!
346230733_395401725596930048 x	{Guest Post} {Review} {Giveaway} Relic by #HeatherTerrell @soho_teen http://t.co/UbbdYh2tCL
346230733_395399937271558144 x	{Guest Post} {#Review} {#Giveaway} Relic by ##HeatherTerrell @soho_teen: The truth will test? http://t.co/gNpzHvuY20
346230733_395399936566890496 x	{#Review} {#Giveaway} The Morganville Vampire Series Vol. 4 @#rachelcaine: Hey guys today? http://t.co/wT6kDkmVHq
346230733_395399769394520065 x	{Review} {Giveaway} The Morganville Vampire Series Vol. 4 @rachelcaine http://t.co/LY9o1T3B8t
346230733_395357161338830851 x	@andreacremer if you want a date I would book now. I can book out as far as you need. OMF FAB GIRL SQUEAL!!
346230733_395355382488395776 x	@jarpad yup that's what we do. DVR my friend! can't believe I was born the day before you lol what are the odds http://t.co/J6J7eDFQmr
346230733_395354971371089920 x	@jarpad @CW_network #Supernatural getting off of here. Still true fan tattoo and bday to prove it lol. Born July 18 http://t.co/BybkfvDFkf
346230733_395354554679566338 x	@jarpad #supernatural how do you follow these?!
346230733_395354113292005376 x	@jarpad love this show! True fan I have the tattoo to prove it. Still think its neat we were born one day part! Mine July 18th.
346230733_395344540623994880 x	@TaherehMafi I would LOVE to have you on our live web show #readon
346230733_395341917627502592 x	@kathleenatucker we would love to have you on our live web show #readon email jessica@crossroadreviews.com for more info!
346230733_395334999375101952 x	@rachelcaine @andreacremer well I'm booking for Jan-Mar now. So your good.
346230733_395329741470699520 x	@crossroadreview are looking for #Authors to come on the live chat show #ReadOn to talk about your books! We are also looking for #Bloggers
346230733_395328647776591872 x	@realmlovejoy Hey we would love to have you on our live web show called #ReadOn
346230733_395325691371470848 x	A.S. King Author of Reality Boy Live Now @#spreecast @lbkids @as_king http://www.spreecast? http://t.co/G8FvwsgjcN
346230733_395321484438040576 x	@cjomololu I couldn't find your twitter for the Read On and thought I was going crazy!!  LOL I didn't have your entire name lol
346230733_395324257007177728 x	@cjomololu yup I was using your first and middle name lol I left out the omololu was wondering why it didn't come up on goodreads
346230733_395323767469404160 x	A.S. King Author of Reality Boy Live Now!  @lbkids @as_king http://t.co/WLiM4WDIKv
346230733_395321755973070848 x	Join #ReadOn Nov. 9 to chat with @jkbibliophile @reneecollins_ @heatherburch @cjomololu https://t.co/NUfNSUCst8
346230733_395319536016048128 x	Justunfollow is my eye of mordor. 6 new followers & 4 unfollowers in the past day and I see them all. http://t.co/UBche6tjlD
346230733_395311974768070656 x	Live chat with A. S. King! http://t.co/1wffa9ixPx via @Spreecast
346230733_395280326798635008 x	@TheVEdenChapter @crossroadreview would be honored to have you on our live chat #readon to talk about your books.
346230733_395287807104532481 x	@TheVEdenChapter Lol o ok.
346230733_395288320210919424 x	@TheVEdenChapter I found her lol.
346230733_395288246399537152 x	@JessShirvington @crossroadreview would love to have you on our live web show called #readon to chat about your books!!
346230733_395280171445805056 x	@JLArmentrout @ByAnnaBanks well I follow both of you amazing authors so who cares about twitter lol.
346230733_394908674621054976 x	@carriejonesbook @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_395278966527115264 x	@carriejonesbook can't believe I wasn't following you! Bad Jessica! I'll email you Carrie.
346230733_393952345199226880 x	{#Review} Tandem @ajarzab: Everything repeats. You. Your best friend. Every person you know? http://t.co/iongtuNVRq
346230733_395261719976484864 x	@ajarzab we would love to have you on our live web show!!!
346230733_394908363202392064 x	@Juliecross1980 @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_395261537147191296 x	@Juliecross1980 I would book soon. Jessica@crossroadreviews.com
346230733_394907702087798785 x	@Gwenda @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394946926858473472 x	@Gwenda great. Sorry about last time. We're booking for dec-march so I would let me know soon.
346230733_395261262524735488 x	@Gwenda great if you want to get your date in drop me an email. Jessica@crossroadreviews.com
346230733_394908024537489408 x	@CynLeitichSmith @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_394946625623179264 x	@CynLeitichSmith Okies. We're booking for dec-March
346230733_395261170040733696 x	@CynLeitichSmith dates are filling up way fast. I would book soon. Email jessica@crossroadreviews.com
346230733_395192160804671488 x	Well here is what my lovely burn looks like from making dinner last night. Ugh. http://t.co/8qgulEWMIz
346230733_395261013417000960 x	@K8Tilton nope :(
346230733_394902235626221568 x	Join #ReadOn Nov. 2 at 4pm to chat with @StevenMBooth @KarolineBarrett  @lauriestolarz @cesyamcuono @KrystalWade http://t.co/QbHmqsIXyN
346230733_394903579854512128 x	@StevenMBooth @KarolineBarrett @lauriestolarz @cesyamcuono @KrystalWade Here is the link to the Facebook page event https://t.co/4FOHHUsijd
346230733_395260977970954240 x	@lauriestolarz @StevenMBooth @KarolineBarrett @cesyamcuono @KrystalWade sorry it's est.
346230733_394908043051163648 x	@AnnaCareyBooks @crossroadreview and @wtfareyoureadin would love to have you on our live chat show called #ReadOn
346230733_395260919225520129 x	@AnnaCareyBooks great. Dates are booking up fast for Dec. So if you could please email me ASAP jessica@crossroadreviews.com
346230733_395214063430422528 x	@AnnaCareyBooks great we're booking for Dec-March right now.
346230733_395204044933038081 x	Follow the Leader, my friend! http://t.co/2iQEVlFTPh
346230733_395204040747134976 x	Follow the Leader, my friend! http://t.co/NSdbbuLnJ2
346230733_395198632422412288 x	@lauriestolarz @StevenMBooth @KarolineBarrett @cesyamcuono @KrystalWade nope 4pm est
