482474750_400007701490851841 x	@MeganThomas1927 that only happened once!!!
482474750_400027054650822657 x	@MeganThomas1927 @maffoomafia that's not me... That's "Lewis the Farmer" #durhhhh
482474750_394872831953342465 x	@nickclarke1993 @jwilson1878 @maffoomafia @Alex_Thomas11 @trampygyan I may get flu*?
482474750_388750434263117825 x	@sallyconlon94 @maffoomafia @nickclarke1993 @jwilson1878 @Alex_Thomas11 @WillAshby1 I haven't even said anything! #rude  #owemeafiver
482474750_375732286685466624 x	@nickclarke1993 Hahaha mate them drinks yesterday probs didn't help... You spent half the time out the water haha
482474750_373222153485049856 x	@MeganThomas1927 E is for... #LetterEDay http://t.co/U4pl2oj38b
482474750_351485016255111169 x	@sallyconlon94 @maffoomafia Back 24th July... Hanley and Stafford the following week? Sambuccas on Matt? #everyonelovessambucca
482474750_351488201141133314 x	@maffoomafia @sallyconlon94 So you're both away in August? Or July? If not... Manchester for my 21st? They have a lot if sambucca there #LTD
482474750_351489071123673089 x	@sallyconlon94 @maffoomafia So Manchester it is for my 21st! Is that your freshers? #hagayyyyyy
482474750_351489706275516417 x	@sallyconlon94 @maffoomafia 21st September, which I think is around mmu freshers
482474750_351489348216176641 x	@sallyconlon94 @maffoomafia Matt you better be on placement again in Manchester #willlllllddd
