49266313_422161548992204800 x	farblawl
49266313_423878450827386880 x	@kimberlily the terror i feel rn woke me up better than coffee
49266313_423997719019925504 x	@kimberlily nothing sez loving like latex horror
49266313_423999321139191808 x	@kimberlily better that than the other way around I guess. 'scuse me.   *dry heaves over trash can*
49266313_423336314742636544 x	Nine Inch Nails Your Mom #KnockOffBands
49266313_423308659469213696 x	@kimberlily the (mental) Joose is Loose http://t.co/Eg0Q6Dcp3i
49266313_423310412449214464 x	@kimberlily if you're into hairy Vietnamese (coco) nuts
49266313_423302472044527616 x	@kimberlily bwaaaaaaaaaaaaaaaaaaaaaaaaah
49266313_423304543779033088 x	@kimberlily I'm out there but there are rubber-suited/dancing to Q Lazzarus lines I will not cross, Kimbo Slizz
49266313_422278923221610497 x	@kimberlily So Catter'd
49266313_422161731754811392 x	@kimberlily bartfall
49266313_421505767959584768 x	@kimberlily what song
49266313_421507500899188736 x	@kimberlily somewhere I have an mp3 of ian mackaye giving a lecture at my university & giving a great commentary of that song
49266313_421508695537623040 x	@kimberlily I will!
49266313_421499337554677760 x	@kimberlily green tea ginger ale? what is this glorious sounding witchcraft?
49266313_421500745607680000 x	@kimberlily I expected nothing less from you
49266313_421502317175656448 x	@kimberlily I'm pretty sure I got this one year in my terribly made paper bag with "Choo Choo-se You" & Care Bears
49266313_421487087703953408 x	@kimberlily hahaha oh my god that's rabs as fuk
49266313_424002827703177216 x	@kimberlily ice cream vom, so vanilla-y
49266313_424006506669830144 x	@kimberlily that a request or a brag?
49266313_424028541617848320 x	@kimberlily in absence of that, i'm taking a whiskey
49266313_424029549827854337 x	@kimberlily RANSOM NOTE http://t.co/Dl2JtmApVa
49266313_424031594362331136 x	@kimberlily it's giving me woody aftertaste
49266313_425093914958131200 x	@kimberlily that's fruitilicious
