162526660_395701682384150528 x	MCW is ridiculously ugly
162526660_395704473693466625 x	@PhilthyBrass sixers will be lucky to not lose by 15
162526660_395702685275783168 x	@PhilthyBrass what categories does he have double figures in?
162526660_389818546018336769 x	Demarcus Ware out? (In my Bernie voice) OK!
162526660_396672270581911552 x	Homer started his career by fleecing teams,  since then has made a series of absolutely horrible moves
162526660_396671615259660288 x	When does Claude Giroux get called out? Dude seems to be getting a huge pass from the media
162526660_396665646228201472 x	@_jbpotter7_ @BuzzOnBroad at his cap hit who on earth wants kimmo
162526660_396442556956823553 x	@JoeyMac215 they have no other option
162526660_395707006545588224 x	@PhilthyBrass oh youre that guy
162526660_395584341709176832 x	Hey @terrellowens brady can yell because he has 3 rings, played in 5 super bowls. @DezBryant hasnt sniffed the playoffs. #Cowboys #Patriots
162526660_395578083597901824 x	@Buccigross thanks for the PSA
162526660_395553259991339008 x	Tiny vessels as the best death cab song...anyone else disagree?
162526660_395368350630805504 x	Checkout this amazing free app called Textra! Available from the Google Play store: https://t.co/aaclBEQFcv
162526660_395341832697425921 x	@Schmidty324 hope this is sarcasm
162526660_395342645708746752 x	@Schmidty324 ok ok came off as complaining. They've played well tonight
162526660_395339869792530432 x	All my life ive been waiting...
162526660_395337665614462976 x	@Schmidty324 boink
162526660_395337561583140864 x	@Schmidty324 touch?
162526660_395336831178641408 x	Dont like the new twitter update. Too easy to favorite a tweet
162526660_395336186828718081 x	@seangentille think Crosby owns that until his final days on the ice
162526660_395311923820249088 x	?@corrado_19: Here's the night last season that my tweet pissed @SHAQ off... #NBATipOff  https://t.co/E9bZJYjmWp? please watch
162526660_395311738654298113 x	@corrado_19 @SHAQ yo dude you have me dying
162526660_395171021797736448 x	RT @KNegandhiESPN: Keep in mind if you root for your NBA team to lose for the 2014 draft.. .The team with the worst record hasn't won the l?
162526660_394998623122898944 x	@BroadStBeat aint watchin the World Series?
162526660_393346150486786048 x	9 hours no break comin right up
162526660_393127039890640896 x	Dude with a hatchet man sticker on his car tryna cut 40 cars off. Why am I not surprised
162526660_393041457516675072 x	https://t.co/ASnAjwMa3O @meanservant
162526660_392982585980506112 x	@WIPMorningShow Obama
162526660_392982109725655040 x	@WIPMorningShow @dom9brown dom can be a cowboys fan but when did they let females play major league baseball?
162526660_392825485300072448 x	RT @JoyceEvansTweet: Enjoying your HUMP day? One man in Philly took one too many HUMPS during sex and died of a heart attack. Story at 6. #?
162526660_392450583900459008 x	RT @Prthegreat609: Real men dont eat slim jims yo
