397672177_359162602951147520 x	Stay strong, make them wonder how you're still smiling??
397672177_359164297689038848 x	?@Kiapoo4: @BMF_NE :-):-):-):-):-)?heyyyy wyd :-)
397672177_359166805715456000 x	?@Kiapoo4: @BMF_NE laying doem got.s.bad headachr?something always wrong with you smh u need a vacation
397672177_319460230402564096 x	Irritated
397672177_319462633935892481 x	@Kiapoo4 lol u crazy & I'm at work now
397672177_319462516440825856 x	?@Kiapoo4: @BMF_NE salaams daughter wats wrong why u up??gm my baby up wit his bad self & ppl & they shenanigans  !!!
397672177_319464127884038145 x	?@Kiapoo4: @BMF_NE yup he rit here being bad he had me n a head lock last night n was puchin my lik crazy he bad ass shit lol?that's my BOY!
397672177_303565633231138816 x	?@Kiapoo4: @BMF_NE ok ""))?heyyyyy I see you in here
397672177_303557168882393088 x	Brb ?
397672177_192022964164767745 x	Ma shoes came I cant wait to go home
397672177_165449887029268480 x	Ma fone is drawin dis morning
