621729291_395406863002398720 x	#Oilers :(
621729291_395693775852273664 x	@Hartsy19 or looks like a poodle got run over, ouch
621729291_395385793608314880 x	Why does Kessel have to make scoring look so easy and the #Oilers skill players are making it look so hard. #Nosnipers
621729291_395387133667442688 x	@iamterryevans yeah and then every shot oilers do get is into Reimer's chest. Another painful game
621729291_395356179225780224 x	C'mon Beat the CBC Maple Goons. #Oilers
621729291_395305316159475712 x	@EASPORTSNHL hmm @hallsy04 looks kinda funny. He looks like a goalie now
621729291_382715651632033792 x	@ryandittrick "sicktastic"?
621729291_395271578637709312 x	When u don't pack a lunch and forget your wallet that means lunch at work is ricola and water. Great. Oh a tic tac. #hungerpangs #diet
621729291_395052538547798017 x	RT @LateNightJimmy: 10% of Americans wear costumes to work on Halloween. Cuz if anything beats being fired on Halloween-it's being fired by?
621729291_395032802191618048 x	RT @Seahawks: INCOMPLETE!!
621729291_395022619658833920 x	C3P0s missing "@HistoryInPix: The original Star Wars cast, 1978 http://t.co/3khbpnGCCB"
621729291_395016710656253952 x	@jessespector still time for a earthquake
621729291_395012994167365632 x	@sarojkamoja #aliciakeysisshocked http://t.co/PJWbXOZrNT
621729291_395000339981553665 x	C'mon Seahawks I got money on u sheesh. Time to score. Just do it for 2E. And the gipper. #MNF
621729291_394988344519569408 x	@jerrycferrara its called the Wrath of Turtle right. Entourage Mutant Ninja Turtle?
621729291_394676993687445504 x	#Oilers :(
621729291_394676951119450112 x	@Bacher31 great effort. You should stick around. #BTO #Oilers
621729291_394667284020858880 x	#Oilers holding the #Kings down. Is Bachman Turner Overdrive the new starter? Sure why not.
621729291_394650415947476992 x	Nice. Open the floodgates now @Nail10_1993
621729291_394649706430615552 x	RT @mc79hockey: It strikes me that kneeing Anze Kopitar would be a more proportionate response but whatever.
621729291_394649317778022400 x	Nice try #RyanJones. Someone had to  go after Clifford. #Fightnite #Oilers
621729291_394635466743349248 x	@jessespector because he's going to the Oilers. #fingerscrossed
621729291_394345769479593984 x	MLB  has managed to make NHL officiating look good
621729291_394299927599149056 x	I heard one firework tonight. Not fireworks just firework. Or maybe it was a gunshot. #earlyhalloween
621729291_394215863001178113 x	#Oilers :(
621729291_394211005950988288 x	Colonel klinkhammer just sits down on the ice and they call a penalty on the #Oilers?? Brutal ref
621729291_394202141457256448 x	Eberle to JSchultz to RNH to Perron = highlight reel goal. #comeback #Oilers
621729291_394188146885156864 x	"2 lower level tickets and 2 beers for $99." Yea only in Phoenix. #Coyotes stream. #Oilers
621729291_394176993689755648 x	Without @hallsy04 and @89SGagner its hard to expect much from the #Oilers. But. I still expect a win. #Nooner #optimist
621729291_394175168718716928 x	RT @AlbertBrooks: The NSA is getting very sloppy. I actually heard someone hang up on the other end.
621729291_394169306671366144 x	@sarojkamoja Man U beat Stoke city, Aston Villa beat Everton, Norwich beat Cardiff, Southhampton and Liverpool also both won. #FYI #welcome
621729291_394171640520536064 x	@sarojkamoja *penalty kick goal, game over hahah #action #ol?ol?ol?ol?
621729291_393983101514153984 x	When I was a kid we didn't have gluten allergies. And we walked to school through 6 ft of snow, and we wrestled bears, and we liked it.
621729291_393987905791598592 x	@Bankay980 yep! Had to slog to ol Vernon Barford JH. And the bears came outta whitemud creek ravine. And I sent em back. #YEG #frostbite
621729291_393931931701633024 x	U know you're over-tired when u catch urself singing along to a katy perry song. #needsleep #longday #roarorwhatever
621729291_393878552946286592 x	But If I order Coke Zero its ok. Mm #BigMac "@bodybreak: Remember this next time you order a Big Mac, Fries and Coke http://t.co/PsjDNygJ4t"
621729291_393800631187554304 x	RT @News1130radio: #Earthquake and #tsunami warning in #Japan http://t.co/x0juBiMepB
621729291_393587683483598848 x	#Oilers :(
621729291_393582613941583872 x	RT @arios51: Killer Whales should be seen in the wild to REALLY see how they act, behave and socialize. Not in a pool acting like clowns. #?
621729291_393577387545223168 x	Stl #Rams trying to sign grandpa #BrettFavre shows you how much QB talent depth there is (isn't) in the #NFL. Ahem #Tebow
621729291_393516563497623552 x	@ochocinco duck dynasty?
621729291_393259074030022656 x	'I don't mind.. stealing bread..,from the mouths of decadence' #ChrisCornell http://t.co/LvbV8lyUbL
621729291_393267074295791616 x	@sarojkamoja the big dog eats first doot woot doo #pitbullraporwhoever #daffodil
621729291_393222548357271552 x	Yeah the #Orpheum is a prett cool place for a concert http://t.co/ifxUjvorHB
621729291_393197465521778688 x	Guinness and bangers and mash for dinner. Feels like I'm back in ?ire. #JohnnieFoxsIrishSnug. Great pub.
621729291_392835748946128896 x	RT @mc79hockey: Why no OLEing MTL fans? You scored. OL?! OL?! OL?! OL?! OL?! OL?! OL?!? No?
621729291_392835641823592448 x	#Oilers :)
621729291_392835293386002432 x	Aw pass that to Arco hemsky. Oh well
621729291_392732104577933312 x	@News1130radio seems skytrain took 90 mins to go just from burnaby to dt today so I guess the key is..everyone should just drive.
621729291_392533278294437888 x	RT @HarrisonMooney: This is embarrassing for you, humanity. http://t.co/0iQNLqisnO
621729291_392508902056542208 x	@jenniferhedger good call on the 'scorpion save'. Nice one. and I have #Niemi in hockey pool wooyay
621729291_392451872016961536 x	@amellywood @ARROWwriters PVR on  #Arrow y2,cool but funny that the most dangerous job in Starling City is FEMA truck driver,ouch #bodycount
621729291_392314009833070592 x	"@MLBFanCave: Koji high-fiving a baby. #WorldSeries http://t.co/BsMNCDrDnF" possibly against it's will. We'll never know. #Tigersfan
621729291_392130514473082880 x	#Colts owner #JimIrsay looks like the dude from #Avatar who drove the mech around and fought a blue #PeytonManning http://t.co/VllvHitLKD
621729291_392120339234185216 x	Traditional sunday night Irish dinner. #Guinness. #2ndGuinness
621729291_392098079622438914 x	RT @sarojkamoja: @PatrickJ2E the W stands for wowowowowow awesone pants
621729291_392094288743387136 x	Trying on jeans is a great way to feel like crap about yourself. "Wait is this a typo on the W?"
621729291_392009561365676032 x	@Bankay980 there's probably something newsworthy going on in Surrey. #protip #yourewelcome
621729291_392030524841017344 x	@Bankay980 I sense sarcasm hahah. Baby steps. Baby steps
621729291_391777692845998081 x	Coe. Gee. Eww. Ehh. Har. Ahhh. Nice job. #RedSox
621729291_391664964278054912 x	#Oilers :)
621729291_391661553843335168 x	Ugh nailbiting time. #Oilers
621729291_391624383040458752 x	#Oiler v #Sens all canadian match up not on HNIC. Can't watch in BC. Thanks @cbcsports  #YouKnowWhatReallyGrindsMyGears #lousystream
621729291_391439214987837441 x	RT @JacobTrouba: Thanks for the support. If you were wondering, the boards are not edible. I'll be back soon. #gojetsgo
621729291_391439201444450304 x	@JacobTrouba shoutout to the mouthguard manufacturer right
621729291_391396747345281024 x	@BarackObama So America now that you're back in business why not just banish all the #TeaParty wackamoles. Send them to #SarahPalin's ranch
621729291_391319587356028928 x	Good idea. Yak needs a jolt, and not the soda. "@EdmontonOilers: Coach Eakins discusses moving Yakupov back to LW with RNH and Eberle"
621729291_391032103015432192 x	@Seahawks @bbrowner27 very unselfishly wanted to give the offence another TD. #stumblerussky
