550452262_396226777489879040 x	#55days
550452262_396667580234346497 x	The new $100 bills are pretty sick http://t.co/4HYmAAbDak
550452262_396636569941315584 x	@philscollector where is he signing?
550452262_396481940200910848 x	25
550452262_396478650528579584 x	Hah what a liar
550452262_396477076980908032 x	Well at least there's the ??? 76'ers
550452262_396473093830754305 x	RT @FlyersNation: Noogie http://t.co/C0LFZ8mCas
550452262_396470179968086016 x	@ShaneVictorino Tell Melissa i said Mahalo ?
550452262_396468002046365696 x	In case anyone missed it, heres the insane Flyers/Capitals brawl between the goalies http://t.co/9xjU2u1Rxt
550452262_396453723389833216 x	The Capitals might have scored 7 but we beat them with 99 penalty minutes #Flyers
550452262_396448094847787008 x	RT @mustang__sAllie: If you can't beat them, beat them! @FlyersNation ??? http://t.co/MHOSnWTyur
550452262_396447958826491904 x	10-9-8-7-6'ers now 2-0 @Sixers
550452262_396446654154698752 x	?@sha__KYRA: Literally insane right now, Goalie Fight! http://t.co/ldPyI493Ct?
550452262_396444988214886401 x	GOALIE FIGHT
550452262_396444774125031424 x	plus the extra point
550452262_396444734442729473 x	Flyers losing by a touchdown
550452262_396437986839363584 x	The Capitals score 6 points faster than the Eagles do
550452262_396430784783196160 x	#Flyers http://t.co/RyeznMBXI1
550452262_396416016882089985 x	@tribb77 what the......
550452262_396415543156428800 x	So bored someone text me #pleeeeease
550452262_396413689513119744 x	Who is the better Flyer playing tonight: Braden, Brayden, or Braydon?
550452262_396413075945193472 x	?@AntiJokeApplee: Me everyday at school http://t.co/dPckp0uD7D?
550452262_396372917040463872 x	?Halloween? @matty_f1sh  @charlidrialo http://t.co/HSY0qpQDAp
550452262_396233254899953665 x	@shannonmcelroyy @carleyrettberg idk!
550452262_396228967117889536 x	Over 70 degrees in November...
550452262_396230541952823296 x	@PaulVinnie10 its going to be
550452262_396230834748801024 x	@PaulVinnie10 did i say it was over 70 degrees now? Nopeee
550452262_396095065460068352 x	@Heaneyswag #wishingnextweekweonlyhavetwodaysofschoolohwaitwedo
550452262_396095748221468672 x	@lauren_donlon @Heaneyswag #weareallwinnersexceptrobertwhoisntawinner
550452262_396095970024632320 x	@lauren_donlon @Heaneyswag i said "who isnt
550452262_396084046566277120 x	Never put sharpie on your face for eyeblack, it's a bad idea
550452262_396090846850080768 x	@shannonmcelroyy well its was a last minute halloween costume and i couldnt find eyeblack
550452262_396094574093164544 x	@shannonmcelroyy its not coming off...
550452262_396094542019321856 x	"Please only take one"
550452262_396090876109533185 x	@carleyrettberg i probably will
550452262_396090215234043904 x	In 3 hours i can finally say that Christmas is next month
550452262_396082792607801344 x	@greatdane25 Thats really good
550452262_396082254952562688 x	@bentz49 or no school would be fine
550452262_396082072789721089 x	RT @bentz49: we should at least have a delayed opening tomorrow
550452262_396016424579506177 x	Toilet paper = mummy costume
550452262_396002102843293696 x	@TysonGillies21 Happy Birthday ?
550452262_395855309744652288 x	?? Happy Halloween ??
550452262_395726847847440384 x	Yeah youre welcome Boston
550452262_395724365998096384 x	The 6'ers beating the Heat is like the Astros beating the Rangers on opening day, it'll be interesting
550452262_395723554681282560 x	Wow of course
550452262_395723497462595584 x	He's gonna homer
550452262_395722828139745280 x	Wow
550452262_395721750144884736 x	That awkward moment when the 76'ers are currently the best Philadelphia sports team
550452262_395721500697051137 x	@bbelt9 What do you like to do on the weekend?
550452262_395718905857314816 x	Victorino my God
550452262_395718543544975360 x	RT @MLBFanCave: Fenway Park is LOUD right now. #WorldSeries
550452262_395717529139937280 x	The number of beards the Red Sox have scare me
550452262_395667175492448256 x	? A season to remember. Well done boys. Thank you Coach Schade. #EBS #Undefeated ?
550452262_395506861413105666 x	RT @jamminlikeben: how many times will vinnie say game day
550452262_395506826399076352 x	@bentz49 yeah he went crazy today. Im sure theres gonna be more to come #gamedayyye
550452262_395505847016517632 x	Last game of the season lets go EBS #keepthestreak ?
550452262_395369658922303488 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a baseball signed by @TimWakefield49. http://t.co/7qYqVZX4fL
550452262_395368121852526592 x	Well Flyers? http://t.co/qWbRFRFQu8?
550452262_395362780095975424 x	RT @john_russell17: Plot twist: the flyers beat the Ducks
550452262_395361976698011648 x	?@DrakeJoshQuotez: http://t.co/7gujmvk0I5?
550452262_395361791481757696 x	@C_Gomez27 ?Congrats on your Gold Glove, you deserve it after all you've done this year?
550452262_395359578088800256 x	Now this is why the Flyers don't deserve nice things
550452262_395359508920549376 x	Really
550452262_395358669254438913 x	RT @AndrewJGillen: Now it's almost 5 years to the minute of the Phillies World Series Championship. So many memories.
550452262_395356330929967104 x	Phonebloks are "supposedly" going to be better than the iPhone
550452262_395353284703444993 x	#GraveStoneMason*
550452262_395346492707577857 x	@matty_f1sh estudiar, estudiar, estudiar
550452262_395347652952752128 x	@matty_f1sh well canis exprimamus
550452262_395349059256713216 x	@matty_f1sh whats that mean?
550452262_395349442683219969 x	@matty_f1sh you make me uncomfortable
550452262_395346729077600256 x	PROTECTED
550452262_395347997187637248 x	@PaulVinnie10 yeah now im waiting for mine!
550452262_395348115701915648 x	@PaulVinnie10 ohh i see how it is
550452262_395343788048396288 x	#StoneMason
550452262_395342955667800064 x	#nationalbestfriendsday http://t.co/dRIXE6rc97
550452262_395341965895954433 x	RT @White_Goodman_: The Bobcats have just been eliminated from the playoffs.
550452262_395341061578838016 x	Lecavalier is saving the Flyers
550452262_395338506077495298 x	@PaulVinnie10 never mind mon
550452262_395338748835418112 x	@PaulVinnie10 thats how Jamaicans talk
