106281591_261107569739853825 x	@I_Grab_Boobs LEAVE ME ALONE
106281591_261108865297432579 x	@I_Grab_Boobs I already blocked you on facebook
106281591_261105699617124352 x	@PaulMickle2 @shaniceeTashay we're being stalked.. #unreal https://t.co/mwUU4mtR
106281591_261104031332708352 x	#SeriousQuestion: Do people who wear glasses keep them on during sex? o.O
106281591_261104621223804929 x	if I text myself will my phone explode?
106281591_260757832574574593 x	why can't I just get my tonsils out?! tonsillitis for the 67819238381347th time!
106281591_260375210493083649 x	boys have better hand writting than me..
106281591_258681987194306560 x	my 7th fight of the year and its only october!
106281591_259495940149354496 x	@I_Grab_Boobs seriously?! who the hell are you?!
106281591_258678111946829824 x	I seriously can't go a single day without getting I a fight with a old hag on the train #loudgirlproblems
106281591_256897867367718913 x	just gonna have myself a breaking amish marathon
106281591_253602520616804352 x	#lt &his bumpersticker says federal bikini inspector. guess I have more to fear from the FBI than I thought
106281591_253347257087320064 x	I watch too many superhero movies. #marvel #batman #spiderman #theavengers #xmen #fantastic4 #thegreenlantern <3
