210237935_388699829385568256 x	I can walk and chew gum at the same time... No more absent minded tweeting
210237935_395943241528270849 x	How the hell can I make my teammates better by practicing?
210237935_395772242153725952 x	How many Red Sox fans have a voicemail from Shane Victorino on their phone?
210237935_395687330289553408 x	RT @FOXSports: With Syracuse set to retire @donovanjmcnabb's jersey, we look back at his forgotten 'Cuse hoops career. http://t.co/Mu1pYvBt?
210237935_395622236792832000 x	How is @DannyBVT gonna go and like a tweet that mentions sambuca? He is mortally afraid of the stuff #notachamp #lightweight
210237935_394992937882644481 x	Bad call and he has been a little inconsistent on that pitch thus far #WorldSeries
210237935_394673218436743168 x	These teams are going to run out of odd ways to end the game #worldseries
210237935_394637810940280834 x	JORDY!!!!
210237935_394625672628695040 x	@bwilson314 I'm sure you are watching baseball but Jordy just caught a td... Its cool though cause I have him in my most important league
210237935_394621151710035968 x	Football or World Series for the first time this is kind of a tough decision... Probably will be running the tv channel weave #torn
210237935_394601230817054720 x	I was totally headed towards over @bwilson314 and then Matt Ryan decided he was the worst qb ever #bummer :(
210237935_394313828647055360 x	Wow
210237935_394298031174352896 x	Mizzou wow
210237935_393828358670540800 x	It will be abundantly clear to the prof that instead of continuing my studying last night I decided instead to watch World Series game 2.
210237935_393828069607497728 x	Utilized the term "five tool player" on my molecular oceanography exam. I'm probably much better suited for scouting baseball
210237935_393717367467163648 x	If diddy wants to own a nfl team he needs to get himself in a room w/ Goodell and be like don't worry If I write rhymes I write checks
210237935_393553418494943234 x	This just seems most appropriate   http://t.co/okl3o3mk2G #nohands
210237935_392824956855521280 x	#BigShot was crazy good...I kind of want to own a hockey team now... In a completely fraud free legitimate way of course
210237935_392063990177603584 x	@NickDellefave I call myself an idiot for drafting him in fantasy football and expecting him to be good
210237935_392019482744336384 x	Charles barkley should stick to his role as basketball analysis
210237935_392014456428826624 x	This my friends is an nfl qb... #eagles #future http://t.co/BwiW8UwKeX
210237935_392013027568267264 x	Eagles need to put in Sir Charles at qb... Foles is sucking
210237935_391992092936790016 x	I hate fantasy football it should be illegal to use black magic voodoo to score points #badluck #myteamsucks
210237935_390207445580386304 x	I figured the record should show that when Ortiz hit the grand slam on Sunday night @DannyBVT was actively wearing a mets hat #trueloyalties
210237935_389731723791319040 x	While transporting #breakingheels set down NJ turnpike w/ @DannyBVT spotted this #haveanA1day #breakingbad http://t.co/WeEXFWKDJw
