578425618_391645174004068352 x	#itbegins #goowls http://t.co/zuzjgYybek
578425618_399569243546869760 x	RT @InsideTheFlyers: My recap of the #Flyers win over Edmonton focusing on Claude Giroux finally scoring his first goal: http://t.co/opgg9y?
578425618_399568421639454720 x	@InsideTheFlyers incredible play....looked like that was a well practiced angle too
578425618_399514317491802112 x	#Flyers tough three games coming up let's see if they can keep up the tempo. Nice to see the "stars" names on the score sheet. #letsgoflyers
578425618_399513572864434176 x	Giroux  looked determined yesterday. And except for 1 lazy back check moment he looked like himself again. Let's see how this plays out.....
578425618_399512843730841601 x	Met our new Usher Tom yesterday a the Flyers game. A very courteous and knowledgable man. We a had. Great pre game conversation. #sec105
578425618_399196905533878272 x	@ Flyers your fans have been loyal since the beginning how about showing them the same respect. #flyers
578425618_399196359875903488 x	I've been a Flyers fan since the first time I watched a game on Prism in the 60s. Bring up the entire Phantoms team and staff. #flyers
578425618_396033922498564097 x	Word is talbot it was traded because he refused to put a bunny suit on and take a selfy.....
578425618_389919533869572096 x	RT @punoman: @nhlflyers what do think of our first red wings game? #putitonfacebook http://t.co/8lpTgR6Ttz
578425618_389918498086191104 x	RT @AnthonySan37: Don't forget to check out the new episode of #FlightPlan now live on http://t.co/lHZNsO40FF - http://t.co/4VEO9Qhaho #Fly?
578425618_389382625917272064 x	@punoman @NHLFlyers @i1ahunt
578425618_389223923226656768 x	Level 2 Detroit !
578425618_347167803243122688 x	sSnapp! Win a VIP Experience at the Flyers Official Draft Party! for Contest http://t.co/9xjafshnKS
578425618_299551403184099331 x	When did life become black or white, left or right, up or down, right or wrong?
578425618_281740501835714560 x	@MikeJerrick I'm confused why didn't Malik Aziz tell the cops he knows where to buy a new gun for a hundred bucks illegally????
578425618_281738185984335872 x	@rheahughes ..Tired of the lockout...trying to get all NHL fans to unlike all NHL associated Facebook. Accounts and unfollow all NHL twitter
578425618_281737273597370369 x	UN following all NHL Associated Twitter accounts league, teams and players
578425618_280710880725966848 x	Shop :: Officer Brad Fox Memorial Website http://t.co/UDY9a91x via @sharethis
578425618_266249754504228864 x	@RGIII from a Redskins fan in Eagles country....Keep up the good work, you guys are going in the right direction.
578425618_260153585638191104 x	created a Fantasy Hockey team http://t.co/l4p0lNXU
578425618_258189870990770177 x	Concealed Carry Giveaway: http://t.co/Hk1DIUYG
578425618_241615142155063296 x	@bryzgoalie30 - http://t.co/D1EToXOB
578425618_237922846268080128 x	@Hartsy19 Glad to have you back!
578425618_236047803145674753 x	@Simmonds17 ...Congrats on the new contract.....happy to have you here
578425618_233713873868451840 x	created a Fantasy Football team http://t.co/72aBTErA
578425618_232450207961448450 x	@OldManinthePark ...EARN currency
578425618_232088690007080960 x	@MReader24 @BManning28 @ home
578425618_231825994565160960 x	USAF MSGT bitching about the number of SOLDIERS getting I'D cards who are not frim his unit.......FUCK YOU YOU LAZY PRIC!
578425618_231824580598181888 x	SRB vs USA....Doc Emmerick "This is like Flyers vs Penguins!"   SHUT THE FUCK UP JACKASS!!!!!?!
578425618_231823894972100608 x	USAF...... Personnel office......like watching PENDOT......... Why they make appointments is beyond me....
578425618_231528372868636673 x	Feddicks!!!!!!! Learn to drive!!!! http://t.co/PjPySwQj
578425618_231490075672854529 x	P.S.S. You want tolerance for your point of view, but no tolerance for the other?????? THIS IS AMERICA WE ARE ENTITLED TO OUR OPINIONS!!!!
578425618_231489673170669568 x	P.S. How does disagreeing with a lifestyle = hate of all those in that life style? Does that mean that People in AA hate me?
578425618_231454566934265856 x	Dear gay fuckers.... eat more whatever floats your boat and get over yourselves! Honestly most people could careless what you do.
578425618_231012406778814464 x	@MikeJerrick My 72 yo morher passed away Tuesday. I found out she had a twtter account....you were the only one she was following :)
578425618_231012938348130304 x	@i1ahunt @MikeJerrick She loved Good day and watched every morning often asking me if I had seen certain stories or some funny incident
578425618_229675494793170946 x	@OldManinthePark.  Thats only accurate if you expect to experience erectial disfunction.....
578425618_229664789645905920 x	And now Docs love interest Pierre Mcquire doibg post matxh interviews.......
578425618_229665330639822848 x	@i1ahunt pierre..." No diiference in physicallity between ice hockey and water polo".,..........DOUSCHE BAG!!!!!!!
578425618_229653248930349056 x	Doc Emmerick sux at calling water polo too......just sayin....
578425618_229613970250682368 x	Askhole: A person who constantly seeks your advice and then does the opposite.
578425618_229370357386203136 x	Brothers...ALWAYS! http://t.co/dnSjKHvL
578425618_229252979751010305 x	I just used Shazam to discover Beers Ago by Toby Keith. http://t.co/exZt4RFq
578425618_229226764809945089 x	@OldManinthePark ...... trim the damn hair in your ears
578425618_229221591500873728 x	@HappiestGrandma ......works both ways grandma ;)
578425618_229207338823856128 x	RT @Adam_Weee: @MikeJerrick this is how I'm getting through the opening ceremonies http://t.co/GlUfFVec
578425618_228973995859525633 x	I just used Shazam to discover Thinking In Ways by The Badlees. http://t.co/Kt3S68Du
578425618_228673490482495488 x	I follow you for your insight and expertise.....not your bashing of America and one point of view politics. Get a grip!
578425618_228568131944194048 x	@OldManinthePark ...A Lot...but I am nearly as old as u......
578425618_228319672557268994 x	http://t.co/eT2fSXgr
578425618_228317060516679680 x	http://t.co/3dYpj1HT
578425618_227950077254197249 x	RT @denisleary: Can we get the NCAA to sanction the Catholic Church?
578425618_227766067550883840 x	I follow you for your insight and expertise.....not your bashing of America and one point of view politics. Get a grip!
578425618_227591681803968512 x	Proposed Bill Could Help the VA Better Understand the Effects of Burn Pits http://t.co/czrUipIJ -- Veterans United (@veteransunited)
578425618_227573215185231872 x	@OldManinthePark oh thank god!
578425618_227573113817292801 x	Traveler's book resteraunt Union Connecticut.......
578425618_219917310272614400 x	@RJ409 @Hartsy19 ...um..no!
578425618_227484965816901633 x	@ctherien6 @DarrenDreger I called it!
578425618_226737109174714368 x	@julie081070......one of my favorite things about being American is anyone can speak their mind no matter how stupid....
578425618_226504308261257218 x	@ctherien6 ..best part about being American is expressing yourself......
578425618_226475558857486336 x	Andy Samberg - I Threw it On The Ground http://t.co/TDxFyT3g
578425618_226442679196721152 x	RT @NHL_problems: For a chance to win EITHER a Joe Sakic jersey or a RNH rookie card (BOTH ITEMS SIGNED) Retweet this tweet! Must be fol ...
578425618_226369864468664321 x	@BradPaisley.....Paul Holmgren has Brad Paisley locked in car trunk. He gets out when Weber delivered to Philly. -- al morganti (@nufced)
578425618_226369099339554816 x	Paul Holmgren has Brad Paisley locked in car trunk. He gets out when Weber delivered to Philly. -- al morganti (@nufced)
578425618_226360603512545280 x	@NHL_problems
578425618_226357849792585729 x	@incarceratedbob.  Why not,Lappy and Lindros too...
578425618_226096918051315712 x	One of my guys.......good job Whip...glad you got my back!!  http://t.co/dF5ktXzg
578425618_225546900064055296 x	Folks.....email,twitter and facebook should NOT be your primary means of communication....especially with family
578425618_225403887778136064 x	@PauleyP http://t.co/La0y4fGb
578425618_225324877115174912 x	@ManayunkMike been over 30 minutes...wheres the big news??????
578425618_225323943551176706 x	Just found out.....Im allergic to bullshit!
578425618_224121561471389697 x	RT @philly_buzz: Convention About Moebis Syndrome Draws Hundreds To Philadelphia: A convention on Moebius Syndrome, a neurological... ht ...
578425618_224106723386982400 x	"@rileecoyote: When you want something you've never had, you have to do something you've never done."
578425618_223884952876494848 x	I just wanna tap out....thats so not like me
578425618_223882204072251394 x	RT @MensHumor: RT if you say ?EA Sports, it?s in the game? along with the guy who says it.
578425618_222839831380758528 x	http://t.co/aCkGzMAE
578425618_222651964314488833 x	@MikeJerrick onion abd sweet relish for me...somtimes spicy mustard.....never ketchup....used to like montgomery lunch in norristown
578425618_222439647656165376 x	RT @veteransunited: http://t.co/62GIZBBO NFL and the Military are partnering up to raise awareness about head injuries. Please Retweet t ...
578425618_222324478640783360 x	@rheahughes How about madden football foosball and table top hockey
578425618_222128585681543168 x	@HappiestGrandma ......my wife
