397241869_198887068334702593 x	Facebook blows. Tired of nothing but pictures of dogs and people bitching.
397241869_390527849838706688 x	@Fanooch good thing you had Jimmy Graham in there last week
397241869_386914216080584704 x	RT @Jeff_McLane: #Eagles should give LeSean McCoy the ball every play.
397241869_386263244836708352 x	RT @ManlyAsshole: I like girls for their hearts. Their big, bouncy, jiggly hearts.
397241869_128561723169968128 x	@Fanooch I don't understand a single bit of this
397241869_383252398120390656 x	@Fanooch don't turn into one of those people
397241869_383255138464698368 x	@Fanooch it seems to be a monthly occurrence at Dodgers game. Anyway it makes us seen worse that we complain about it
397241869_380830594844086272 x	RT @FakeWIPCaller: What color does he vomit? RT: @MarcFarzetta: Apparently Donovan McNabb pees green....Yes, he just said that on @SportsRa?
397241869_380387184169459712 x	RT @HuffingtonPost: Remembering Jimi Hendrix, who died on this day in 1970 http://t.co/UmcrhpY17Q
397241869_380011417346531328 x	@Fanooch I plan on being there again this year, but this time taking the crown
397241869_379115414300925953 x	@BigAlBones50 now we know which judge was paid off
397241869_375453655602069504 x	RT @HuffingtonPost: Legal weed could be on sale in Washington by early 2014 http://t.co/fgaDqvhtH3
397241869_374009128521576448 x	RT @Ken_Rosenthal: BREAKING: #Dodgers get Michael Young from #Phillies
397241869_373905405359161345 x	RT @Fanooch: #NFL #CutDay should be re-named 'Guys Andy Reid Drafted in the First 3 Rounds Day'. Talk about wasted picks. Sheesh... #ReidEra
397241869_371820356325363712 x	RT @jasonmyrt: By the tweets I am seeing. @jtimberlake tore it up at the VMAs. But I don't give a rats ass.
397241869_369542879833636864 x	@Fanooch let's hope it's more efficient than your madden game
397241869_369466136863440896 x	RT @History_Pics: Carl Akeley posing with the leopard he killed with his bare hands, after it attacked him. 1896 http://t.co/4KVjUC2tzT
397241869_363097318188662784 x	RT @HuffingtonPost: Another round of "Jackass" http://t.co/tQv2k6fdc5
397241869_363009615547871232 x	RT @TheOnion: This utter sack of shit is celebrated by dozens of other conniving fucks: http://t.co/pubmaW2HAb
397241869_361217826943541249 x	@mdotkobe besides my McCoy keeper
397241869_361219731912531969 x	@Fanooch @mdotkobe McCoy = my 3rd round pick
397241869_361221562520715264 x	@mdotkobe @Fanooch I'm due, too many 2nd and 3rd place finishes.
397241869_360084928433631234 x	RT @OnionSports: Doctors Clear RGIII?s Knee For Light Tearing http://t.co/GnZj1qrTJe
397241869_358640324274827264 x	RT @tpanotchCSN: Flyers give Couturier 2-yr contract extension
397241869_357123754687598592 x	RT @murraymatt: Law school admissions are plummeting.  So now are faculty jobs: http://t.co/FGsum5X8gb
397241869_354967944897372161 x	RT @Fanooch: Anytime I see a tweet that starts with "McNabb says...", I instantly avert my eyes. His opinions are like a fat woman in a bik?
397241869_347008326065860608 x	RT @HuffingtonPost: "What a f*cking great band we were" -Paul McCartney on The Beatles
397241869_344592161372794880 x	@Fanooch yes, but he still refuses to play Philly for some reason
397241869_341018128433692674 x	RT @NK975: Nobody likes talking to Craig Sager
397241869_335173405412311040 x	RT @6abc: Sheriff: Ex-NASCAR driver Dick Trickle dead at 71 http://t.co/nVQC7dWfXg
397241869_332962148454113280 x	RT @TheOnion: Man Does Good Job Getting Drunk http://t.co/5khfwPDM10
397241869_316716763867922432 x	RT @TheOnion: ?It?s the opinion of this court that we don?t give two shits what you do.? http://t.co/uwMWkswCtb
397241869_314423966196436992 x	RT @6abc: VIDEO: Live deer pops out of trunk during police traffic stop http://t.co/4TKNud4DCH
397241869_313008238511661056 x	@Fanooch @WSJ Less enrollment better. The market isn't flooded with new graduates. Will turn to a good investment again.
397241869_313007664785395712 x	@Fanooch @WSJ Job market historically always been good, so even with high cost of tuition, it was seen as a good investment
397241869_312996375157698560 x	RT @OnionSports: CC Sabathia Finds Hot Dog From Last Season In Glove | More Baseball News: http://t.co/DjXTcbtVV5
397241869_311565728367136770 x	RT @AdamSchefter: Philadelphia Eagles will release former Pro Bowl CB Nnamdi Asomugha today.
