44154973_387049052644597760 x	@WWECreative_ish agreed I want a refund
44154973_398283617669242880 x	RT @FoxNews: Almost 250,000 Colorado residents lose health plans under #ObamaCare http://t.co/6p3ZWZfH4M
44154973_398283486823739392 x	RT @itsMichaelJ: Work hard in silence, let your success be your noise.
44154973_398282976045568000 x	RT @SenRandPaul: Prediction: likely everyone with an individual policy will eventually lose it under Obamacare
44154973_398282630548185089 x	RT @TMZ: Earlier: ?Million Dollar Listing? Star Josh Altman Crashes Range Rover into House of Blues http://t.co/bzljg0yeAU
44154973_398082132117295105 x	RT @JumpVote: Proud of @KenCuccinelli Ran hard without the backing of his own party, outspent 5 to 1, fought off a fraud 3rd party guy & on?
44154973_398081634953879552 x	RT @LarrySabato: We need a fair, nonpartisan examination of VA GOV '13 polling. It was off--in some cases (WaPo), WAY off.
44154973_398081440011018240 x	RT @AlexPappas: Cuccinelli advisor blames Bobby Jindal, RGA for defeat: ?They just blew it? http://t.co/VQPDltwKOm via @dailycaller
44154973_397388099124473856 x	I'm at Dr. Ryan (Newtown Square, PA) http://t.co/oJLhFWFi5W
44154973_397067890022957056 x	Getting a quick cut.... (at @GreatClips) http://t.co/SZgaUkQA4w
44154973_396353222073659392 x	RT @mikememoli: RT @LATimescitybeat BREAKING: Sources tell @latimes that the alleged gunman was a TSA employee at LAX.
44154973_395739391525920768 x	RT @jjauthor: Who pays for all this ?free? "subsidized" #Ocare? Answer:Taxpayers, seniors on Medicare & young healthy Americans! #HannityLi?
44154973_395204153628438528 x	Paul Ryan go get them !!
44154973_392315132770271232 x	Can't run a website right but is potus wow so sad that we are waisting 8years with this lack of leadership... Hits on website mean NOTHING!
44154973_392314786253639680 x	RT @KatiePavlich: Clearly @BarackObama never learned in econ 101 that there is no such thing as free birth control
44154973_392314574416146432 x	This seems more like a campaign rally... The campaign is over Mr president time to start leading and quit campaigning!!
44154973_392313795697459200 x	This aca is a joke!  You can't even get a website up and running your going to make us pay more and you call this good ..... Smh
44154973_389032544945307648 x	Work then out with Ashley tonight ...... (@ Willow Grove Park Mall) http://t.co/uvtiGXZllR
44154973_387699373012185088 x	Work until close ..... (@ Willow Grove Park Mall) http://t.co/haeeFH5V2X
44154973_387192763332431872 x	RT @ReElectStockman: Obama has ordered http://t.co/VxPRdo1ibM #shutdown, but ordered the website that posts new photos of him daily to stay?
44154973_387192498114011136 x	RT @larryelder: "What's the strategy, the end game"? That SOME dems will see evidence of harm-- and change their mind on Obamacare. http://?
44154973_387192259214839808 x	RT @Flossycarter: Customize your message http://t.co/G1nAgXE9FJ
44154973_387039639015804928 x	@WWECreative_ish this is unreal!!!! Smh
44154973_387039400108261376 x	RT @WWECreative_ish: And we found a way to botch the feed worldwide. WWE Battleground: Beware of Dog. #WWEBattleground
44154973_387039180242812928 x	@WWE fix the feed ASAP!!!! Come on
44154973_385740640812027904 x	RT @TheRickWilson: 20 years since the Battle of Mogadishu. A terribly consequential inflection point in US military history.
44154973_385487483737501696 x	RT @GOPLeader: This afternoon, President Obama threatened to veto the House's bill to restore NIH funding and help kids with cancer. http:/?
44154973_385487445686771712 x	RT @Talkmaster: If 0bama was raised to despise America, why is it hard to understand that he could also despise those who fought for Americ?
44154973_385487398660222977 x	RT @Talkmaster: It takes 90-year-old WWII vets to stand up to our Dear Ruler.  The rest of us should be embarrassed and ashamed.
44154973_384851281510424576 x	RT @SenTedCruz: Senate Ds refuse to compromise, refuse to negotiate & insist on path that leads inevitably to #HarryReidsShutdown http://t.?
44154973_384646467686002689 x	RT @Socialismkills: 1,208 Days Until Obama is Out of Office
44154973_384646399595671552 x	RT @VickiMcKenna: CBS anchor falsely claims "polls favor #obamacare" http://t.co/4OXq323uBp http://t.co/ilSpxI1iJB
44154973_384470600737366016 x	RT @SenTedCruz: The American people don't want Obamacare or a govt shut down. The House listened. Will the Senate? #MakeDCListen http://t.c?
44154973_379572229417500672 x	RT @foxnewsvideo: Elisabeth Hasselbeck joins 'Fox & Friends' http://t.co/H0eWPgZ3Dk #ElisabethHasselbeck
44154973_379565372946788352 x	RT @kilmeade: The donald in person all for @ehasselbeck steve and i thrilled hope u are too @foxandfriends http://t.co/F1QF80rhQS
44154973_379562741260099584 x	RT @CNET: Samsung's Galaxy Note 3 benchmarks leak ahead of its release next week http://t.co/RWiDBYuSTd
44154973_379560875298131968 x	RT @foxandfriends: Don't miss a moment of @ehasselbeck's debut on @foxandfriends http://t.co/hRGRRXUGbh
44154973_379438611902779392 x	@JustinRoberts agreed ! Count was kinda fast though ?..??
44154973_379438371057459200 x	RT @JRsBBQ: Congrats to @WWEDanielBryan on winning coveted @WWE Title at #WWENOC. A legit wrestler's wrestler. #DuesPaid
44154973_379438152542605312 x	@MickieManiac it was SUPER FAST but?.. Who cares YES YES!
44154973_379042928611819520 x	RT @LBTmusic: Camden, NJ showed up tonight! What a crowd! RETWEET your seat if you want tonight's #lbtsetlist #LightTheFuseTour http://t.co?
44154973_379015049219944448 x	Date night with the Mrs (@ Susquehanna Bank Center for Keith Urban - Light The Fuse Tour 2013 w/ @j_effing_b) http://t.co/7fEiGIMW5H
44154973_378863974965858304 x	Quick day shift then Keith Urban concert with Ashley ! Is it 4 yet ?? :) (at @Sprint) http://t.co/je6RZp5uNJ
44154973_378705468233113600 x	RT @PatDollard: Emails Suggest Lois Lerner Was Afraid Of Getting Caught For 'Very Dangerous' Targeting Of Tea Party http://t.co/0wKUlUht2b
44154973_378122703179628544 x	RT @CBSNews: Prince William leaving British military http://t.co/73pF2WXtLb
44154973_378122405321138176 x	RT @nypmetro: Breathtaking photos from last night's #TributeinLights http://t.co/WEr9FfClxu #WTC #FreedomTower http://t.co/Xk1D3LRhEs
44154973_377794679619981312 x	RT @LauraPetrecca: The building that had risen up from the #911 ruins. http://t.co/hl4X6PcFzb
44154973_377794519288541184 x	Lets roll?.rip flight 93
44154973_377755674044010496 x	RT @Debavellan: @BretBaier Please Cover This! MT @PJStrikeForce #2MBikers Washington D.C.Keep Praying 4These Great American's! http://t.co/?
44154973_377754304238878720 x	RT @camsavage: RT @mattklewis: Pence and The Revolution: Five reasons he might be the 2016 dark horse to watch http://t.co/OcZfdew43v
44154973_377600382224306176 x	?@WestWingReport: President does not appear to be looking directly into camera tonight? he?s so weak
44154973_377599135035445248 x	@KatiePavlich he?s not presidential at all that?s why !
44154973_377557705084661760 x	Doing some audit work (@ Willow Grove Park Mall w/ 2 others) http://t.co/lM7icoanwN
44154973_377406431047479296 x	RT @PatDollard: Victim Of ?I Hate White People? Rampage Dies http://t.co/c8Bn4y7XOV #teaparty #lnyhbt #tgdn #tcot
44154973_377264486585208832 x	RT @AriFleischer: I supported O on his red line and threat 2use force. But it's hard now to follow someone who doesn't know where he's goin?
44154973_377029944230281217 x	?@ZekeJMiller: Assad brought up the 9/11 attacks twice in his interview with @charlierose: "nobody expected the 11th of September he iscrazy
44154973_376725957325099008 x	Breakfast with the family (@ Gateway Diner) http://t.co/zXn4BXuZKF
44154973_376689590910087168 x	RT @kornwill: BlackBerry exec confirms BBM for iPhone 'submitted for review two weeks ago'  http://t.co/IH7Dkvux5I
44154973_376352046964035584 x	RT @jjauthor: ?As it turned out, neither @HillaryClinton nor @BarackObama did anything to save those lost in #Benghazi!?  #JusticeForBengha?
44154973_376350634372763648 x	RT @Judgenap: Citizen to John McCain: "Your actions against this country are treasonous!" http://t.co/BEekJmehXs
44154973_376154621892640768 x	@seanhannity I?m sad to think this is the future of our country ? no wonder they voted for Obama !!
44154973_376153831299903489 x	@seanhannity wow Harvard really??? You have to be kidding me !! #clueless
44154973_376153191421079553 x	@seanhannity some of these kids have defiantly been exposed to the liberal schools and college system . Lets see how they feel in 10 years..
44154973_375993559536914433 x	Meeting and here for a shift ! $$$ come on iPhone 5s and note 3 :) (at @Sprint Store (Cedarbrook)) http://t.co/vNC90bqOXM
44154973_376087508767223808 x	@sprintcare yes looks like a really awesome phone any launch date yet?
44154973_375992892613230593 x	RT @loudobbsnews: Good Lord, Mr. President...the best thing you can do right now, is take a deep breath, smile big, get off that stage and ?
44154973_375405388742811648 x	RT @KRMullins1964: It seems that some of our Representatives in Congress no longer Represent Us. #tcot
