419232308_348266566850318336 x	https://t.co/9ghUABPGNN
419232308_395235790898212864 x	RT @PrestonSteve933: Baby Andy Reid! #ICYMI - http://t.co/XrYivHjHUP
419232308_394596352552083456 x	@YEMblog where is that picture taken?
419232308_369990156318556160 x	Truth waits for eyes unclouded by longing.
419232308_393146653114654720 x	RT @PhantomsHockey: Hey look everyone. It's Trey Anastasio of Phish rocking a Phantoms jersey alongside Phantoms Exec V.P. Chris Porreca. h?
419232308_392689851080134656 x	RT @KimDotcom: Focus on what matters most! > http://t.co/7utwRmvvRE
419232308_392126717256814592 x	RT @Phish_FTR: 2001 http://t.co/gmdwRFMThW
419232308_392114731903119360 x	RT @CoventryMusic: Tweezer #phish https://t.co/SBnoHEdKX7
419232308_390090859544604673 x	RT @MikeVick: Rise~N~ Grind people.
419232308_388805240587177984 x	Dogfish Head releasing Grateful Dead beer?  I like! http://t.co/jlsolxKDra
419232308_388635342171283456 x	RT @BabaRamDass: Cultivating The Witness - http://t.co/jWjrhjUkk0 #witness #heart #love #compassion #consciousness #ramdass #wisdom
419232308_386917788327358464 x	My new sounds: Gr8ful Dead - Dancing In The Streets (5/8/77) http://t.co/63VjuiK1DW on #SoundCloud
419232308_385593810149199872 x	?@EB_Jaybird: Well Philly sports fans, we can always count on the @disco_biscuits to deliver championship material? ckckck
419232308_385441537876045824 x	RT @decktonic: if the U.S. government ran on windows it would still be trying to shut down
419232308_385381990767542272 x	One man gathers what another man spills.
419232308_385081151502942208 x	RT @nufced: NHL opens tonight. What a difference a year makes. Last yer the NHL closed for business. This year, it's the US government.
419232308_384462166298218496 x	RT @iamKrayzieBone: Looks like the Eagles are having their feathers plucked! Lol...
419232308_384303358347313152 x	My new sounds: Garcia & Saunders - Ain't No Mountain High Enough http://t.co/DOdZngHauz on #SoundCloud
419232308_384289313414213632 x	My new sounds: Boogie On Reggae Woman (14:27) (Legion of Mary, The Bottom Line, New York, Early Show, 4/8/1975) http://t.co/R1Vo3h4SEp
419232308_384278163804925952 x	My new sounds: Garcia & Saunders Second That Emotion http://t.co/erPygfeDmM on #SoundCloud
419232308_383204114668474369 x	RT @PrestonSteve933: #BizarreFile Photo of the day: "Doctors grow nose on forehead: http://t.co/gQUTfJqFJj" ...If this guy goes outside in ?
419232308_381221741684473856 x	I salute you @ArianFoster  I could not agree more with the travesty that is the NCAA http://t.co/58yQRpiMex
419232308_380474622514180096 x	RT @RoobCSN: Here are consecutive quotes from Donovan McNabb tonight when asked tonight about Chip Kelly's offense: 1) "I (cont) http://t.c?
419232308_380474209861791744 x	RT @RoobCSN: Donovan: "I think Brent Celek learned from a guy like Chad Lewis." Chad's last year with Eagles: 2005. Celek's rookie year: 20?
419232308_380471111219425280 x	Has there ever been a more divisive athlete in philly than donovan mcnabb? @The700Level
419232308_378245826965147648 x	@THEREALEDP445 yo edp what are your thoughts on mcnabb vs. bernard hopkins and whose side you on?
419232308_377633833325457408 x	@LazyLightning55 bad trolling on your part
419232308_377632857726136320 x	@LazyLightning55 soccer is like phish. the crowd energy can very much dictate outcomes. check out a game. #phishlikeatmosphere
419232308_377631358115676160 x	@LazyLightning55 you just said soccer is usa's 12th sport. didn't know twitter was your personal phantasy tour
419232308_377630525827325952 x	@LazyLightning55 mls just passed nba in attendance noobert
419232308_377629809897390080 x	@LazyLightning55 stick to phish brah
419232308_375061477432254464 x	"A journey of a thousand miles begins with a single step." - Tao Te Ching
419232308_374362129198886912 x	RT @okdeadhead: Love this> #PhishDicks https://t.co/cPrlsxVpf0
419232308_373111027300564992 x	@howardeskin what's the problem with ncaa kids making a little money howard? the ncaa makes billions off of these kids!!
419232308_372449986614939648 x	RT @EckhartTolle: #EckhartTolle:The Beginning of Freedom. Read an excerpt from #ThePowerOfNow that reflects on this month's teachings. http?
419232308_372148621355266048 x	Leaked Memo on WTO End Game http://t.co/oZIkioucmg
419232308_371827052019597312 x	RT @SonsofBen: Sing it with us @PhilaUnion family http://t.co/tmdffAoldX
419232308_370557153360478208 x	RT @GdoubleJohn: Allen Iverson is officially retiring. In honor of his noted career I'm not going to practice this week.  (We talkin' bout ?
419232308_370196615468171264 x	@thedentith @stephenasparks Did somebody say free tickets? ?
419232308_370180204620443648 x	Forgetting is great because it's such fun to remember.
419232308_369979141955002368 x	Coconut water, where have you been my whole life?!
419232308_369972065433948160 x	@billmaher Sounds like your panel.
419232308_369287915417108480 x	RT @gracepotter: Wow. DJ at Fenway just played Tweezer - right after Talking Heads....not to mention live organ version of Get Lucky:) I'm ?
419232308_368610361059979264 x	https://t.co/wS0EJdtWrQ
419232308_368467670829891584 x	RT @AUgetoffmygold: Excited to hear rationale of why it was absolutely necessary to be rid of most successful manager in Phils history for ?
419232308_368094773300953088 x	#revel !!! https://t.co/aJu7g2P8Mq
419232308_367814978306576384 x	"The mind is a wonderful servant, but a terrible master." @BabaRamDass
419232308_367727776649838593 x	Donovan Mcnabb, you sir are a bozo http://t.co/wuV0TqekkG
419232308_367722777496649728 x	RT @JamBase: Welcome to Twitter, Prince @3rdEyeGirl
419232308_367642316347293696 x	You are not your mind.
419232308_367107753551994880 x	MIND=BLOWN http://t.co/DgfZ47yGqv
419232308_366326125363871745 x	Feats Don't Fail Me Now, cigars, microbrew, and union game in the sun. #spanishmoon #doop #growler @B_R_Watkins http://t.co/Yk0e7MbKFO
419232308_366301527901618176 x	RT @Dannycruz5: Game tonight on @NBCSN at 8 check it out! #DOOP
419232308_365681425262968833 x	aznpics's photo http://t.co/dB30dDZvnS
419232308_365679161928466435 x	RT @AmberLyon: Shrooms repair brain damage, decriminalization could help millions  http://t.co/oKwCxrwxNU via @PNauticExpress
419232308_365640363802771457 x	on a brighter note just caught a contact high from the drive thru car in front of me
419232308_365634553311805440 x	About to go grub hard on some McDonalds. Been one of those days.
419232308_365513367684780032 x	Can't wait for Reading>AC #WOO
419232308_365294231146868736 x	RT @gr8fulgolfer: if you haven't seen this #phish @ the hollywood bowl gif gallery you are missing out https://t.co/MdgmS3q1GP
419232308_364960435100856321 x	Life's great illusions http://t.co/JDsfTXgAMV
419232308_363007402443943936 x	RT @BabaRamDass: RT for a chance to win a copy of Ram Dass' new book "Polishing The Mirror" out today. You can also order now - http://t.co?
419232308_362917232076390400 x	RT @Duanebase: this tweezer is absolutely amazing
419232308_362792994027483137 x	THANK YOU PHISH! #TAHOETWEEZER
419232308_362795275959545856 x	@jerrymac24 #couchtour if I was there would be raging my face off and my phone would be broken by now
419232308_362794537573302272 x	RT @bizarchive: Based on @Phish_FTR tweets, that Tweezer was around 36 minutes. Wow
419232308_362794408900435968 x	RT @TomMarshall111: #tela Yay!!! http://t.co/RTbMMdHR25
