566258662_379422886530142209 x	@MikeAndMike Chip, we need some DEFENSE!
566258662_219863219513200641 x	@andersoncooper Thank you for your bravery, candor and eloquence.
566258662_395142672304074752 x	RT @PhilHeron: Heron's Nest: 5 years ago tonight: Remember? Phillies fans? http://t.co/7JvrDOQZiY
566258662_381939297257287681 x	RT @zeldamacgregor: ?@parksandrecnbc: YES!! #AmyandTinaForever? And ever!!! #Emmys
566258662_380769769529417728 x	RT @chrislhayes: Seriously, Pope Francis' riff on how God sees gay people gave me goosebumps http://t.co/xydLW1fvpw
566258662_380766006538280961 x	RT @Eagles: We're airing it LIVE on http://t.co/DRXsYTxs2J RT @aaroncolyer: where can I watch the @donovanjmcnabb halftime induction? #Eagl?
566258662_376878162099310592 x	RT @davidplouffe: Confidence rising in Philly and DC as The  Turnover Bowl unfolds in Dallas. #nfceast
566258662_369858120010723329 x	RT @MetroPhilly: OMG! NSYNC is apparently reuniting at the VMAs: http://t.co/0tzjdr42n2
566258662_360400878571753472 x	RT @greenfield64: New Weiner strategy: hold evening press conferences to announce that whatever he did earlier in the day is now in the pas?
566258662_356261793460531201 x	@piersmorgan stop giving this horrible man any more air time
566258662_356243510896238593 x	RT @joanwalsh: I couldn't loathe Don West more right now.
566258662_356240283056349184 x	?@MatthewKeysLive: Prosecutor Angela Corey has not spoken to Martin's family, straight to media after Zimmerman verdict. Why is she smiling?
566258662_356239726304428035 x	RT @ktumulty: Angela Corey. #Fail #ZimmermanTrial
566258662_351858348548833280 x	RT @Dmoceanu: TUNE IN & SET YOUR DVR! My sisters and I sit down w/ @KatieCouric on @KatieShow to talk #FamilySecrets.Tues, July 2nd 3 p.m. ?
566258662_340154100744335360 x	RT @deemyers: Daily inspiration: Photographer mom celebrates daughter's 5th bday by photographing daughter as 5 inspirational women http://?
566258662_335226684049596416 x	RT @JamesMartinSJ: Last lines of #TheOffice: "There's a lot of beauty in ordinary things. Isn't that the point?" Yes. And yes!
566258662_332104438405799936 x	@KYWNewsradio westbound pa tpke jammed at mid county
566258662_325373260021780480 x	@NateBell4AR Reprehensible and shameful. Your apology is painfully, transparently self-serving.
566258662_325227706289623040 x	@DylanByers @JeffersonObama chilling picture, heartbreaking
566258662_319217814793773057 x	RT @alfranken: Today is #WorldAutismAwarenessDay. Fact: 1 in 88 children is diagnosed w #autism by age 8. RT to help #lightitupblue
566258662_310125477257940992 x	@jamescuddy Found PiusOP when trolling for Pope news; just saw his challenge;will pass on to Julia
566258662_310124920849985537 x	RT @PiusOP: Come on, only two more followers and I have more than @jamescuddy. But it's not a competition.  Unless I win.
566258662_309818728521019392 x	RT @PiusOP: Great reporting! ?@edwardpentin: A short sketch of yesterday's Holy Hour with cardinals in St. Peter's. http://t.co/o70YsIFjVn?
566258662_307213155052961792 x	RT @SimonMaloy: "Hi, I'm Joseph Ratzinger, and I'd like to tell you about the benefits of a reverse mortgage."
566258662_307212377449975808 x	RT @DanRatherReport: From Dan: Find myself thinking much about my recent interview with Dr. Shirley (cont) http://t.co/lTBQ9I0PW6
566258662_303351728315695104 x	@masterpieces powerful ending RUINED by Patrick stoner begging over credits on whyy
566258662_303350877140439040 x	Even tho knew it was coming SO sad #downtonabbey
566258662_299275792700018688 x	RT @jimmyfallon: Here's part one of our new episode of Downton Sixbey. Part two airs tonight! http://t.co/uDOSA0Qj
566258662_298815574732075009 x	RT @KYWNewsradio: #PhiladelphiaGamechangers: Ready Willing & Able http://t.co/bN6YWbxM  @cherrigregg #BlackHistoryMonth
566258662_298248696414478336 x	RT @ttagaris: RT @nealpollack: This time, it's the rich people trapped in the Superdome.
566258662_293812402464636929 x	@tweetsoftully second gunman possibly still at large. Get home in daylight and let us know when you're home.
566258662_291626099182555137 x	RT @markos: Conservative logic: abortion kills unborn, which is bad, but guns kill born, which is freedom.
566258662_291607967193763841 x	RT @EJDionne: Obama: opponents of sane gun laws will warn against a "tyrannical assault on liberty." It's time to say "enough" to this n ...
566258662_291298941985759232 x	@bobkellytraffic @CBSPhilly Thanks for warning. I commute over 100 mi. a day and rely on you. Best traffic reporter.
566258662_288768363193307136 x	What a loss! What It Takes - best book about American politics ever written. Richard Ben Cramer Dies at 62; http://t.co/I6JzjvbX
566258662_288351365128925184 x	RT @BravoAndy: At what point does the iPhone ever become a functional piece of equipment on which to type? #Never
