31448404_396018905753591808 x	#HappyHalloween to you and yours! http://t.co/ObdeyM6X9Z
31448404_395981015824760832 x	Chinchillas: SERIOUSLY too cute to spook. #HappyHalloween http://t.co/D1SikYzMow
31448404_395962145382600704 x	Let's talk about what's really scary. The plight of endangered Penguins, told by optical illusion posters:http://t.co/Si786zAmIz
31448404_395945115631374336 x	Excited about today?s announcement that we?ll be building an observation tower/ride on the #CamdenWaterfront in ?15 http://t.co/QMpUHcMf6Y
31448404_395943313859424256 x	Hope your day is as mysterious and spooky as a Giant Pacific Octopus! #Halloween http://t.co/h4kx6mifU6
31448404_395913257493749760 x	What do you expect? Hippos love treats! #HappyHalloween http://t.co/tm40RgPXZN
31448404_395876579987173376 x	Boo to you, from our crew! Be on the lookout for special #Halloween ecards all day long! http://t.co/oC74xmY1qS
31448404_395668548250378240 x	So adorable! RT @SANCCOB Now that's a happy little fella #penguin #conservation #sanccob http://t.co/woaHTaEqEH
31448404_395657654116159488 x	Happy #Halloween Eve! We're excited to welcome kiddos for tonight's Camden City's Safe Trick or Treat event! http://t.co/xXad8RTtFA
31448404_395613131877007360 x	Still hunting for the perfect #halloween costume?! Check out these DIY suggestions using recyclables http://t.co/eyNZCEdg8o
31448404_395573118770495489 x	#Halloween was MADE for axolotls. http://t.co/xhup9C6GvD
31448404_395554769361588224 x	Enrich your trip! Swing by our @NOAAOceanToday Kiosk to learn about conservation efforts and what you can do to help save our oceans.
31448404_395283789703692288 x	Surprise delivery over the weekend: Jack & Diane's 2nd penguin chick hatched Sunday - a healthy 2.29 oz! http://t.co/nM6Y2qVoEH
31448404_395197552028442624 x	Save on a visit through this weekend! Buy online w/promo code TICKET15 to purchase $15 tickets http://t.co/u0kzeLwmVO  #deals
31448404_394946259150069760 x	Today's #fishoftheweek is the sp-sp-spooky Redtooth Triggerfish. https://t.co/ikwy3eViU3 http://t.co/KFzDv9KUOE
31448404_394930459140173824 x	Underwater ballet! #aquarium #fishdance https://t.co/9inaA7gU6C
31448404_394914689764700160 x	This is great! You gotta love nature. Watch a sneaky Sea Lion snatch a monster fish from a fisherman?s hands http://t.co/ciz60wyHg4
31448404_394894378629468160 x	African Penguin Awareness festival this weekend - Nov 2&3. Join us for lots of feathered fun <(") http://t.co/FNRp0c0dga
31448404_394881309027221504 x	Last week of savings! Take 20% off an Annual Pass with promo code: FUN2013. Details--> http://t.co/popHE4nwoi
31448404_394836813547700224 x	Even a Spiny Lobster can appreciate a carved pumpkin! Happy #HalloweenWeek2013 http://t.co/gpn0WFnSfH
31448404_393845245734973440 x	At 4 days old, our #penguin chick is perfect! Healthy and eating well thanks to mom & dad: http://t.co/h01Np3rLtH http://t.co/dxMqen1pIz
31448404_393810558912196608 x	@MaritimeAqua Thanks for the #twitterlove!
31448404_393810403878117376 x	In case you were wondering, this is what happens when an Elephant seal rolls around in penguin feathers: http://t.co/S4ldVDaKEY #adorable
31448404_393786740546502656 x	Mango the Macaw does awesome tricks! #natureisamazing #vineamals https://t.co/tvcPawJ3oL
31448404_393779258755006464 x	College students can save 1/2 off admission this weekend during our #CollegeDiscountDays: http://t.co/UIPkizFw8x
31448404_393768382081671168 x	@ka_kuehn Hope you're having a fintastic time!
31448404_393753666466766848 x	WOOT - It's #FoodTruckFriday! 11-2pm in the Aquarium parking lot. Join us for yummy food & sunshine.
31448404_393742890813235200 x	#TGIF #HappyFriday and all that good stuff! http://t.co/Vx98PpLbnW
31448404_393531066251620352 x	Exciting news! Tonight we welcomed a pair of critically endangered Orinoco Crocodiles: http://t.co/6XxTJ805lw http://t.co/B1ndmTNPfC
31448404_393499923494076416 x	What's in the box?! Our special (animal) delivery has arrived... http://t.co/uMuSDSdpwh
31448404_393469837865156608 x	Cool #touchanimal of the week: Featherduster Tubeworms! #natureisamazing https://t.co/VP9AOFRs8A
31448404_393443704473518080 x	Green is the new orange! Tips for an eco-friendly #Halloween http://t.co/TpoEheO3XA
31448404_393414564001222656 x	mmm...lunch. Don't forget, it's #FoodTruckFriday tomorrow on the Camden Waterfront! http://t.co/FAZm0kMqPO http://t.co/9NJn4mXRwZ
31448404_393401820548067329 x	Save on a visit this weekend with our $15 ticket offer! Buy online w/promo code TICKET15. Details: http://t.co/u0kzeLwmVO #DEALS
31448404_393372890533339137 x	#throwbackthursday Our Giant Pacific Octopus celebrating #Halloween a few yrs ago. Pumpkin exploration! http://t.co/Dm2osVKr1z
