1955300972_396396878210027520 x	Steve Downie will join the top line with Giroux and Lecavalier. #Flyers
1955300972_396383377655603200 x	RT @jachobe: Just got a pic with a best player in baseball!!unreal!! http://t.co/PsjPj0QfTt
1955300972_396381268021354496 x	76ers in Washington to face the Wizards,  Flyers host Capitals at the WFC; Mason between the pipes.
1955300972_395884830686449664 x	RT @LarryBrownSMU: It was a privilege and honor to coach him. Love you Allen
1955300972_395884769592217600 x	RT @LarryBrownSMU: Allen is the best small guard and best competitor to ever play the game. Set a standard that few will reach but many wil?
1955300972_395726671036547073 x	RT @MagicJohnson: I just got done watching the guy I think will be the Rookie of The Year, Michael Carter-Williams of the 76ers.
1955300972_395726125366018048 x	Sixers knockoff Heat 114-110. Carter-Williams 22pts 12ast 9stl 7reb 1to, Turner 26pts, Hawes 24pts. Coach Brett Brown first career win.
1955300972_395564232194129921 x	Nick Foles has been named the starting quarterback for Sunday's game.
1955300972_395523979060211712 x	DT Bennie Logan is now officially listed as an Eagles starter.
1955300972_395513056853524480 x	The Sixers will open their season tonight at home against the defending champion Miami Heat. Allen Iverson is set to officially retire.
1955300972_395384559854182400 x	RT @mstairs12: 5 years ago today World Series Champs, feels  like yesterday. Moment I will never forget. Thanks Philly.
1955300972_395375337485639680 x	Flyers lose to Ducks 3-2 after leading 2-0.
1955300972_395275825387687938 x	Eagles trade NT Isaac Sopoaga and 6th rounder to New England for a 5th round pick.
1955300972_395274463383932928 x	Former Eagle Freddie Mitchell sentenced to 37 months in prison for tax fraud.  "Only in America can you get punished for being scammed." -FM
1955300972_395211158099357696 x	Nick Foles had been medically cleared and will likely start vs. Oakland Sunday
1955300972_395210828817125376 x	@TonyBrunoShow @HARRYMAYES975 @JoeYounes975  http://t.co/Gi5raNZRtI
1955300972_395208577369272320 x	Steve Mason gets the start tonight for the Flyers.
1955300972_395189572289581057 x	The 2008 World Series Champs Are No More http://t.co/HWacDLjlGF
1955300972_395048673312514048 x	http://t.co/pXdXvILJ3E  Like us on Facebook!
1955300972_395001196705878016 x	Has Michael Vick played his last game as an Eagle? http://t.co/iietp4jKvM
1955300972_394554538838851584 x	The Eagles have lost 10 straight home games. Offense was atrocious.
1955300972_394553553831747584 x	The Eagles have not scored an offensive touchdown in two weeks. Lose to NYG 15-7
1955300972_394132743577436160 x	Eagles have not won a home game since September 30th 2012, losing 9 straight. will that change tomorrow?
1955300972_394079830150758400 x	Sixers must have Opening Day rosters set by 5pm on Monday October 28th.
1955300972_394067217509515264 x	The Philadelphia Eagles have a total of 8 interceptions & 15 sacks as a team defense thus far.
