376929387_396724167237574656 x	@todougherty I was walking my dog and seen Tyler last night he was passed out lol
376929387_396741415033896960 x	@todougherty my dad can barely work his flip phone from 2006 let alone use Facebook
376929387_396692540834840576 x	@manduhhhpleasee I actually look Mexican.....
376929387_396289140628537344 x	RT @kevinjmcc: I thought hurricane season was over
376929387_396206105652899840 x	There is honestly nothing worse than waking up in the middle of the night and not being able to fall back asleep
376929387_396276076496052224 x	@joeycalciano I don't think you wanna start this war Joseph.
376929387_396284339127742465 x	@Aut_Dave_Mike @joeycalciano I'd be ashamed to call him my brother if I were you Aut
376929387_396283718111084544 x	RT @joeycalciano: @LouDingusThe3rd your right, Mexican Mafia anit nuttin to fuck wit.
376929387_396283663081414656 x	@joeycalciano that's not how you spell it #domesticabuse
376929387_396123862657925120 x	?@RoobCSN: That's the third overtime safety. Vikings beat Rams 23-21 in 1989, Bears beat Titans 19-17 in 2004.? Roob always has the stats
376929387_396123694344699904 x	I lied
376929387_396123365670682624 x	That's not a safety
376929387_395315033061613568 x	@KrisHazz @iLikeGirlsDaily hahah you know it Which one of y'all said it
376929387_395016805913493505 x	I'm friends with the monster that's under my bed, get along with the voices inside of my head
376929387_394961081439113216 x	?@XXL: New Music: @Eminem Featuring @rihanna ?Monster? http://t.co/kJlpM0BbqH? guess whose back guess whose back guess whose back da da da
376929387_394659646595932160 x	RT @FreeMike018: The less you want, the more you get.
376929387_394659445021876225 x	@diseygal @HuffingtonPost I would totally watch that lol "You had me at Wes Anderson"
376929387_394659208693821440 x	RT @diseygal: "@HuffingtonPost: The Wes Anderson horror movie we've been waiting for http://t.co/Ym5DyzAKNt" @LouDingusThe3rd
376929387_394570572216410112 x	?@Rel_Leg: @LouDingusThe3rd.  Gimmie that W fool!!!  #westberkleyff? ain't over till it's over kid #Megatron
376929387_394622359774449664 x	@Rel_Leg fucking Calvin cost me a win.. Good win sir
376929387_394194094446370817 x	@Elite came through regulations
376929387_394193063910060032 x	RT @CSNPhilly: .@todougherty gives you five things you need to know for #Flyers-#Islanders: http://t.co/38auhM0FOB #FlyersTalk
376929387_393804250545152000 x	?@RollingStone: Listen exclusively to Calvin Harris' remix of the Killers' "When You Were Young": http://t.co/jOsc9M6syC? @diseygal
376929387_393045814572236800 x	@gemmaharg @JesusTheMower I'm better with a weed wacker than a lawn mower
376929387_393045648989503488 x	I've seen close to 100 concerts in my life.. Pearl jam was definitely a top 5 best
376929387_393014849594490880 x	?@TZ_36: Eddie Vedder interview on mmr... He might be the highest person on the planet right now? and the coolest
376929387_392997986927935489 x	RT @MikeSerra90: One day closer to retirement.
376929387_392847080399835136 x	Approaching 3 hours... Wow
376929387_392724047651700736 x	RT @MikeWTrapp: "Don't let me forget to do this thing" = "Now I can blame you when I inevitably forget to do this thing."
376929387_392722321397792768 x	Pearl jam tonight! Needless to say I'm pretty pumped
376929387_392316569457803264 x	RT @PearlJam: Brotherly love. #PJPhilly #LightningBoltTour http://t.co/noui1G1bWF
376929387_392314198560350208 x	RT @dom9brown: @mindycaaat Philly doesn't love me . I get boo's almost everynight . No big deal use to it.
376929387_391610240602742784 x	RT @diseygal: Freedom is within you
376929387_391262096463523840 x	Thank you gronk
376929387_391266333876559872 x	@joeycalciano he's playing on Sunday.. You working?
376929387_391257498508083200 x	@marcelluswiley Denver and philadelphia
376929387_390859003217346560 x	JJ Watt is the man
376929387_390853227153211393 x	RT @RollingStone: Billy Joel unearthed a slew of rare tunes last night at a surprise club gig in Long Island: http://t.co/3YnZrpY21W
376929387_390699887450673152 x	RT @MakingaMint: what do you call a gay boxer?  fruit punch
376929387_390594587078574080 x	I fall to my knees and pray because heaven seems a million miles away
376929387_390594404245053440 x	RT @T_Raww6489: http://t.co/Jk1Lb4F3hU @osullivan1891 @jusdewyit @LouDingusThe3rd this is gonna be a banger
376929387_378252806807105536 x	Not many people know this but @FreeMike018 is my bestfriend
376929387_390594393067253760 x	RT @gemmaharg: ?@itsWillyFerrell: Saying "Kobe!" when you shoot something at a trashcan.? @KrisHazz @LouDingusThe3rd
376929387_390480218043195392 x	RT @ESPNNFL: The Cowboys 3 losses have come against the Chiefs/Broncos/Chargers.   The Eagles 3 losses have come against the Chiefs/Broncos?
376929387_390214519982551040 x	RT @Omen: "potential energy is easily made kinetic..."
376929387_390172781939552256 x	RT @PSTGoGetitGreen: Everything is funner when white people are involved #facts
376929387_388360926199820288 x	This is the grace that only we can bestow. This is the price you pay for loss of control.
376929387_387630354758373376 x	?@NFL_ATL: Report: Falcons WR Julio Jones out for the season with foot injury: http://t.co/F5xTpqz1KU? @MikeyCalciano #roddywhite
376929387_387587403336396800 x	@jusdewyit and also props on the twitter name It's extra original.............
376929387_387587078399475712 x	@jusdewyit lol not really.. of all the songs that's the one?
376929387_386937705990729729 x	@gemmaharg @HistoryInPix why would you do that to me... I'm still on season 2
376929387_386710653886820353 x	Does anybody remember back when you were very young? Did you ever think that you would be this blessed?
376929387_386365532490199040 x	RT @Ianmurray7: UD over Ridley for the first time in 12 years. Good night to be a Royal.
376929387_386193621718159360 x	@KrisHazz @UNF0RG1VABLE FU Hipster
376929387_386193508803301376 x	@kneekol_algeesa @EarthPix 4 months!
376929387_386193423658926080 x	?@gemmaharg: http://t.co/hOBdrtLgWL @LouDingusThe3rd? this is awesome
376929387_385966346317869056 x	RT @FightinForPHI: Here's a picture of the greatest city in the world. http://t.co/y7c5F4XkLD
376929387_385791095277649920 x	Hot and heavy pumpkin pie Chocolate candy Jesus Christ
376929387_384722904359112704 x	RT @Elite: Throwback joint i did with @JonConnorMusic congrats on the deal my bro!!! #KeepYourHead https://t.co/eIfCSNZvtl
376929387_384176437554868224 x	@joeycalciano tomorrow.. I'm pumped
376929387_384176374585765888 x	RT @joeycalciano: Homeland @LouDingusThe3rd
376929387_383666099096940544 x	RT @BigStaxxBoss: I asked God for a bike, but i know God doesn't work that way. So I stole a bike and asked for forgiveness..
376929387_383003649871716352 x	@THEfamilyjulez teal
