1668126644_395995239355138049 x	1st Bowl is ready and "tested". #Halloween http://t.co/ql3OirJ1Ku
1668126644_395538968269160448 x	@PUTigerFootball in the last two seasons is 7-1 in October... Now on to @CornellBigRedFB this Saturday at 1PM. Game on @ESPN3 or on @wprb.
1668126644_395526110634455040 x	RT @DanLoney21: Got to say it again.... http://t.co/KQEyobt2hE Great way to end a game!!!
1668126644_395225991280201728 x	RT @michaellore: BREAKING: #Lehigh Sr. QB Brandon Bialkowski to undergo season-ending surgery, coach confirms: http://t.co/ox8g4zUWfp.
1668126644_394896258550075392 x	@PUTigerFootball get 33 votes in the FCS Coaches Poll, which puts them three spots out of Top 25.
1668126644_394891309225222144 x	Congrats to @allidoisQuinn_4 for being name the FCS National Player Of The Week!!! @PUTigerFootball @InsideIvyFB
1668126644_394881519992336384 x	@PUTigerFootball get 68 votes in this week's Top 25 FCS poll. That's up from 10 one week ago. @InsideIvyFB @PUTIGERS
1668126644_394876355986219008 x	http://t.co/KQEyobt2hE Great way to end a game!!!
1668126644_394220129334329344 x	@RealDeanCain How about your @PUTigerFootball.
1668126644_394209150307422209 x	Wow... @PUTigerFootball win 51-48. @allidoisQuinn_4 TD pass to Roman Wilson in 3rd OT. Epperly w/ 6 TD passes.
1668126644_394206708396208128 x	Going to 3rd OT. Tied at 45 after teams trade FG. @PUTigerFootball @HarvardFootball
1668126644_394204591409336320 x	In OT, roman Wilson TD. Tied at 42. @PUTIGERS @PUTigerFootball @wprb
1668126644_394179710521188352 x	Great game!!!! @PUTigerFootball 28, @HarvardFootball 21 in 3rd. Listen on @wprb
1668126644_394150359159291904 x	Good start for @PUTIGERS. Up 6-0 on Conner Kelley TD catch.
1668126644_394137807440326656 x	@PUTIGERS and@HarvardFootball getting ready... Windy day at Harvard Stadium.... http://t.co/PsSccAAYpL
1668126644_394077563045560320 x	Beautiful morning. @PUTigerFootball vs. @HarvardFootball. 1pm on @wprb, @FoxCollegeSport or http://t.co/AAlgPoPnv4. http://t.co/uL9jzx5BTq
1668126644_394036834138742784 x	Good Morning @PUTIGERS fans. Big day. #TigersInvadeBoston. Good luck to all. @PrincetonWSoc @TigerMensSoccer @TigerFH and @puhockey
