149183304_397799989440557056 x	Slippery rail season in full effect for @SEPTA: http://t.co/VIZSu1AUIx
149183304_399855128209285120 x	RT @karenrogers6abc: Roads are clear and dry this morning with few problems.... So far! @6abc #6abctraffic
149183304_399597425712570368 x	Heading to @WellsFargoCtr tonight to see @jtimberlake? Take @SEPTA to avoid traffic & parking. http://t.co/xlhxbI47qe
149183304_399567220902092801 x	Who likes prizes? Get involved in contests from @SEPTA at http://t.co/AMPhrgXHEb  for a chance to win!
149183304_399219946174955520 x	Check out the featured @SEPTA PassPerks at http://t.co/DZ2Sf28KHM
149183304_399159496032788481 x	@NHLFlyers battle the Oilers today @WellsFargoCtr. Take @SEPTA & avoid hassle of driving | http://t.co/xlhxbI47qe
149183304_398963382901956608 x	Do you use @SEPTA? How do you get the PassPerks they offer? Easy. You simply purchase a SEPTA weekly or monthly pass at any SEPTA sales spot
149183304_398902915043061761 x	@Sixers take on the Cavs @WellsFargoCtr tonight. Don't drive, take @SEPTA! BSL is the best way: http://t.co/xlhxbI47qe
149183304_398896842597228545 x	RT @511PAPhilly: Butler Avenue Bridge Restriction for Bridge Beam Removal http://t.co/38OW4W6wZ0
149183304_398892639749038080 x	Pennsylvania needs a transportation bill and needs it now: James C. Roddey and Mark Singel http://t.co/GOLnChe1B3
149183304_398866421108965376 x	RT @BucksRegister: Bucks County offices will be closed Monday, Nov. 11th  in observance of Veterans Day.  We would like to thank those who ?
149183304_398803686627237889 x	RT @SEPTA_SOCIAL: SEPTA IPHONE APP Users: There is an update available (version 1.0.1) Pls note: Transitview is still being addressed. #off?
149183304_398791244807417856 x	RT @SEPTA_SOCIAL: Let @SEPTA's Broad St Line usher you to a Broadway Show during @KimmelCenter & Co.'s BROADWAY IN PHILA Series http://t.co?
149183304_398549289884200960 x	RT @PaDriverBucNoHa: TRAFFIC ( #BucksCoTraffic ) view today?s accidents and traffic incidents for Bucks County at  http://t.co/QJ8WBF27k5
149183304_398543289647116288 x	RT @SEPTA: Doylestown: Outbound Train #562 is running approximately 11 minutes late.
149183304_398540555149258752 x	@NHLFlyers battle the Devils 2nite @WellsFargoCtr. Take @SEPTA & avoid hassle of driving | http://t.co/xlhxbI47qe
149183304_398511547279872000 x	ALERT: @SEPTA #Doylestown train #558 is experiencing delays of at least 17 minutes.
149183304_398507232414822401 x	Excited to meet with the @CBEastHS Key Club students this afternoon to discuss the #BucksCounty High School Seatbelt Safety Challenge!
149183304_398496390000541696 x	It?s time to fund Pennsylvania?s transportation network ? our region's future depends on it! #fundPAtransportation http://t.co/031aPG7dRt
149183304_398485974503923713 x	RT @SEPTA_SOCIAL: Flyers jersey. Flyers ticket. The Broad Street Line. It's a hat trick! Take @SEPTA to @NHLFlyers home games http://t.co/2?
149183304_398485782664859648 x	RT @septadev: An update to the @septa ios app was released in the app store today.  This update fixes several bugs.  https://t.co/d6R3KsR6oS
149183304_398477296933568512 x	RT @SEPTA: The Philadelphia Marathon is on Nov. 17 and will affect several SEPTA  routes. Impacted routes are listed here http://t.co/PqHj9?
149183304_398461481068822528 x	RT @SEPTA: RRD: All trains may experience delays of at least 10 minutes due to slippery rail conditions.
149183304_398452583171653632 x	RT @PennDOTNews: Check out our a.m. #Facebook post for info on how to make sure you're wearing your seat belt properly at http://t.co/MF9mi?
149183304_398444672017637376 x	Eagles Player Goes Green, Rides @SEPTA | NBC 10 Philadelphia http://t.co/bnvE6u6CC3 via @nbcphiladelphia
149183304_398442871285874688 x	RT @SEPTA_SOCIAL: Eagles Player Goes Green, Rides SEPTA | NBC 10 Philadelphia http://t.co/lccMlLCqtT via @nbcphiladelphia
149183304_398433806811553793 x	Did you know more than a third of Philadelphians walk, bike or take @SEPTA to work? Fifth-highest total in the country.
149183304_398428636505968640 x	RT @phillychamber: If you don't want to see @SEPTA eliminate 9 of 13 rail lines then show your support to #fundPAtransportation today: http?
149183304_398421528238227456 x	Route 13 Improvement Project continues to make progress in lower #BucksCounty: http://t.co/IUdnLdWEAh
149183304_398404508826345472 x	@SEPTA Commuter?s Choice offers programs that save you money on your commute?up to $900 a year. More info: http://t.co/kf1H26S2Gt
149183304_398223411597414400 x	With a weekly or monthly @SEPTA pass, you receive discounts & goodies through PassPerks: http://t.co/lpXLrVaNNU
149183304_398171988365414400 x	RT @SEPTA: Doylestown: Outbound Train #558 is running approximately 11 minutes late.
149183304_398163010511839232 x	@Sixers take on the Wizards @WellsFargoCtr tonight. Don't drive, take @SEPTA! BSL is the best way: http://t.co/xlhxbI47qe
149183304_398160258277068800 x	RT @SteveJiwanmall: Note: Video reporter Alex Finnie has a new Twitter handle - @AFinnieCalkins. Follow her for news for #BucksCounty and #?
149183304_398140917523439617 x	RT @SeanDSchafer: Out of 65 fatal car crashes in bucks last year, 21 drivers lacked seat belts and 26 were alcohol related. Buckle up and d?
149183304_398138541890600961 x	RT @SEPTA_SOCIAL: HELLOGOODBYE FANS! Win 2 Tix for @itshellogoodbye Mid-day @Radio1045 Studio Session this Friday. Solve this riddle!! http?
149183304_398137201617543168 x	RT @SEPTA_SOCIAL: SEPTA?s Commuter?s Choice offers programs that save you money on your commute?up to $900 a year. More info: http://t.co/T?
149183304_398130207288078336 x	Join us 12/6 for our luncheon @parxcasino east! http://t.co/kfVAhL0eAk  | Barry Seymour of @DVRPC & Steven Wray of @EconomyLeague to speak!
149183304_398064359626514432 x	RT @tangotraffic: ACCIDENT on the PA Turnpike WB at Ft Washington, blocking a lane #PhillyTraffic
149183304_397830921581109248 x	Do you take public transit & know about RideECO from @DVRPC? http://t.co/tObas6OpRj  | RideECO allows commuters & employers 2 save!
149183304_397795264280281088 x	Route 13 Improvement Project Update: Curb installation begins north of Green Lane | http://t.co/cP7DHumiaS
149183304_397783013758484480 x	Route 13 Improvement Project Update: Bridge deck over Otter Creek takes shape | http://t.co/RXZtGMkre0
149183304_397774133267660801 x	Heading to @WellsFargoCtr tonight to see @BonJovi? Take @SEPTA to avoid traffic & parking. http://t.co/xlhxbI47qe
149183304_397769184957853696 x	Route 13 Improvement Project Update: Progress continues to be made | http://t.co/IUdnLdWEAh
149183304_397764693114511360 x	RT @phillychamber: @SEPTA Please support our social media campaign to #fundPAtransportation - help us spread the word: http://t.co/jqAJ3UZ2?
149183304_397723416280965120 x	RT @PennDOTNews: #Safe driving habits are serious- twice as many people lose their lives in crashes than homicides each year in Pa. http://?
149183304_397711198034354176 x	RT @SEPTA_SOCIAL: BON JOVI FANS!: Let the Broad St Line be the "steel horse (you) ride" to @BonJovi's show tonite @WellsFargoCtr! #BecauseW?
149183304_397709263197319168 x	Bucks closes a second bridge in Nockamixon http://t.co/ABQVkFRMeA via @couriertimes
149183304_397703217406287873 x	RT @SEPTA_SOCIAL: Let @SEPTA's Broad St Line usher you to a Broadway Show during @KimmelCenter & Co.'s BROADWAY IN PHILA Series http://t.co?
149183304_397700084457934848 x	#BucksCounty Bridge No. 221 (Traugers Crossing Rd.) in Nockamixon Township to close for repairs | http://t.co/KpOPe5YdTZ
149183304_397697857655820288 x	We are proud of our @tmabucks board member @SeanDSchafer! Congrats! @CourierTimes @amygianficaro @RachelCanelli @RepFitzpatrick
149183304_397697430424023041 x	RT @SeanDSchafer: Awesome front page today! Thanks @CourierTimes @amygianficaro @RachelCanelli and @RepFitzpatrick
149183304_397549528481816576 x	RT @SenTomlinson: Congratulations to @seandschafer and @scullyano for being named to the 40 under 40 list in bucks county. #bucks40
149183304_397498624310931457 x	Reminder that updates and news for the Route 13 Improvement Project in lower #BucksCounty are always available at http://t.co/IUdnLdWEAh
149183304_397498332568096768 x	RT @SEPTA: West Trenton: Train #369 is currently boarding Elkins Park Station and is running 10 minutes late.
149183304_397438220037652480 x	@Sixers are home @WellsFargoCtr tonight. Don't drive, take @SEPTA! BSL is the best way: http://t.co/xlhxbI47qe
149183304_397424351735472128 x	RT @SEPTA_SOCIAL: @Sixers jersey. @Sixers ticket. @SEPTA fare. It's a 3 point play! Take @SEPTA's BSL to tonite's game vs Golden State http?
149183304_397417943912308736 x	ALERT: @SEPTA #Trenton train #736 is operating with delays up to 25 minutes.
149183304_397408108785319936 x	Do you take public transit & know about RideECO from @DVRPC? http://t.co/tObas6OpRj | RideECO allows commuters & employers 2 save!
149183304_397405454814298112 x	Join us 12/6 for our luncheon @parxcasino east! http://t.co/kfVAhL0eAk  | Barry Seymour of @DVRPC & Steven Wray of @EconomyLeague to speak!
149183304_397404862780309504 x	RT @AAASafety: One-in-Four Drivers Report Struggling to Stay Awake While Behind the Wheel | AAA NewsRoom: http://t.co/aFQCrl7ASP
149183304_397401802267586560 x	ALERT: @SEPTA says #Trenton inbound train #734 is operating with delays up to 25 minutes.
149183304_397396279200079872 x	RT @JBohenReports: Crash on East Lincoln?Highway http://t.co/jdQVSs3l4f
149183304_397386076492689408 x	RT @phillychamber: It's time to address years of insufficient funding for highways, bridges, & ports #fundPAtransportation Show support: ht?
149183304_397360565016088576 x	RT @SEPTA: Trenton: Train #726 will operate express from Torresdale to Center City.
149183304_397357358751297536 x	From a police dynasty, @SEPTA chief embraces the new http://t.co/0tMaTDujpz via @phillydotcom
149183304_397355114320510976 x	Southbound right lane will be closed on I95 between Route 413 & Street Rd in Bristol & Bensalem #BucksCounty until noon for graffiti removal
149183304_397354540330016768 x	I-95 lane closure in Bristol & Bensalem this morning | http://t.co/B2zZgo1Arv http://t.co/YIhUhWouDG
149183304_397353559118733312 x	Burlington Bristol Bridge on stand-by for an opening according to @bobkellytraffic of @CBSPhilly
149183304_397351183020331008 x	ALERT: @SEPTA #Trenton inbound service is operating with delays up to 20 minutes
149183304_397349084148670464 x	ALERT: @SEPTA #Trenton train #9724 is canceled due to equipment problems.
149183304_397348198249156608 x	RT @LevittownPatch: Some traffic restrictions on I-95 today. http://t.co/VQ9WHVlG97
149183304_397341900778119168 x	ALERT: @SEPTA Trenton train #9724 is operating with delays up to 15 minutes.
149183304_397340588434919424 x	PlanPhilly | @SEPTA on "slippery rail season" high alert http://t.co/M57DrBLPfa
149183304_397340424450605056 x	RT @bobkellytraffic: A Tacony Palmyra Bridge opening will occur at approx. 7:40AM. The Burlington Bristol Bridge will then open 40 minutes ?
149183304_397328951065866240 x	@SEPTA says TransitView is temporarily not available for bus and trolley routes due to technical difficulties.
149183304_397030545281929216 x	Who likes prizes? Get involved in contests from @SEPTA at http://t.co/AMPhrgXHEb  for a chance to win!
149183304_396698328689152000 x	@Sixers take on the Bulls @WellsFargoCtr tonight. Don't drive, take @SEPTA! BSL is the best way: http://t.co/xlhxbI47qe
149183304_396668181613268992 x	Check out the featured @SEPTA PassPerks at http://t.co/DZ2Sf28KHM
149183304_396411506100690945 x	Do you use @SEPTA? How do you get the PassPerks they offer? Easy. You simply purchase a SEPTA weekly or monthly pass at any SEPTA sales spot
149183304_396321422215487489 x	RT @PlanPhilly: PlanPhilly | SEPTA on "slippery rail season" high alert http://t.co/dYchmQfTfw
