390061903_158663158842671105 x	How fit are you?  #CrossFit
390061903_325410236154380288 x	RT @NBCNews: Suspect is in custody. #manhunt  MORE details coming.
390061903_399931851839516672 x	@packers got a picture for you to add... http://t.co/eiibjYRia3
390061903_399727319276732416 x	@packers I still think Jordy had that touchdown! @JordyRNelson http://t.co/yPXsMZ0R1E
390061903_399653168868769792 x	Nice meeting you @JonDorenbos good game.  #classact @kray54 http://t.co/E0DB9J0rOG
390061903_399576440376942592 x	@packers we are tailgating now, do you have a handicap specific entrance?  Have a guy with us with broken foot.
390061903_399289993241190400 x	@Xbox  #xboxlive and @comcast apparently aren't playing nicely together, causing issues logging on. http://t.co/38RHCmxD4Z #annoyed #xbox
390061903_260906179394412545 x	@blakeshelton how about the obligatory bday retweet....bitch!
390061903_399277579783262208 x	#xboxlive and @comcast apparently aren't playing nicely together, causing issues logging on. http://t.co/38RHCmxD4Z #annoyed
390061903_399253044820332544 x	@XboxSupport receiving a MTU error when trying to login to xbox live.  Restarted router and cable modem, was working fine this morning
390061903_399259959679918081 x	@XboxSupport3 error code 8015190B .  Hooked up wirelessly, no other internet issues in house.  Tried to renew settings, still no connection
390061903_379792614133735424 x	#CostaConcordia The ship is fully upright and sitting 50+ feet lower in the water than when it crashed.  http://t.co/c68YO1vTaz
390061903_398823067331219456 x	?@TIME: $28 million apartment complex opens in LA, housing for homeless http://t.co/1LI5fdQk6Y? Money well spent,  Americans who need help
390061903_398266035087736832 x	@FLAGALine that's 2!!  Duo of the year!! #cma
390061903_398257737122848768 x	@FLAGALine Single of the year, well done boys!!!  #CMAAwards
390061903_397883211218288641 x	RT @continentaltire: Ck it out, we won an award for our new ContiForceContact! #SEMA2013 http://t.co/nB5QaAkPw6
390061903_397556050078879745 x	@packers need to work on Seneca's mechanics, no power in that side arm throw
390061903_397552705033342977 x	@JayGlazer @packers: Rodgers is officially out for the game. Just announced in press box. #CHIvsGB
390061903_397552410429632512 x	RT @packers: Rodgers is officially out for the game. Just announced in press box. #CHIvsGB
390061903_396403495588229120 x	?@kray54: If caterpillars are placed in a circle, they will continuously follow each other around until death.?@R1Jester I'm trying? haha
390061903_396346603386441728 x	@RJinVegas @ESPN_Colin Jets and Vikings?  Really?!?
390061903_396052901979639808 x	?@nfl: Sapp & Irvin go trick-or-treating.  Unsuspecting candy-givers go crazy.   MUST-SEE: http://t.co/gCx8MCuNXx? @kray54 hillarious!!
390061903_395736593333354496 x	?@UberFacts: You can turn your old iPhones and iPads into security cameras. Here's how: http://t.co/vtF4jxdHyn? @kray54 I'm trying this!
390061903_395577815103324160 x	?@nfl: Staley Da Bear hangs in costume shop. Pretends to be merchandise. Scares fans silly.  MUST-SEE: http://t.co/B0yvRPah0Y? @kray54
390061903_395250182683918337 x	?@JayGlazer: Contrary to what is out there Seattle is NOT one of the teams in it for Jared.  @mortreport @AdamSchefter
390061903_395019016236179457 x	?@JayGlazer: Please someone punch Golden Tate in the face for that? @kray54
390061903_393539132842319872 x	RT @JeffreyHayzlett: @CrossFit episode on #csuite is "on fire" per execs at @bloombergtv --- it is good! Watch why here: http://t.co/ANSYKb?
390061903_392831442407149568 x	@bl12joe @Biggest_Loser sad truth is that the voice follows it.  More money from that show so more airtime
390061903_392467976689303552 x	@kray54 @IncredibleViews wide open throttle!
390061903_392001369848041472 x	@JeremyClarkson what could possibly go wrong?? @RichardHammond
390061903_391970036572618752 x	@kray54 @IntEngineerings need to have a nice car first!
390061903_391237341269852160 x	RT @Reebok: RT if you?ve already gotten your workout in today. #LiveWithFire
390061903_391011183752642560 x	Wilson got stuffed!  Bad play call there  #SEAvsAZ
390061903_390979964218011649 x	#SEAvsAZ Seattle wins 31-17.  #tnf prediction @kray54
390061903_390446636859928576 x	@dolvett lot of new faces in the gym this morning, must mean the #BiggestLoser started!  Hardwork.....
390061903_389561171142930432 x	?@kray54: ?@phillygodfather: Oh boy... http://t.co/pdftJf589w? Really close on that bills game and gutsy on the under for DEN.  Nice play!
390061903_389471530637201408 x	RT @ESPNNFL: Aaron Rodgers with a ROPE!!!   64 yards to Jordy Nelson - TOUCHDOWN PACK!!
390061903_387019723189141504 x	?@RJinVegas: 18-team parlay hits! $282 wins $54,000+!! Broncos ML last gm. All 18 listed: http://t.co/5n0GPXFdVP (h/t @benhanten)? @kray54
390061903_386127039905816576 x	RT @TheDailyShow: Shutstorm 2013: America Sits on Its Balls - Bias on Bulls**t Mountain http://t.co/mNvw9g0Znf
390061903_380498128132403200 x	#iOS7 is..... I don't quite know
390061903_380058537595920384 x	Thanks!! @CorePower Ready for the rest of the year! @momtu2 http://t.co/8G9oOdMVnR
390061903_379790380125798400 x	RT @ReutersLive: AFTER: #CostaConcordia has arisen thanks to historic engineering feat - live streaming video http://t.co/xWqtLCDd9c http:/?
390061903_379790357401042944 x	RT @ReutersLive: BEFORE: #CostaConcordia before it was risen by a team of 500 engineers from sunken position http://t.co/xWqtLCDd9c http://?
390061903_379783885652901888 x	#CostaConcordia As an engineer, I'm geeked out by this live feed.  Like watching paint dry but still amazing http://t.co/c68YO1vTaz
390061903_379349033522704384 x	@kray54 @packers maybe cutler should watch and take notes
390061903_379253452322254848 x	@nflnetwork @nfl #boldpredictions Adrian Peterson will rush for 200yds & 3TDs in a rain soaked Soldier Field
390061903_378241296449957888 x	@reedtimmerTVN Waterspouts just outside of Kenosha,WI on Lake Michigan http://t.co/bPaiq2ZOzz
390061903_376166854617595905 x	What a deal!! ?@mecum:This 1970 Chevrolet Corvette with Black paint and Red interior just SOLD for $12,000! #Mecum http://t.co/2G7nvVjX3M?
390061903_375322229166182400 x	Think twice about spitting out your gum. An artist is creating faces from DNA left in public. http://t.co/DEaWkrw3ie @joerogan
390061903_374730778732552192 x	@realjeffreyross "melting hippo" hilarious!!
390061903_369959376284438528 x	@Nickspizza Dropped off our books for the kids meals, now it's time for some great pizza!! http://t.co/ekRxX4sB8O
390061903_369960401405874176 x	@Nickspizza we let the girls pick a few of their favorites that they thought other kids would like
390061903_369872138288627712 x	@redbull time for a little lunch time ride http://t.co/0JoUprH722
390061903_369821197745127425 x	@BBC_TopGear Ferrari 458 speciale?
390061903_365116036401475584 x	RT @dolvett: Repeat after me, "I Rise, I Grind, I get shxt done!"
390061903_364901221112356864 x	@TravisPastrana @FLAGALine @roushfenway looks like a hell of a good time!!
390061903_364180718630342656 x	@kray54 @dailydot shhhh
390061903_362748127649869824 x	RT @YourAnonNews: German scientists just froze #light for an entire minute in one of the biggest breakthroughs in quantum mechanics: http:/?
390061903_362602579299012608 x	RT @Nickspizza: Be a coach, not a cop. #TrustAndTrack #Leadership #NicksUniversity http://t.co/RQb5u5fwek
390061903_361974638387015680 x	@FLAGALine #tipitback
390061903_361644810622341121 x	RT @CrossFitGames: We've told you once ? twice? and now, for the third time  @RichFroning is the Fittest man on Earth! #CrossFitGames http:?
390061903_361630468854120448 x	Best place for dinner! @Nickspizza http://t.co/IwfHtbHChS
390061903_360120560287625216 x	RT @GoPro: Retweet this GoPro photo of Ken Block and we will donate $1 to @MakeAWish Foundation. #XGames @kblock43 http://t.co/QqdU1413pO
390061903_356436071271243776 x	Buy #HeresToTheGoodTimes by @FLAGALine , put the entire album on repeat, you are set for the best album of the summer!  You're welcome.
