262391765_391002608288006144 x	@Behlau_Kyle Thanks, bro
262391765_396083965410304001 x	RT @TheRealDGunnCSN: Hulk hogan at the bengals/dolphins game tonight...... Whatcha gonna do when the hulkster runs wild on you
262391765_396083950306603008 x	RT @jimmyfallon: The most popular Halloween costume in Boston today was "Hungover guy in the same clothes as yesterday." #fallonmono
262391765_395743317239291905 x	RT @michaelianblack: The irony about Halloween is that you can actually go out and just buy candy pretty much year 'round.
262391765_395727057776566272 x	RT @rayhombre: Somewhere on earth will smith is dancing
262391765_395543763650490368 x	RT @joshgondelman: My dream is I'm the only one who can save humanity from the robot revolution because I never update my apps or operating?
262391765_394596331207262208 x	RT @mhgonet: wait you "hate people" that's crazy no one's ever said shit like that before yo you're fucking wild
262391765_394531879195385857 x	RT @michaelianblack: Lou Reed is dead. "Dads" is on the air.
262391765_394497940095774720 x	RT @TheRealDGunnCSN: 1st Andy Reid kissed me on forehead now Sixers CEO Scott o'neil who joins me eagles pregame live kissed me on cheek...?
262391765_393878118227640320 x	RT @chrisdelia: The new LA Kings slogan "We are all kings" is fuckin so obnoxious. No we aren't. Take me for example. I've never ruled any ?
262391765_393515259505278976 x	There's nothing I love more than going to Flyers games.
262391765_393478114640408576 x	RT @Sgrubb_A_Dub: I am completely broke I have nothing
262391765_392247969388703744 x	School being closed is cool and all but now I have to watch daytime television.
262391765_391998980198268928 x	RT @markhoppus: "Reduce your fractions, asshole!" -me yelling at a commercial that starts "8 out of 10 doctors..."
262391765_391543447557267457 x	RT @markhoppus: Dance like no one is watching. Dump like no one else is home and you have a full compliment of lives on candy crush.
262391765_391331305457475585 x	RT @deanjnorris: Fuckin terrorists. Now every time I fly I gotta find clean matched decent socks.
262391765_390974026648416256 x	@Pooler_15 Thanks, man.
262391765_390973215990087680 x	@manontheMOON2st Thanks, bro
262391765_390973165327089664 x	@lilburkhardt2st Thanks, brotha
262391765_390932847768637440 x	@PaulCav2j Thanks?
262391765_390932354971467776 x	@schweiknoswipen Thanks, son.
262391765_390929489657860096 x	@trevor_scia96 Thanks, Bro
262391765_390929186405502977 x	@mattmort2st Thanks, Mort. My birthday wish is for you to  get a win a win this week.
262391765_390928953973944320 x	@katiexoxo512 Thanks Kate!
262391765_390928855797866496 x	@zach_bal Thanks, sport
262391765_390928542940536832 x	@ken_mason22 Thanks, man. Good luck this week. You're gonna need it.
262391765_390926593688084480 x	@chelseamaronski Thanks Chel!
262391765_390925662871371776 x	@ErikGrubb2st lol thanks aha
262391765_390582656335089664 x	RT @WillSasso: Pumpkin isn't a spice, it's a giant nut or something. Fuckin idiots.
262391765_389476930627862528 x	RT @MarkDuplass: In heaven, your projected Fantasy Football points always pan out.
262391765_388789720257269760 x	RT @ace_of_speids: "I love a good nap, sometimes its the only thing that gets me out of the bed in the morning." -George Costanza
262391765_388097963190665216 x	RT @KimboSlice: http://t.co/op2ZHcmkXw
262391765_387727906828328960 x	Danny Trejo is at the Flyers game.
262391765_386952951853756416 x	If you "boo" someone's house you're so lonely.
262391765_385942958207684608 x	I wish my school had pep rallies so I could be that guy who's too cool to go.
262391765_385892565033054208 x	Dear God, please let this Bigfoot evidence be legitimate. Amen.
262391765_385717538950496256 x	RT @wavves: That was by far the hottest show I've ever played i hope everyone is okay especially that kid that got knocked out stage diving
262391765_385487533787717632 x	Seeing @wavves tonight.
262391765_384999027726897152 x	RT @michaelianblack: I just signed up for Obamacare and was immediately ordered to stand trial before a death panel. WTF???
262391765_384502080901480448 x	Bravo, Breaking Bad. Bravo.
262391765_384095735823618048 x	If you're in a crowded room you definitely shouldn't yell and play tag with your kid.
262391765_384095339357040640 x	Waiting for a table at Olive Garden really makes me realize the hatred I have for people.
262391765_384055507860066304 x	RT @BenOlszewski15: I cant believe this is what we've come to http://t.co/mWqTYsJnTU
262391765_384040746120396800 x	RT @JackPMoore: Wait. So Air Bud was not a documentary?
262391765_384029540236140544 x	RT @ModernBaseball: Sometimes you eat taco bell by yourself in cherry hill mall #cherryhill
262391765_383727731097501696 x	One time I told my dad I couldn't do a pull-up and he yelled at me.
262391765_383728048467873792 x	@ace_of_speids Both are equally as appropriate.
