1950211951_392777000114724866 x	@PHISportsPhans yeah but at week 12 a little late for me haha
1950211951_393354173544411136 x	@PHISportsPhans @Owls_BlueDevils @Sixers my bad red
1950211951_396388352175661056 x	RT @SNOSSports: Michael Vick is so durable
1950211951_396271876487794688 x	Matt Miller has the Eagles taking Sammy Watkins 1st round then Brett Hundley 2nd round. Oh sweet lord Jesus let that happen
1950211951_396280942081634305 x	@FreakyLeeky Matt miller is pretty good when it comes to stuff like that
1950211951_396272751264399360 x	Happy birthday to the best gaurd in the NFL @EvanMathis69
1950211951_396272400968732673 x	@Kmack23 the offense would be so deadly it shouldn't be legal
1950211951_396271945731551232 x	RT @PhillySportPast: Happy Birthday to #Eagles O-Lineman and resident comedian, @EvanMathis69!!!
1950211951_395952212058587136 x	Who would be the next Philly team to win a championship
1950211951_395939892762804224 x	I just wanna know who did we piss off for only having 1 champion in the last 30 years?
1950211951_395670455031705600 x	Isn't the draft pick we got from the New Orleans pelicans top 5 locked?
1950211951_395671407998537728 x	@Owls_BlueDevils so we will most likely have two top 5 picks this year. I'm feelin that. Who else could we get?
1950211951_395672767364079617 x	@Owls_BlueDevils oh so that's what it means my bad I guess I didn't know the meaning of "top 5 locked" lol
1950211951_395673898060378112 x	@Owls_BlueDevils oh yeah they will be a solid team
1950211951_395669909851897856 x	@Winless4Wiggins #WinlessForWiggins #WinlessForWiggins  #WinlessForWiggins #WinlessForWiggins  #WinlessForWiggins
1950211951_395667812787568640 x	1. Dr.J 2. Moses Malone 3. Iverson  (My opinion)
1950211951_395667315293159424 x	RT @ochurricane: @Winless4Wiggins #WinlessForWiggins #WinlessForWiggins  #WinlessForWiggins #WinlessForWiggins  #WinlessForWiggins  #Winles?
1950211951_395667252814811136 x	Sad to see Iverson retire. Made a team that had no business even going near the NBA finals into contenders
1950211951_395569483634704385 x	This is for all those basketball fans. Wtf is a laker?
1950211951_395543708084740096 x	RT @dimitripissanos: @WIPMorningShow  Homecoming week at my school. Today is bum day, thought this would get some sympathy out of people ht?
1950211951_395294226315239424 x	Guessing Bennie Logan will be the starting NT now?
1950211951_392302692284268544 x	@tommyfnmugga is it big board or mock draft?
1950211951_395179655449542656 x	I hate how people are hating on foles for his two wins game from winless teams. Vicks only win was the redskins who are 2-5
1950211951_395179920999317504 x	@Kmack23 yeah basically
1950211951_395179040061272064 x	RT @PhillySportPast: 10/29/2008: The @Phillies completed Game 5, beating the #Rays, 4-3, to claim franchise's 2nd #WorldSeries (VIDEO) http?
1950211951_395159477332500480 x	Looks like Nick Foles is starting Sunday
1950211951_395010159518679040 x	Just realized I got 400 followers thanks guys appreciate it
1950211951_394583180269064192 x	RT @SNOSSports: That Eagle/Giant game was an instant classic!
1950211951_394553920380739584 x	If Vick would've admitted he wasn't ready to play. Barkley would've been better prepared
1950211951_394558206153736192 x	@A_dizzle24 half reps doesn't help you buddy. Especially Barkley being a rookie he needs all the reps he needs
1950211951_394559302633263104 x	@A_dizzle24 not makin excuses that's just how football is you have to be prepared better than the other team.
