19291104_321050920777564161 x	Fan-Dan-go #wrestlemania
19291104_149974944216924160 x	@NikkiLiccio thanks!
19291104_321021375311650816 x	@iamcolinquinn fuck coach rice it's #wrestlemania
19291104_321051332800827392 x	@mikethemiz @snooki
19291104_395869907008897025 x	@AZofSNB @DJHyde_1 @combatzone I see London, I see France . . .
19291104_391763088682528768 x	@danawhite that was a f'n instant classic
19291104_391762965260935169 x	RT @danawhite: HOLY SHIT!!! Diego vs Gil
19291104_391314404933111808 x	@OpieRadio @JROD1020 I'm going Tuesday night in Philly
19291104_389135098299559936 x	RT @Ch4BrianFantana: A cat falls in water and a rooster laughs... Moral of the story? Wet pussy makes a happy cock.
19291104_389123952217694208 x	Is it me or does the STL Cardinals have a horseshoe up their ass? #NLCS
19291104_381167535091384320 x	Siri is tweeting for me
19291104_380360084435791872 x	RT @975TheFanatic: RT this if you are local and want to come to the studio and have a #HamSandwich with @TonyBrunoShow and @HARRYMAYES975 t?
19291104_365612230110224385 x	@DrewGulak I will be present and celebrating the next CZW champion drewwww gulag #forabetterczw
19291104_348244575724376065 x	@blklkp I'm going to new heights '13 are you doing the honors
19291104_348245191079120896 x	@blklkp awesome hope to see you
19291104_363721925375164416 x	@blklkp I am goin to tangled web are you? #LikeNothingElse
19291104_363381788866904064 x	Just ordered my Dutch Tee. Get well soon! #RightOnFightOn
19291104_355049497992245250 x	We got The Megatome & we are the smartest. #gotmegatome #sworcery
19291104_348245463671111680 x	RT @JimNorton: I plan on being very offended by Paula Deen, as soon as I'm done watching Training Day, Django and Spike Lee's last 11 movie?
19291104_346369047992094721 x	My first beer bong happened at a Jimmy Buffett concert.
19291104_346083278144536576 x	@blklkp #ufc161 you watching?  I am!
19291104_346083922783907840 x	@blklkp it's just prelims now but ppv starts now
19291104_345644972135026688 x	@faux_dutch @MikeMiss975 #righton !
19291104_345643734135885824 x	I can't believe @975TheFanatic is on f'n fire.  Thinking of you all!
19291104_345641616524062720 x	@blklkp mind games?
19291104_345643123357130752 x	@blklkp @THETOMMYDREAMER that's why I mentioned even if I was wrong it was a great IYH!
19291104_345642523739439104 x	RT @MikeMiss975: Surreal. Ive never been kicked off the air due to a catastrophe!
19291104_335493280907292672 x	#concerned
19291104_328340249258373120 x	@blklkp #ufc159
19291104_326303031127834624 x	@GutsyMcDivot  daily player can't stop
19291104_325776152482435072 x	@blklkp UFC!
19291104_324895513713446912 x	@TheHerd big fan
19291104_324889761909186562 x	@ESPN_Colin big fan watch you on the u while telecommuting
19291104_321635760409284609 x	Always have your stuff when you need it with @Dropbox. Sign up for free! http://t.co/MSzSh0dvST
19291104_321581441546854400 x	RT @MikeAndMike: What's a #schnerd? Ask @Espngreeny. Another invented term brought to you by @MikeAndMike
19291104_321581263502864384 x	@Espngreeny what's a schnerd?
19291104_321449820697010176 x	@ShawnMichaels @therealgdf good for you hbK F those marks, right
19291104_321446325596069888 x	@iamcolinquinn nobody knows you
19291104_321005314470182912 x	@blklkp I ordered Wm 29 on ppv seems like a good card
19291104_320684644083302401 x	@blklkp  Wrestlemania?
19291104_320699110376235009 x	@blklkp damn str8!  Do you think I should go to BotB on 4/13?
19291104_320690185245446144 x	RT @katemines: #winitforware
19291104_320686856629010432 x	RT @katemines: They're too whistle happy.  Let then play!  #NCAA #finalfour
19291104_320685662833631233 x	Ugh Pizza Hut crazy crust looks gross #finalfour
19291104_320685134355496960 x	@blklkp awesome have a great time I'm watching the #finalfour
19291104_316633955031990272 x	RT @MLBNetwork: Watch @WhiteSox vs. @Rangers LIVE at 4pE on @MLBNetwork. 100th RT will get a @tervistumbler with any @MLB team logo! htt ...
19291104_315263756772990977 x	How bout dem Eagles?  #marchmadness
19291104_314779921362874369 x	You say tomato, Snoop says Tom Izzo #BracketBusters
19291104_313092108565241857 x	@MLB #thingsnoonetweets
19291104_313052310668455936 x	#kik erock856 do only kids use it?
19291104_313048282500849664 x	RT @charliiew18: RT if you've got #Kik
19291104_313047398563840000 x	Thinking of getting #appletv worth it?
19291104_311565229433696256 x	I just voted to FIRE @BobbyValentine. Would you? Vote NOW! #HireOrFireBobbyV http://t.co/uqrCOMWKU8
19291104_295980945620758529 x	@davidalangrier Followed you after hearing you on @adamcarolla
19291104_295728734135259136 x	#royalrumble  so it is going to be rock/cena @ Wm?
19291104_295691457631764481 x	#royalrumble
19291104_291616138239033344 x	RT @HARRYMAYES975: Have no idea how this plays out...LOTS of questions.  However, right now, have to give #Eagles credit for getting THE ...
19291104_291615503288516608 x	Holy shit, Chip Kelly new coach #Eagles
19291104_290558243024015360 x	#SEAvsATL turning into another good one
19291104_290300032161300480 x	RT @MLBFanCave: Followers to Retweet are eligible to win a baseball signed by @Reds outfielder @JayABruce. #MLBFC
19291104_290288965808951296 x	RT @ChrisBurke_SI: Maybe instead of going to 14 or 16 playoff teams, we should just drop to eight and start with this round.
19291104_290287984211791872 x	RT @SI_JimTrotter: today's playoff games are as entertaining as last weekend's were boring.
19291104_290287174652395521 x	@combatzone rehire Larry!
19291104_290273689059086336 x	Very conservative by harbaugh
19291104_290273013272813568 x	Holy moley! BAL is going to win this game!   Double OT comin up!
19291104_290271193183944704 x	This sheet is going double OT #BALvsDEN
19291104_290251652689170432 x	@EastSideDave how bout a shoutout
19291104_290246423998513152 x	@DrewGulak rehire Larry!
19291104_290245891309322240 x	@DJHyde_1 re hire Larry!
19291104_290245738640855040 x	@Lauderdale11 rehire Larry!
19291104_290239735639719936 x	@Espngreeny @ScottFerrall this game is instant classic!
19291104_290229812914688001 x	RT @Espngreeny: First quarter already better than all of last Saturday combined... #BALvsDEN
19291104_262027121608765440 x	RT @philotto23: Frankenstorm is getting so much attention already, that Kim Kardashian just started dating it. #Snowicane #Frankenstorm
19291104_261173669664018432 x	RT @_SkyBoy_: RT If you have a #Kik
19291104_255025682604756993 x	Add me on #kik erock856
19291104_247297322000728065 x	Let's play Scramble With Friends. My username is 'erock856'. http://t.co/MlxV1XCU #GamesWithFriends
19291104_247297203578753024 x	Let's play Words With Friends. My username is 'erock856'. #GamesWithFriends http://t.co/j4yagnPE
19291104_247297094036115456 x	Let's play Gems With Friends. My username is 'erock856'. http://t.co/apcqcLz1 #GamesWithFriends
19291104_243521849001123840 x	RT @mfalkenham: @JRsBBQ what's the difference between Romo and a dollar? You get 4 quarters out of a dollar!
19291104_243519153212907520 x	RT @TheeBlueMeanie: If you look DEEP into Eli Manning's eyes you can see a goldfish swim past his pupil.
