237913868_384074147300528128 x	RT @tigersgoroooar: Elton Yawn.
237913868_384072120524734464 x	On the Road Again. http://t.co/dxasYgG1Rb
237913868_384074178166394881 x	RT @tigersgoroooar: Long, satanic walks on the beach.
237913868_399789776569503745 x	I whisper goodnight to my ponytail.
237913868_399787440518356992 x	Pillow Fort Architect
237913868_399441353450336256 x	Why didn't Hitler drink vodka? It made him mean.
237913868_399439737003335681 x	Chasing the American dream does not count as exercise.
237913868_399425600294645760 x	RT @GuyThe_Guy: Walmart should serve Walmartini's.
237913868_399366480040452096 x	Amen. http://t.co/cWw4AqVE0n
237913868_399232144595111936 x	RT @Black__Elvis: Optimus Prime never taught his son how to throw a football and Prius has never forgiven him for it.
237913868_399039559670837248 x	Just finished the last show in Oregon. I loved you like a brother but it's time to see other states.
237913868_398539255435120640 x	Two hours to burn in between magic shows. Going to catch a flick. Should I see "Bad Grandpa" or "The Counselor"? #movie #theater #decisions
237913868_398507318838444032 x	Fight club > Crossfit
237913868_398502906585817088 x	Blockbuster R.I.P.
237913868_398502400241057792 x	"Hey Ladies, wanna touch my Arts Degree" is never a successful pickup line.
237913868_398367030979489792 x	I'm giving an assembly speech tomorrow. We'll see how many "Pete & Pete" references I can make within 30 minutes.
237913868_398308872055578624 x	RT @hipstermermaid: I don't know if my techno ukelele band is ever going to make it.
237913868_398308486393516032 x	The Government: What a Joke.
237913868_398202635712339968 x	RT @sfreeze6: Steven Tyler is probably my favorite singing old leather handbag.
237913868_397787593380597760 x	Twitter is Gluten Free.
237913868_397785837980491776 x	I'm Co-Curating Liberty Art's ?The CHAIRity Show?. Dec 6th. Come out and support Art for a great cause! http://t.co/AGuUn623VU
237913868_397782048242278400 x	RT @charlieMdarling: Batheing myself in coffee.
237913868_397781993892491264 x	Magic & Mischief Tour will be adding more U.S. dates in 2014. East Coast, Middle America &  a few shows in Canada
237913868_397626849246707713 x	RT @JayCee302: Nice try, pothole  You just got swerved!
237913868_397436705336074240 x	Tomorrow is the new today.
237913868_397411635255459841 x	RT @christtenden: Craigslist ad: Good Cop and Bad Cop looking for a third, quirkier type of Cop to fill out our joke format trio.
237913868_397170011606745089 x	RT @robdelaney: My wife is crying in the bathroom & won?t come out. Can?t figure out if she?s upset about daylight savings time or the Obam?
237913868_397103389265248256 x	The first step in making a Pumpkin Spice Latte. http://t.co/K2tEHMUtt0
237913868_397044479204392961 x	Working on a new illusion where I swallow a tic-tac and it then it comes out of my eye..what I'm trying to say is that I'm single, ladies.
237913868_396746088830365697 x	Two more shows in Oregon then off to Las Vegas. #magic #mischief #tour
237913868_396725641711595520 x	Lettuce was invented by Michelle Obama in 1999.
237913868_396670201971757056 x	RT @Black__Elvis: My carbon footprint is HUGE, and you know what that means, ladies...
237913868_396521939130257408 x	In Oregon, It's fashionable to be homeless.
237913868_395600317166784513 x	'Magic & Mischief Tour' hits Medford, Oregon Tomorrow. #halloween #magic #comedy #tour http://t.co/OpBXoz9Vtx
237913868_395598621107683328 x	RT @mrlumptastic: Saw @altonbrown tonight at Popejoy. Bizarre mix of comedy, music and cooking, but I really dug his show. Fun times.
237913868_395264867797463040 x	RT @Landon_Schu: are you a magician because abracaDAYUMMM
237913868_395261523297185792 x	On the Road again. Performing at my First Federal Building! This is the most I've felt political, ever since i dated that vegan girl.
237913868_395050165360283648 x	RT @seanyeatts: I'm really sorry I gave your family mad cow disease.
237913868_395049954713927680 x	RT @pennjillette: "If we close the door, the night could last forever."
237913868_394893136385687552 x	RT @andylassner: Chris Brown arrested in Washington DC for felony assault of a man.  Asked for comment Brown said "I'm so sorry. I thought ?
237913868_394891592504311808 x	Hey...Take a walk on the wild side. #lou
237913868_394650456862900225 x	RT @IGotsSmarts: Babies are terrible at arm wrestling.
237913868_394648804743344128 x	Heading to the Hot Springs to get my latenight soaking on with a bunch of retired women..#comedian #life
237913868_394531921708851201 x	I'm at California's Tree of Lost Love. I never really loved any of my ex-girlfriends so i wrote "red wine" on the leaf of the tree.
