1745767921_396204541919916032 x	Stalley - Gettin? By (Official Music Video) http://t.co/VtjBw76cx3
1745767921_396203564194099200 x	Kanye West Postpones ?Yeezus Tour? http://t.co/4oaT7WHr2y
1745767921_396202966635794432 x	Nicki Minaj Shows Off Her Sexy Halloween Costume http://t.co/FSlABb14cp
1745767921_396201567592124416 x	Senate Intelligence Approves New Surveillance Rules  http://t.co/y5FIL4bJKb
1745767921_396198859417726976 x	Texas abortion restrictions reinstated by appeals court ruling  http://t.co/uhVABHqxEy
1745767921_396197727270604800 x	Driver expects to fight Google Glass ticket http://t.co/qk6f8oKu5h
1745767921_396195873476317184 x	RT @kendrick__Iamar: There are two things you should never waste your time on: things that don?t matter and people that think you don?t mat?
1745767921_396194888200364032 x	RT @lucyrouxheaux: ?@mrroc81: This fellow just said to @lucyrouxheaux "Ion know strippers watch Xman" *drops phone*?lmao he's slow
1745767921_396193979911249920 x	This fellow just said to @lucyrouxheaux "Ion know strippers watch Xman" *drops phone*
1745767921_396193101254909952 x	RT @AboutAquarius: People come to #Aquarius naturally for their advices, because they're usually reliable and promising.
1745767921_396191715864109056 x	RT @MadTownVicious: I should be sleep
1745767921_396176313280917504 x	I don?t make typos. I make new words!!
1745767921_396190771449458690 x	@maguism really?? I'm just being myself..
1745767921_396186328297390080 x	RT @AboutAquarius: #Aquarius have a way of knowing things before they happen.
1745767921_396185718361292800 x	No matter what you do on the computer you always end up on Twitter, Tumblr, YouTube, or Facebook!
1745767921_396185035453104129 x	Phone on silent. 10 missed calls. Turns volume to loudest. Nobody calls all day.
1745767921_396184646968291328 x	Relationships are like drugs. They either kill you or give you the best feeling of your life...
1745767921_396184530446319616 x	RT @DannyKingz: Can't sleep
1745767921_396184425605505024 x	RT @_LusciousMocha: I don't see why people get offended by any and every little thing...it's not that serious
1745767921_396183453550776320 x	RT @SexualTruth: Just be blunt & tell her you want to fuck. She's either say yes or no! 50/50
1745767921_396182754645516288 x	#ThatMomentWhen Reading a book and having to reread the same paragraph over and over because your thoughts are too distracting..
1745767921_396182149415829504 x	Running toward my dreams, tripping over reality, and hitting my head on the truth...
1745767921_396180979410554880 x	On the flip side of thangz tho... http://t.co/K7boBBwwCm
1745767921_396180679496855552 x	http://t.co/dTReU6J93a
