478210827_380667757836369920 x	@MikeMiss975 #mrgreenburg
478210827_380667356487622656 x	@MikeMiss975 #mrmissanelli
478210827_339202277086736384 x	@Cvakoc @pcdev hahaha #haha
478210827_392025793544851456 x	@Espngreeny I'm an eagles fan in phila. However if you can't remember the name if that penalty w/I google etc then don't post.
478210827_392019481033453568 x	RT @marcelluswiley: Matt Barkley's throwing the ball like he grew up a Cowboy's fan  #Eagles  #Cowboys
478210827_391985644408696833 x	@espngolic hey are you watching eagles cowboys they just showed a cheesesteak being #asembled
478210827_391973794404773888 x	@espngolic eagles cowboys was thinking of #ganggreen look there is proof I lineman cheat 2 stop you #facemask http://t.co/2iydi5iEWO
478210827_391972229845905409 x	@markschlereth stink I need a favor need some of that green goodness
478210827_344645816251715584 x	@NotBillWalton what a flop by Bosh #softaspie
478210827_391972030289309696 x	RT @TonyBrunoShow: I'm here. I'm pumped. I'm ready Harrah's Philadelphia Tap&Tavern Who's coming? http://t.co/ILypcjhk3y
478210827_391971161073926144 x	@TonyBrunoShow over under on Romo looking like this today? http://t.co/2WkqWO2a2M
478210827_391968944724393984 x	@JasonPhilCole @TonyBrunoShow cowboys don't know anything about #trim
478210827_391926603552657408 x	@TonyBrunoShow if local male Dallas fans with daddy issues were chicks they would've been strippers #psychologicalprofile
478210827_391967252138168320 x	@757hank @tonybrunoshow wow did a Dallas radio station sports talk host say that and you cut copied and pasted it wait #tocomplicated
478210827_390967591348756480 x	@JimIrsay crying won't help you..praying won't do you no good!
478210827_390966209245876224 x	@nflnetwork dude blow your nose
478210827_390966070850650112 x	@nflnetwork nfl total access kickoff is an example of why they will never be as good as espn pre or post game #awful
478210827_390548702760554497 x	@MikeMiss975 @975TheFanatic if male dad issued local cowboys fans were chicks they would be strippers
478210827_389919196777553920 x	#AMCfearfest
478210827_388361716981305344 x	@Livengrin fired up about tonight's event with Phillies finest @MBarkannCSN #47years
478210827_388256122010083328 x	@espngolic @Espngreeny hug it out guys #hugitout
478210827_387921877400039424 x	@SpikeEskin the cast or Danny Trejo himself?
478210827_387244494271549440 x	@TonyBrunoShow I guess there just wasn't enough #jam what happens to his radio show
