350020705_391910837788872704 x	Gameday #BeatTheCowboys
350020705_398816046423212032 x	Stanford's new biggest fan @PatrickChung23 #nerdnation http://t.co/BNp2nFF2YP
350020705_421036619303768065 x	Thank you @uber!
350020705_424020212266979329 x	Excited to see how #LoneSurvivor the movie compares to the book!
350020705_423498166793539584 x	Morning twitter world!
350020705_422806664903802880 x	RT @treeSIDjorge: Stanford offensive lineman David Yankey, who is on track to earn his degree this spring, has declared for the NFL Draft
350020705_422256931412013056 x	Thanks for having us @Logancouture http://t.co/l1hZTFMhzx
350020705_422057256973131776 x	RT @PhillyPhanPearl: Happy guy this AM when he opened a pack of football cards and got his buddy @ZERTZ_86  RT for a big @Eagles fan? http:?
350020705_421413200911798272 x	Starting off the off-season right on the links with @SugarShane_4 http://t.co/6iA3IhQMYR
350020705_419790159388094464 x	RT @Eagles: That moment you catch your first playoff touchdown. #FlyEaglesFly http://t.co/9zwpG6EUxk
350020705_419714748452573184 x	What a fun rookie year. Sad we can't continue this run but I know were building something special out here #FlyEaglesFly
350020705_419735641149423616 x	?@ChuckP09: do you feel the fans did a good job tonight. I don't have any voice left? the fans were amazing all season #bestfansinnfl
350020705_419566417588260864 x	Gameday!! Time to Ball #FlyEaglesFly
350020705_418506628112347136 x	Great start! Michigan state is not ready for this #nerdnation
350020705_418462575047630848 x	Almost #RoseBowl time! #Stanford fans, tweet your pregame party & include #Xboxcollegebowls for a chance to win an #XboxOne
350020705_418409498739351552 x	Happy new year to everyone! Hope everyone had a safe and happy New Year's Eve
350020705_418120921279234048 x	Cardinal fans, show us how you're getting prepped for the #RoseBowl. Include hashtag #Xboxcollegebowls for chance to win an #XboxOne
350020705_417834851601899520 x	RT @NFoles_9: This is my new twitter handle. It will be verified ASAP so y'all know it is really me. #FlyEaglesFly
350020705_417532894693699584 x	The tight ends and our QB! NFC EAST CHAMPS!! #playoffbound http://t.co/jIVAT0CtZ2
350020705_417430873106296832 x	LETS GOO!!! http://t.co/7VKuNmAY9B
350020705_417416309056360448 x	Time To Ball! Prime time football  #letsgetit
350020705_416313455088386049 x	Thanks for the ride @uber
350020705_415873328168333312 x	Merry Christmas Everyone!!
350020705_414880268420268032 x	Prime Time Football! #YaDigg
350020705_413079197519974400 x	Our first Christmas tree finally set up! Lovin the holidays in this city #? http://t.co/gYvjOWLhek
350020705_412261560195620864 x	Time to Ball
350020705_411964841793175552 x	?@BennyG49: The great Owen Marecic and I with the gym to ourselves for a couple hours. Talk about blue collar? Benny Gs king of the SSPs
350020705_411587101285969920 x	Need a holiday gift? @Toppscards is giving away 12 sports gifts every day until Dec 20th. Follow them now 2 win some
350020705_410246650360127488 x	Thank you @Uber for the ride tonight
350020705_409813908367486976 x	RT @Eagles: #SnowBowl #FlyEaglesFly ??? http://t.co/KxYzvefSo9
350020705_409693701716185088 x	Game Day in this football weather! #letsgetit
350020705_409536291588825088 x	Congrats to all the homies tonight! Back to back PAC-12 champs #??
350020705_409486582702305280 x	Let's Go Stanford! #NerdNation
350020705_409069334305071104 x	"@PepsiNEXT: Shout out to #PepsiNEXT #ROTW winner @ZERTZ_86 for touchdowns, receptions and wins: http://t.co/6SXPUqL5Au" Thank You!
350020705_408772965623676928 x	Man, the first Thor movie was a good movie! Definitely gonna go see the second, anyone out there have any reviews of it?
350020705_408678891138875392 x	Not only vote for rookie of the week,make sure to vote my girl @_JulieJohnston_  women's soccer player of the year at http://t.co/msAnZDj4q4
350020705_408040447932506112 x	Needed to get my Mexican food fix in so I had to go to @ChipotleTweets #tacotuesday
350020705_407841908934062080 x	RT @nfl: .@PepsiNEXT Rookie of Week 13 Nominees: @Ziggy_Ansah @monteeball28 @J_Cyprien @ZERTZ_86 @L_Bell26   VOTE: http://t.co/QV3X3P7zVb
350020705_407650890506452992 x	Congratulations to @BrentCelek for eclipsing 300 career receptions! #Beast
350020705_407344768797384704 x	May the odds be ever in your favor #HungerGames http://t.co/vOsl77HsbD
350020705_407297281151733760 x	The Linc was rocking today, great to get another win at home! #ontothenextone  #beatthelions
350020705_407172611806744576 x	RT @BrentCelek: The boys and I are gonna do this #TE #beasts .@TideNFL #ourcolors #sponsor http://t.co/7pZCpwQdur
350020705_407167339633709056 x	Let's go! #BlackSunday
350020705_406861497562718209 x	RT @G_Red4: VOTE for @BrentCelek and @ZERTZ_86!!! #ProBowl #BirdGang http://t.co/AL0F2FUkQO
350020705_406167367774134273 x	?@_JulieJohnston_: Happy thanksgiving! Missing the family but get to celebrate with my love ?? http://t.co/3rLkt6iGrc? she crushed it #full
350020705_406069056639614976 x	Thankful for so many things today, hope everyone has a great Turkey Day! #Thanksgiving
350020705_405086940837318656 x	@USAirways is terrible, would have cost me more to change a flight then to cancel and start over #joke
350020705_403244206094692352 x	RT @AustinHWilson: All I see is Cardinal #nerdnation #BeatCal http://t.co/nULcjs2oNY
350020705_402984959226306561 x	This has got to be the longest flight ever #anxious #almosthome
350020705_402894183590924289 x	Heading home for the bye week and to check out the big game with the big homie @LevineToilolo #kalstillsucks
350020705_402531512114876416 x	Check out my just released Topps Chrome FB card! Follow @toppscards now to win a box! http://t.co/E194ZcgJQG
350020705_402469439347904512 x	?@TheRealGervase: .@ZERTZ_86 has some fans in Cali! http://t.co/nIMlEOsLp4? that's Awesome
350020705_402208466473091072 x	It's about damn time! Home win for the fans! Bye week then onto the cardinals #Eagles
350020705_402062626043084800 x	Gameday! Let's goooo #yadigg
350020705_401566527130181632 x	The story of the #Batkid makes me proud to come from the Bay Area and to show the world how strong people are when they come together
350020705_401103432305889280 x	RT @Seahawks: Sherman on @stanfordfball: "Not a lot of people approve of #NerdNation taking over the world. But nerds rule the world, kids."
350020705_400396651065380864 x	"@SCUWomensSoccer Congrats to @_JulieJohnston_ for being named the Player of the Year #WCC" #BeastMode #mygirl
350020705_399992658837266432 x	Thank you to all past, present and future military personnel. This country would be nothing w/o your service http://t.co/DZzP9EwxUE
350020705_399544630514946049 x	Celebrating my 23 birthday at lambeau field today. Blessed to have such amazing people in my life now let's go get this W #gameday
350020705_399340466355068929 x	?@MattBarkley: Proud of how the Trojans played today, big time win!!! #FightOn #USC? don't get too excited, the cardinal are coming to town
350020705_398673271685906434 x	@PatrickChung23 just realized I don't have my jersey out here. But I'll bring enough clothes you're head to toe in XXL Stanford gear
350020705_398642002830852096 x	?????? Stanford flexing their muscle early. Get your weight up Oregon. #turleytrained
350020705_398629353573339137 x	All three "experts" pick the duckies... Just the way we like it! #gostanford
350020705_398461921948864512 x	"The ruling on the field is overturned, it was a CATCH" #tbt #gameday #Stanford #Oregon http://t.co/tV2bomIHoD
350020705_397803779422052352 x	?@CollegeGameDay: I feel like, this team, we should at least put up 40. ? Oregon RB De?Anthony Thomas #UOvsSTAN? hahahahahaha
350020705_397755678791454720 x	RT @Eagles: Election Day made easy: Vote for @NFoles8: http://t.co/795ftKSzVY  Vote for @ZERTZ_86: http://t.co/b1UQLlf9N0  #FlyEaglesFly
350020705_397207337582084097 x	Nick Foles for President
350020705_397203295187398657 x	RT @BennyG49: Bout time my boy @ZERTZ_86 got that first career TD!! And I got to see it live. Best friend award goes to me
350020705_396741371068809216 x	Just touched down in the bay! Excited to play in front of family and friends again #calikid
350020705_395927454423859201 x	Hoping everyone has a safe and happy Halloween #????
350020705_395362405833646080 x	Just saw a commercial with the guy from khan academy. Can finally put a face to the voice that helped me throughout college #nerdtweet
350020705_394144626023866368 x	RT @CandidEyePhoto: @ZERTZ_86 getting it done vs. the #oragonducks #gamewinner http://t.co/mou4y7XpJP
350020705_391675103567941632 x	?@MikeVick: Yessir! My young cuzin play for UCLA...... RT @Mazardi74: @MikeVick Stanford vs UCLA? .... Stanford for sure
350020705_390654679085891585 x	"@FoxNews BREAKING: Democrat Cory Booker declared winner of NJ Senate election" Former Stanford Tight End
350020705_390129189120405504 x	?@SCUWomensSoccer: Julie Johnston named #WCC player of the week #onamission #hardwork @_JulieJohnston_? #beastmode
350020705_389207220572811264 x	Man oh man...
350020705_388809592341159936 x	Prayers go out to AP and his family #unfathomable #tragedy
350020705_387386633542438913 x	?@Ky1eLong: Monday Night Football and mom  has taken over the kitchen http://t.co/Hkg9Y9MRzB? looks like the perfect combination
350020705_387014503432744961 x	Great team win today! On to the next one #buccaneers http://t.co/4ehj3Aongc
350020705_386703544797396992 x	Huge last minute touchdown to end the half. Gotta keep the momentum going but I gotta go to bed. Get work to do in the AM #GoCard #Eagles
350020705_385933412454117376 x	RT @treeSIDjorge: Gus Johnson approves of @ZERTZ_86's graphic in the Stanford locker room ... http://t.co/W7H5s5pDbS
350020705_385231607625691136 x	?@SugarShane_4: @Nertz13 dude we like this Nic way better @ZERTZ_86? definitely better than the skinny version
350020705_384173458013184000 x	RT @DougBaldwinJr: #GoStanford ok I?m going to sleep now! Lmao. Y?all keep doubting tho!
350020705_383789503141670912 x	Thanks for the hook up @rkrager! This new Reckless gear is awesome, definitely going to be wearing it around Philly http://t.co/YIMrfIgYB4
350020705_383296808312909824 x	@jmac_18 you get the new FIFA yet?
350020705_381982315284819968 x	@SummerSanders_ @StanfordFball the Stanford family is unbelievable #proudalums
350020705_381977293478195200 x	If you guys need something to watch on this Sunday night you should check out ESPNU and watch my girl take on my alma mater #predicament
350020705_381529649731227650 x	@DougBaldwinJr happy birthday fam
350020705_381529513785450496 x	Heading over to the Stanford game with @_JulieJohnston_. First step towards defending the PAC-12 championship #BeatASU
350020705_379427611606548480 x	This Sherm vs Anquon matchup is a battle of two great players and is going to be fun to watch
350020705_378241205530001408 x	?@MAppel26: We are ready to play like a champion today. http://t.co/xBfwKXPTHY? Never thought I'd see the day mark #smh
350020705_377760598521831424 x	RT @PatMcAfeeShow: My love 4 the USA is constant but on #Sept11 I wake up w/ such a sense of pride..Ill never 4get & always thankful 2 thos?
350020705_377600799460687874 x	GOOOOAAAALLLLLL!! #USMNT #USA
350020705_377278970729070592 x	Great team win! Thank you everyone for the support #chargersnext
350020705_377278701668687873 x	RT @AbbyWambach: My boy @ZERTZ_86 just got his first grab of his nfl career.  First of many!!!
350020705_377100542683914240 x	Gameday #MNF
350020705_376435309904674816 x	Good luck to all my Stanford homies in their first game. Gonna be weird watching them but I'll be the loudest cheerleader #NerdNation
350020705_375417264138649600 x	@Nertz13 I heard the speed is not an accurate portrayal! #haters
350020705_371813063512829952 x	RT @DougBaldwinJr: ?Ships don?t sink because they?re in water, they sink because water gets in them. Don?t let negativity get inside you an?
350020705_371490471438483456 x	Great team win, I must get better though and I know I will. #motivated #stillhungry
350020705_371307457454567424 x	Gameday!!! http://t.co/DFPFFkSAOf
350020705_370010957986422784 x	RT @usnikefootball: If you want to be respected, be relentless. #winningstartshere @StanfordFball http://t.co/B4QlAnCi6c
350020705_368407470127198208 x	Got that first W in the Eagles green last night. Much better feeling than last week #Eagles http://t.co/VSaFIIySqA
350020705_368092924401430528 x	Gameday number two against the panthers at 7:30.  Opportunities like these don't happen every day #seizethemoment
350020705_366081521737662466 x	Awesome first time at the Linc. Got a lot to improve on but looking forward to seeing everyone again on Thursday #Eagles
350020705_365869449313665025 x	Gameday is finally here again! Different setting but same desire #birdgang #Eagles
350020705_365625385456635904 x	About to watch the big homie @LevineToilolo in his first preseason game #Stanford #TightEnds
350020705_365309890912206848 x	Just trying to find out why #marktwain http://t.co/kmVlCaWd7u
350020705_363691947577180161 x	Off day today but still getting better #86 #Camp http://t.co/OkS9VVPHr4
350020705_363133346513039361 x	@TMurphy_93 @JustJoshin90 @BennyG49 typical Benny G's with no definition. He must not have hit the biceps this offseason
350020705_361309272035966976 x	Never really got the chance to talk to @jmac_18 but from what I've seen I know he's a warrior and will come back stronger than before #fam
350020705_360182957782208512 x	RT @toppscards: Fly Eagles, Fly...#nasty @ZERTZ_86 Topps #Inception FB @nfl Patch card E-A-G-L-E-S EAGLES  #collect #thehobby http://t.co/1?
350020705_359466967402430468 x	mattbarkley and I reporting to camp today #camplife #eagles http://t.co/JvoWhih4Br
350020705_358043596865273856 x	@_JulieJohnston_ and I are impressed with the Benihana chefs, but we'd be even more impressed if they used knives #justsayin
350020705_352958665143234560 x	Happy 4th of July!! Hope everyone has a great day and a safe night. If need be use @Uber tonight! #proudamerican
350020705_352493103338360833 x	Then later going to see one of my favorite country singers @BrantleyGilbert with @_JulieJohnston_  #concert #AZ
350020705_352492791118565379 x	Nice little lift to start the day with @RealontheRise04 and @frankiefelix15 at their old stomping grounds #hamilton
350020705_351828794941784065 x	Gets me every time. http://t.co/pG7C1MJoyQ #Blessed #AlmostThe 4th #ThankYou
