2148133609_393077684198055936 x	http://t.co/OiRsOYDCk3
2148133609_395035064867631104 x	@jennylynds will you marry me?
2148133609_393085546739687424 x	RT @sarahwebah: So call it quits, or get a grip
2148133609_396215139352854528 x	RT @TPYoung11: @mikeydeeznutzz http://t.co/dnfZ8h5KWN
2148133609_396040987463536640 x	I been thuged out since cub scouts
2148133609_395962626099785728 x	saw you in half without a fuckin magical box, wet pussy always seem to splash my cock
2148133609_395961693051695104 x	my mentality is caveman.... stupid woman
2148133609_395922475885658113 x	@TPYoung11  Yizzzo @MCW1 is that dude!!!! Jrue Holiday who?
2148133609_395921645816139777 x	RT @MagicJohnson: Michael Carter-Williams put up 22 pts, 7 rebs, 12 ast and 9stl tonight in the win over the Heat.
2148133609_395921622088957952 x	RT @MagicJohnson: I just got done watching the guy I think will be the Rookie of The Year, Michael Carter-Williams of the 76ers.
2148133609_395744631356284929 x	hang a missel toe over the earth and stick my ass up under it
2148133609_395742289735065600 x	@MCW1 YOU ARE THE MAN!!!!!! Awesome game tonight, keep up the hard work.
2148133609_395731708462391296 x	catch me in my mercedes bumpin ice ice baby, or in my rova blastin la vida loca
2148133609_395409021072465920 x	@paigeymcdiz that girl behind you sort of looks like a blonde Paige lol creepy
2148133609_395407851172028417 x	@wutangela yes please hahaha
2148133609_395044211927433217 x	@vinnie_paz nevrmind you just answered it
2148133609_395043149342441472 x	@vinnie_paz One rapper in the game today you wanna do a collaboration with the most but have not yet
2148133609_394639440997412864 x	RT @CelphTitled: New video from @MCEsoteric + @Stu_Bangas "The Danger" feat @vinnie_paz @CelphTitled @ApathyDGZ http://t.co/xUcMtrMMnC
2148133609_394598165434753025 x	@36westbrook @BrianDawkins ..How does a Dallas cowboys fan change a light bulb? They don't, they just talk about how good the old one was.
2148133609_394554621403754496 x	@SassydocManu really? That's fucking weird
2148133609_394471210177675264 x	RT @MrGetFlee99: #BirdGang Lets Be Great Today.....
2148133609_394471162937217024 x	RT @JoeDiLanzo: Game day! get it done! @MikeVick
2148133609_394317683862159360 x	Bout to grab Obama wit that 3 trillion dollar budget and head to the strip club
2148133609_394282827014893568 x	Ladies 4 things you can do to keep your man happy. 1) suck his dick. 2) play with his balls. 3) fix him a sandwich. 4) don't talk so much.
2148133609_394231781991276544 x	Haters wanna hate, lovers wanna love, I dont even want none of the above......... I wanna piss on you
2148133609_394148965228093440 x	Slap my cock between your eyes, now you cock-eyed. Cock sucka, u cant fuck wit da Nutzz
2148133609_394155438695911424 x	@sarahwebah facebook is like the real me and mikeydeeznutzz on twitter is like my evil alter ego
2148133609_394157353299243008 x	@sarahwebah hahah i loveee u sarah weber :)
2148133609_394155787578142721 x	RT @sarahwebah: @mikeydeeznutzz you post the most vile tweets
2148133609_394155264858787840 x	@sarahwebah hahahahaha yes i know, vile but entertaining
2148133609_394150553648758784 x	http://t.co/nkcnGQ4HRA
2148133609_394140350115090432 x	RT @JoeDiLanzo: 35F this morning  in the illadelph @mikeydeeznutzz
2148133609_394140298965569536 x	@JoeDiLanzo hahaha its 65 in San Diego right now at 930am #SoCalLife
2148133609_394135618332012544 x	@JoeDiLanzo so do you gotta shit in that portapotty for the next few weeks then
2148133609_394132741777653760 x	Murda beats, fuck hoes, is there an app for that?
2148133609_394132049222590464 x	RT @SassydocManu: @iamdiddy @mikeydeeznutzz  game blouses........#Halloween http://t.co/Oir85jg55D
2148133609_394127551758483458 x	RT @charliemurphy: Rise & Grind: Always be kind, reach for your goals, and don't let anyone say you can't do it! Thats when keepin it real ?
2148133609_393942431298646016 x	Got an appetite for destruction, but im hungry like i aint ate for weeks. Yet I cant swallow my pride or taste defeat
2148133609_393872515002408960 x	I love a nasty bitch who swallow whats on the menu
2148133609_393855637290893313 x	RT @mdw1488: Just got crushed in battleshits by some rando in the stall next to me. I don't think he knew we were playing, but congrats bro?
2148133609_393855247140925440 x	Same shit different toilet, that's why i roll wit a plunger
2148133609_393792767098241024 x	@Tim_McManus I need one, any way to order?
2148133609_393791620413276160 x	lets play a game, its called count the shells sucka duck
2148133609_393618831504986113 x	@SassydocManu hahahahahaha i went jogging with my shirt off today bull
2148133609_393551839901143040 x	@sarahwebah i just got done working out too.... but its only 6:30 here : /
2148133609_393559744394178561 x	@sarahwebah yea i know right i always wanna text people back home at like 10 11 but i know they prob arent awake
2148133609_393550972955271168 x	The arm bone connected to the hand bone, the hand bone connected to the damn chrome
2148133609_393493519601389568 x	Eatin pussy until every dyke in the world turns straight, im at the best western tossin ur girls salad wit french dressing
2148133609_393493020902825984 x	Need a refill http://t.co/OgeuJgVhut
2148133609_393433520212701184 x	RT @enemysoil: If you're in or around Philly, don't miss Reef the @LostCauze's free show tonight 10/24 at Hard Rock Cafe. 1113-31 Market St?
2148133609_393401124083863552 x	@kimxchelle Its warm in San Diego ;)
2148133609_393400345335840769 x	http://t.co/AYMQvM63tP
2148133609_393398316349665280 x	http://t.co/YANPPqwPoO
2148133609_393397646032789504 x	http://t.co/GOPBCPPDoy
2148133609_393396789870460928 x	http://t.co/6hFvsDIicG
2148133609_393395555868483584 x	Am i the mothafuckin man.... Does a bear shit in the woods
2148133609_393390506035519489 x	http://t.co/eZHRnUC8NA
2148133609_393284134316945408 x	@mastaace illadelph all day don't forget it
2148133609_393205603465568257 x	Cheap pizza, expensive liquor http://t.co/Y4ktxkTaXC
2148133609_393203935931928576 x	You aint gotta look like a model for me to adore you, all you gotta do is love me and be loyal
2148133609_393194616490430466 x	http://t.co/WedAwmAmPX @Papooseonline most underrated MC in the game, STOP SLEEPIN ON HIM
2148133609_393139854881472512 x	http://t.co/eQEp2FIGph
2148133609_393127029219926016 x	Pull up on the block in the drop top chicken box
2148133609_393118191771078656 x	@SassydocManu yo watch the video on my page with miley cirus
2148133609_393119051372691456 x	@SassydocManu hahah na dog thats up there for the bitches and thats where it will stay
2148133609_393117513979940864 x	poisonous poems travel through walkman headphones into your dome, osteoporosis your bones
2148133609_393089755811823617 x	@quietAZmoney hope your ok homie, dont know what the rap game would do without you
2148133609_393071891331555328 x	@TPYoung11 @JoeDiLanzo http://t.co/NeAUzJJpdI I wanna channing all over your tatum
2148133609_393070102385414144 x	Dont you hate it when you think you have to shit but u really dont and you end up just sitting down and pissing.. makes me feel ilke bitch
2148133609_393060376213864449 x	RT @RAtheRuggedMan: FIRST TIME EVER SEEN TODAY -  BRAND NEW MUSIC VIDEO -  R.A the RUGGED MAN feat VINNIE PAZ and SADAT X "Sam Peckinpah" h?
2148133609_393057508744380416 x	RT @KattPackAllDay: Now that the government is no longer shutdown I can go ahead and keep smoking the same about of weed I was smoking when?
2148133609_393054004663435264 x	@RAtheRuggedMan your album #LegendsNeverDie is exactly that, Legendary
2148133609_393051584025735169 x	RT @RAtheRuggedMan: Everybody retweet and spread my video for THE DANGEROUS THREE featuring @mastaace and @BrotherAli  http://t.co/FDwfNx5r?
2148133609_393051393302331392 x	RT @blackthought: Winning isn't everything, it's the only thing. -Vince Lombardi
2148133609_393049946527510528 x	@wutangela haha ummm yes
2148133609_392865283305508864 x	@Drummy20 yea plus hes on my fantasy squad.... Fuckkkkk
2148133609_392830931058167809 x	RT @SHAQ: Daaaaam http://t.co/tBjycuF0Br
2148133609_392825724500860928 x	RT @LostCauze: "All ya mans fake, they give you pounds and handshakes cuz they rhyme too SO Y'ALL EACH OTHER FAN BASE". How bout that?
2148133609_392760158603841536 x	@sarahwebah heyy sarah miss ur face
2148133609_392800772921901057 x	@sarahwebah hope all is well with u and your fam... you should plan a trip to come visit San Diego, you'd fuckin love it here :) (:
2148133609_392805280070647808 x	@sarahwebah Well all you'd have to do is get a plane ticket, u already got a place to stay for for free u know that
